March 2020 Tennessee County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",7.36,103,1.78,5.58
TN-003,"Bedford County",9.56,115,3.76,5.8
TN-005,"Benton County",7.41,104,2.06,5.35
TN-007,"Bledsoe County",8.02,105,2.04,5.98
TN-009,"Blount County",7.02,104,1.53,5.49
TN-011,"Bradley County",8.77,110,3.05,5.72
TN-013,"Campbell County",7.91,108,2.56,5.35
TN-015,"Cannon County",9.58,115,3.77,5.81
TN-017,"Carroll County",7.95,110,2.65,5.3
TN-019,"Carter County",5.32,97,0.96,4.36
TN-021,"Cheatham County",6.83,100,1.65,5.18
TN-023,"Chester County",10.5,120,5.02,5.48
TN-025,"Claiborne County",7.62,110,2.39,5.23
TN-027,"Clay County",8.14,107,2.62,5.52
TN-029,"Cocke County",5.77,95,1.07,4.7
TN-031,"Coffee County",9.83,116,4.05,5.78
TN-033,"Crockett County",8.57,116,3.44,5.13
TN-035,"Cumberland County",8.56,112,2.8,5.76
TN-037,"Davidson County",7.16,104,1.98,5.18
TN-039,"Decatur County",9.71,117,4.01,5.7
TN-041,"DeKalb County",8.09,106,2.38,5.71
TN-043,"Dickson County",6.27,90,1.0,5.27
TN-045,"Dyer County",7.01,105,2.09,4.92
TN-047,"Fayette County",9.06,114,3.54,5.52
TN-049,"Fentress County",8.53,110,3.11,5.42
TN-051,"Franklin County",8.84,112,3.05,5.79
TN-053,"Gibson County",7.85,110,2.71,5.14
TN-055,"Giles County",9.72,115,3.67,6.05
TN-057,"Grainger County",7.11,108,2.07,5.04
TN-059,"Greene County",5.98,105,1.52,4.46
TN-061,"Grundy County",10.01,116,3.99,6.02
TN-063,"Hamblen County",6.6,106,1.84,4.76
TN-065,"Hamilton County",8.29,104,2.27,6.02
TN-067,"Hancock County",7.61,111,2.49,5.12
TN-069,"Hardeman County",10.45,120,4.93,5.52
TN-071,"Hardin County",10.96,121,5.16,5.8
TN-073,"Hawkins County",7.45,114,2.64,4.81
TN-075,"Haywood County",8.36,111,3.05,5.31
TN-077,"Henderson County",9.38,116,3.88,5.5
TN-079,"Henry County",7.39,106,2.23,5.16
TN-081,"Hickman County",7.86,108,2.3,5.56
TN-083,"Houston County",6.91,94,1.69,5.22
TN-085,"Humphreys County",6.97,94,1.59,5.38
TN-087,"Jackson County",7.52,102,1.92,5.6
TN-089,"Jefferson County",6.89,109,2.05,4.84
TN-091,"Johnson County",5.54,101,1.17,4.37
TN-093,"Knox County",7.09,106,1.9,5.19
TN-095,"Lake County",6.55,98,1.74,4.81
TN-097,"Lauderdale County",7.17,103,2.06,5.11
TN-099,"Lawrence County",9.78,114,3.64,6.14
TN-101,"Lewis County",9.72,114,3.87,5.85
TN-103,"Lincoln County",10.41,118,4.43,5.98
TN-105,"Loudon County",7.64,109,2.07,5.57
TN-107,"McMinn County",9.2,113,3.4,5.8
TN-109,"McNairy County",11.58,122,5.87,5.71
TN-111,"Macon County",7.92,108,2.45,5.47
TN-113,"Madison County",9.3,118,4.06,5.24
TN-115,"Marion County",8.83,107,2.73,6.1
TN-117,"Marshall County",9.35,114,3.46,5.89
TN-119,"Maury County",7.99,109,2.3,5.69
TN-121,"Meigs County",8.47,109,2.45,6.02
TN-123,"Monroe County",9.35,114,3.42,5.93
TN-125,"Montgomery County",6.73,97,1.58,5.15
TN-127,"Moore County",10.31,118,4.46,5.85
TN-129,"Morgan County",7.97,108,2.41,5.56
TN-131,"Obion County",6.88,105,1.95,4.93
TN-133,"Overton County",8.63,112,3.06,5.57
TN-135,"Perry County",9.45,117,3.73,5.72
TN-137,"Pickett County",8.22,111,2.83,5.39
TN-139,"Polk County",9.26,111,3.41,5.85
TN-141,"Putnam County",8.29,110,2.57,5.72
TN-143,"Rhea County",8.22,107,2.13,6.09
TN-145,"Roane County",7.47,104,1.74,5.73
TN-147,"Robertson County",8.01,110,2.95,5.06
TN-149,"Rutherford County",8.12,111,2.55,5.57
TN-151,"Scott County",8.16,110,2.81,5.35
TN-153,"Sequatchie County",8.72,108,2.56,6.16
TN-155,"Sevier County",6.94,103,1.58,5.36
TN-157,"Shelby County",9.79,116,4.51,5.28
TN-159,"Smith County",7.08,97,1.49,5.59
TN-161,"Stewart County",7.18,101,1.99,5.19
TN-163,"Sullivan County",6.68,113,2.43,4.25
TN-165,"Sumner County",8.16,114,2.94,5.22
TN-167,"Tipton County",7.75,108,2.54,5.21
TN-169,"Trousdale County",7.9,107,2.48,5.42
TN-171,"Unicoi County",5.15,91,0.63,4.52
TN-173,"Union County",6.86,102,1.68,5.18
TN-175,"Van Buren County",7.89,105,2.11,5.78
TN-177,"Warren County",9.52,115,3.76,5.76
TN-179,"Washington County",6.02,108,1.78,4.24
TN-181,"Wayne County",9.77,113,3.7,6.07
TN-183,"Weakley County",7.29,107,2.17,5.12
TN-185,"White County",8.25,110,2.56,5.69
TN-187,"Williamson County",6.91,97,1.42,5.49
TN-189,"Wilson County",7.83,107,2.37,5.46
