March 2020 Virginia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
VA-001,"Accomack County",4.13,77,0.08,4.05
VA-003,"Albemarle County",1.52,10,-2.02,3.54
VA-005,"Alleghany County",3.01,49,-0.61,3.62
VA-007,"Amelia County",1.57,8,-2.25,3.82
VA-009,"Amherst County",2.38,21,-1.53,3.91
VA-011,"Appomattox County",2.32,22,-1.37,3.69
VA-013,"Arlington County",2.41,32,-1.17,3.58
VA-015,"Augusta County",1.72,14,-1.7,3.42
VA-017,"Bath County",2.87,38,-0.84,3.71
VA-019,"Bedford County",2.65,32,-1.18,3.83
VA-021,"Bland County",4.67,100,0.85,3.82
VA-023,"Botetourt County",2.78,42,-0.81,3.59
VA-025,"Brunswick County",2.42,22,-1.44,3.86
VA-027,"Buchanan County",6.47,116,2.24,4.23
VA-029,"Buckingham County",1.81,13,-1.86,3.67
VA-031,"Campbell County",2.36,26,-1.36,3.72
VA-033,"Caroline County",2.09,18,-1.63,3.72
VA-035,"Carroll County",3.09,40,-1.0,4.09
VA-036,"Charles City County",3.3,51,-0.51,3.81
VA-037,"Charlotte County",2.11,14,-1.68,3.79
VA-041,"Chesterfield County",2.49,28,-1.3,3.79
VA-043,"Clarke County",2.29,38,-0.87,3.16
VA-045,"Craig County",3.27,56,-0.4,3.67
VA-047,"Culpeper County",1.52,10,-1.8,3.32
VA-049,"Cumberland County",1.64,10,-2.11,3.75
VA-051,"Dickenson County",6.52,116,2.29,4.23
VA-053,"Dinwiddie County",2.37,23,-1.44,3.81
VA-057,"Essex County",2.49,25,-1.31,3.8
VA-059,"Fairfax County",2.2,27,-1.24,3.44
VA-061,"Fauquier County",1.84,17,-1.43,3.27
VA-063,"Floyd County",2.71,31,-1.17,3.88
VA-065,"Fluvanna County",1.54,7,-2.1,3.64
VA-067,"Franklin County",2.46,28,-1.3,3.76
VA-069,"Frederick County",2.22,39,-0.88,3.1
VA-071,"Giles County",3.82,73,0.12,3.7
VA-073,"Gloucester County",3.64,53,-0.31,3.95
VA-075,"Goochland County",1.75,12,-2.02,3.77
VA-077,"Grayson County",3.48,44,-0.59,4.07
VA-079,"Greene County",1.59,11,-1.89,3.48
VA-081,"Greensville County",2.65,27,-1.19,3.84
VA-083,"Halifax County",2.17,17,-1.69,3.86
VA-085,"Hanover County",2.19,20,-1.57,3.76
VA-087,"Henrico County",2.61,36,-1.14,3.75
VA-089,"Henry County",2.32,18,-1.73,4.05
VA-091,"Highland County",3.32,47,-0.59,3.91
VA-093,"Isle of Wight County",3.78,67,-0.16,3.94
VA-095,"James City County",3.49,47,-0.43,3.92
VA-097,"King and Queen County",2.82,33,-1.05,3.87
VA-099,"King George County",1.97,17,-1.69,3.66
VA-101,"King William County",2.65,32,-1.14,3.79
VA-103,"Lancaster County",3.15,40,-0.91,4.06
VA-105,"Lee County",7.89,110,2.64,5.25
VA-107,"Loudoun County",2.34,33,-1.02,3.36
VA-109,"Louisa County",1.81,14,-1.88,3.69
VA-111,"Lunenburg County",2.03,14,-1.81,3.84
VA-113,"Madison County",1.56,9,-1.85,3.41
VA-115,"Mathews County",3.95,70,-0.03,3.98
VA-117,"Mecklenburg County",2.17,16,-1.71,3.88
VA-119,"Middlesex County",3.2,38,-0.8,4
VA-121,"Montgomery County",3.29,56,-0.22,3.51
VA-125,"Nelson County",1.92,16,-1.84,3.76
VA-127,"New Kent County",3.08,39,-0.76,3.84
VA-131,"Northampton County",4.63,99,0.73,3.9
