March 2020 West Virginia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",3.68,48,-0.57,4.25
WV-003,"Berkeley County",2.64,50,-0.59,3.23
WV-005,"Boone County",4.53,80,0.23,4.3
WV-007,"Braxton County",3.28,40,-0.92,4.2
WV-009,"Brooke County",5.8,119,2.37,3.43
WV-011,"Cabell County",4.11,71,0.0,4.11
WV-013,"Calhoun County",3.69,50,-0.46,4.15
WV-015,"Clay County",3.75,52,-0.53,4.28
WV-017,"Doddridge County",4.14,68,0.03,4.11
WV-019,"Fayette County",4.08,67,-0.17,4.25
WV-021,"Gilmer County",3.58,49,-0.58,4.16
WV-023,"Grant County",2.66,40,-0.75,3.41
WV-025,"Greenbrier County",4.11,64,-0.11,4.22
WV-027,"Hampshire County",2.19,36,-0.96,3.15
WV-029,"Hancock County",6.33,125,3.02,3.31
WV-031,"Hardy County",1.8,24,-1.41,3.21
WV-033,"Harrison County",3.76,56,-0.25,4.01
WV-035,"Jackson County",4.09,74,0.09,4
WV-037,"Jefferson County",2.5,43,-0.78,3.28
WV-039,"Kanawha County",3.92,59,-0.3,4.22
WV-041,"Lewis County",3.51,48,-0.7,4.21
WV-043,"Lincoln County",4.58,77,0.35,4.23
WV-045,"Logan County",5.58,99,1.15,4.43
WV-047,"McDowell County",5.61,106,1.42,4.19
WV-049,"Marion County",3.79,59,-0.22,4.01
WV-051,"Marshall County",5.79,113,1.96,3.83
WV-053,"Mason County",3.94,67,-0.02,3.96
WV-055,"Mercer County",5.29,111,1.45,3.84
WV-057,"Mineral County",2.32,40,-0.9,3.22
WV-059,"Mingo County",6.07,109,1.68,4.39
WV-061,"Monongalia County",3.76,55,-0.16,3.92
WV-063,"Monroe County",3.76,69,0.02,3.74
WV-065,"Morgan County",2.81,57,-0.41,3.22
WV-067,"Nicholas County",4.17,63,-0.23,4.4
WV-069,"Ohio County",5.97,117,2.35,3.62
WV-071,"Pendleton County",2.83,48,-0.52,3.35
WV-073,"Pleasants County",4.04,73,0.14,3.9
WV-075,"Pocahontas County",4.52,61,-0.07,4.59
WV-077,"Preston County",3.72,47,-0.66,4.38
WV-079,"Putnam County",4.03,67,-0.09,4.12
WV-081,"Raleigh County",4.82,88,0.61,4.21
WV-083,"Randolph County",4.48,57,-0.26,4.74
WV-085,"Ritchie County",3.96,60,-0.2,4.16
WV-087,"Roane County",3.73,56,-0.39,4.12
WV-089,"Summers County",4.3,89,0.49,3.81
WV-091,"Taylor County",3.73,56,-0.32,4.05
WV-093,"Tucker County",4.27,63,-0.27,4.54
WV-095,"Tyler County",4.38,84,0.47,3.91
WV-097,"Upshur County",3.58,41,-0.96,4.54
WV-099,"Wayne County",4.98,93,0.72,4.26
WV-101,"Webster County",4.15,46,-0.73,4.88
WV-103,"Wetzel County",4.95,93,0.95,4
WV-105,"Wirt County",3.85,61,-0.18,4.03
WV-107,"Wood County",3.97,73,0.13,3.84
WV-109,"Wyoming County",5.53,101,1.09,4.44
