March 2020 Wisconsin County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WI-001,"Adams County",3.92,123,2.06,1.86
WI-003,"Ashland County",2.33,105,0.7,1.63
WI-005,"Barron County",2.23,93,0.5,1.73
WI-007,"Bayfield County",2.12,103,0.59,1.53
WI-009,"Brown County",4.16,123,2.23,1.93
WI-011,"Buffalo County",3.18,118,1.34,1.84
WI-013,"Burnett County",1.81,91,0.28,1.53
WI-015,"Calumet County",4.04,120,2.11,1.93
WI-017,"Chippewa County",2.35,94,0.62,1.73
WI-019,"Clark County",2.68,109,0.99,1.69
WI-021,"Columbia County",3.78,121,1.89,1.89
WI-023,"Crawford County",3.81,119,1.81,2
WI-025,"Dane County",2.82,98,0.81,2.01
WI-027,"Dodge County",3.14,114,1.25,1.89
WI-029,"Door County",3.9,124,2.07,1.83
WI-031,"Douglas County",1.84,89,0.35,1.49
WI-033,"Dunn County",2.26,86,0.44,1.82
WI-035,"Eau Claire County",2.59,101,0.79,1.8
WI-037,"Florence County",2.75,111,1.09,1.66
WI-039,"Fond du Lac County",3.58,120,1.72,1.86
WI-041,"Forest County",3.04,116,1.39,1.65
WI-043,"Grant County",3.97,120,1.95,2.02
WI-045,"Green County",3.26,110,1.14,2.12
WI-047,"Green Lake County",3.85,122,1.97,1.88
WI-049,"Iowa County",3.35,115,1.38,1.97
WI-051,"Iron County",2.39,100,0.65,1.74
WI-053,"Jackson County",2.6,103,0.8,1.8
WI-055,"Jefferson County",2.83,96,0.77,2.06
WI-057,"Juneau County",3.74,120,1.85,1.89
WI-059,"Kenosha County",4.12,118,1.85,2.27
WI-061,"Kewaunee County",4.02,121,2.01,2.01
WI-063,"La Crosse County",2.8,106,0.98,1.82
WI-065,"Lafayette County",3.48,113,1.44,2.04
WI-067,"Langlade County",3.1,114,1.36,1.74
WI-069,"Lincoln County",2.97,114,1.32,1.65
WI-071,"Manitowoc County",3.86,119,1.78,2.08
WI-073,"Marathon County",3.37,118,1.66,1.71
WI-075,"Marinette County",3.52,123,1.81,1.71
WI-077,"Marquette County",4.01,122,2.12,1.89
WI-078,"Menominee County",3.78,121,1.96,1.82
WI-079,"Milwaukee County",3.57,114,1.4,2.17
WI-081,"Monroe County",2.81,107,0.95,1.86
WI-083,"Oconto County",4.02,124,2.25,1.77
WI-085,"Oneida County",2.85,116,1.28,1.57
WI-087,"Outagamie County",4.06,121,2.17,1.89
WI-089,"Ozaukee County",3.39,115,1.38,2.01
WI-091,"Pepin County",3.07,115,1.26,1.81
WI-093,"Pierce County",2.55,102,0.81,1.74
WI-095,"Polk County",2.08,92,0.49,1.59
WI-097,"Portage County",3.86,122,2.04,1.82
WI-099,"Price County",2.39,104,0.72,1.67
WI-101,"Racine County",4.05,118,1.78,2.27
WI-103,"Richland County",3.69,118,1.72,1.97
WI-105,"Rock County",3.33,108,1.23,2.1
WI-107,"Rusk County",1.75,73,0.07,1.68
WI-109,"St. Croix County",2.38,99,0.69,1.69
WI-111,"Sauk County",3.83,120,1.89,1.94
WI-113,"Sawyer County",1.88,81,0.28,1.6
WI-115,"Shawano County",4.09,122,2.25,1.84
WI-117,"Sheboygan County",3.25,112,1.23,2.02
WI-119,"Taylor County",2.79,110,1.11,1.68
WI-121,"Trempealeau County",2.9,109,1.06,1.84
WI-123,"Vernon County",3.38,116,1.41,1.97
WI-125,"Vilas County",2.39,106,0.78,1.61
WI-127,"Walworth County",3.66,115,1.42,2.24
WI-129,"Washburn County",1.88,87,0.3,1.58
WI-131,"Washington County",3.36,116,1.4,1.96
WI-133,"Waukesha County",3.35,107,1.2,2.15
WI-135,"Waupaca County",3.9,121,2.04,1.86
WI-137,"Waushara County",3.79,120,1.94,1.85
WI-139,"Winnebago County",3.93,121,2.08,1.85
WI-141,"Wood County",3.47,121,1.74,1.73
