March 2020 Wyoming County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WY-001,"Albany County",0.77,38,-0.33,1.1
WY-003,"Big Horn County",0.38,9,-0.56,0.94
WY-005,"Campbell County",0.3,11,-0.51,0.81
WY-007,"Carbon County",1.11,41,-0.29,1.4
WY-009,"Converse County",0.54,25,-0.38,0.92
WY-011,"Crook County",0.41,9,-0.62,1.03
WY-013,"Fremont County",0.83,31,-0.42,1.25
WY-015,"Goshen County",0.5,36,-0.3,0.8
WY-017,"Hot Springs County",0.42,23,-0.52,0.94
WY-019,"Johnson County",0.57,17,-0.52,1.09
WY-021,"Laramie County",1.08,76,0.06,1.02
WY-023,"Lincoln County",2.06,79,0.16,1.9
WY-025,"Natrona County",0.66,41,-0.22,0.88
WY-027,"Niobrara County",0.61,45,-0.19,0.8
WY-029,"Park County",2.1,80,0.22,1.88
WY-031,"Platte County",0.54,36,-0.3,0.84
WY-033,"Sheridan County",0.6,7,-0.97,1.57
WY-035,"Sublette County",1.36,52,-0.35,1.71
WY-037,"Sweetwater County",0.75,88,0.07,0.68
WY-039,"Teton County",4.31,89,0.66,3.65
WY-041,"Uinta County",1.39,96,0.23,1.16
WY-043,"Washakie County",0.33,10,-0.49,0.82
WY-045,"Weston County",0.32,14,-0.46,0.78
