March 2020 Georgia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",4.75,80,0.5,4.25
GA-003,"Atkinson County",4.78,79,0.25,4.53
GA-005,"Bacon County",4.21,69,-0.1,4.31
GA-007,"Baker County",3.48,42,-1.74,5.22
GA-009,"Baldwin County",5.65,81,0.79,4.86
GA-011,"Banks County",7.17,98,1.59,5.58
GA-013,"Barrow County",6.4,90,0.95,5.45
GA-015,"Bartow County",6.13,83,0.51,5.62
GA-017,"Ben Hill County",5.96,90,1.23,4.73
GA-019,"Berrien County",4.11,60,-0.58,4.69
GA-021,"Bibb County",6.16,87,1.09,5.07
GA-023,"Bleckley County",6.31,91,1.43,4.88
GA-025,"Brantley County",2.43,37,-1.59,4.02
GA-027,"Brooks County",2.24,23,-2.58,4.82
GA-029,"Bryan County",5.04,92,1.15,3.89
GA-031,"Bulloch County",4.2,72,0.1,4.1
GA-033,"Burke County",4.51,76,0.14,4.37
GA-035,"Butts County",5.8,73,0.2,5.6
GA-037,"Calhoun County",4.48,57,-0.87,5.35
GA-039,"Camden County",2.73,51,-1.1,3.83
GA-043,"Candler County",4.49,73,0.17,4.32
GA-045,"Carroll County",8.25,101,2.22,6.03
GA-047,"Catoosa County",7.64,100,1.77,5.87
GA-049,"Charlton County",2.3,39,-1.7,4
GA-051,"Chatham County",5.23,97,1.44,3.79
GA-053,"Chattahoochee County",5.48,73,0.04,5.44
GA-055,"Chattooga County",6.88,86,0.78,6.1
GA-057,"Cherokee County",7.09,93,1.22,5.87
GA-059,"Clarke County",5.41,75,0.12,5.29
GA-061,"Clay County",4.34,53,-1.19,5.53
GA-063,"Clayton County",6.77,89,1.15,5.62
GA-065,"Clinch County",2.02,26,-2.36,4.38
GA-067,"Cobb County",6.45,91,0.85,5.6
GA-069,"Coffee County",5.52,92,0.97,4.55
GA-071,"Colquitt County",3.17,40,-1.66,4.83
GA-073,"Columbia County",5.69,88,1.01,4.68
GA-075,"Cook County",3.25,44,-1.46,4.71
GA-077,"Coweta County",6.98,92,1.19,5.79
GA-079,"Crawford County",6.03,83,0.77,5.26
GA-081,"Crisp County",6.51,98,1.6,4.91
GA-083,"Dade County",6.99,93,0.98,6.01
GA-085,"Dawson County",8.48,101,2.16,6.32
GA-087,"Decatur County",2.6,25,-2.64,5.24
GA-089,"DeKalb County",6.75,89,1.15,5.6
GA-091,"Dodge County",6.15,91,1.29,4.86
GA-093,"Dooly County",6.67,94,1.7,4.97
GA-095,"Dougherty County",4.7,65,-0.4,5.1
GA-097,"Douglas County",7.2,94,1.39,5.81
GA-099,"Early County",3.23,35,-2.21,5.44
GA-101,"Echols County",0.95,8,-3.51,4.46
GA-103,"Effingham County",4.54,85,0.66,3.88
GA-105,"Elbert County",5.42,83,0.33,5.09
GA-107,"Emanuel County",4.63,77,0.14,4.49
GA-109,"Evans County",5.02,88,0.96,4.06
GA-111,"Fannin County",8.32,100,1.92,6.4
GA-113,"Fayette County",6.8,90,1.13,5.67
GA-115,"Floyd County",6.34,84,0.49,5.85
GA-117,"Forsyth County",7.61,99,1.78,5.83
GA-119,"Franklin County",6.13,87,0.76,5.37
GA-121,"Fulton County",7.02,94,1.36,5.66
GA-123,"Gilmer County",9.01,103,2.5,6.51
GA-125,"Glascock County",5.42,83,0.6,4.82
