April 2020 Illinois County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",3.96,77,0.37,3.59
IL-003,"Alexander County",3.09,40,-1.3,4.39
IL-005,"Bond County",4.78,87,0.8,3.98
IL-007,"Boone County",3.75,90,0.6,3.15
IL-009,"Brown County",4.07,74,0.36,3.71
IL-011,"Bureau County",3.82,75,0.25,3.57
IL-013,"Calhoun County",4.29,83,0.53,3.76
IL-015,"Carroll County",2.41,45,-0.8,3.21
IL-017,"Cass County",5.96,116,2.27,3.69
IL-019,"Champaign County",4.69,93,0.96,3.73
IL-021,"Christian County",5.71,107,2.01,3.7
IL-023,"Clark County",2.99,50,-0.77,3.76
IL-025,"Clay County",5.33,94,1.41,3.92
IL-027,"Clinton County",4.48,83,0.46,4.02
IL-029,"Coles County",4.16,81,0.52,3.64
IL-031,"Cook County",4.76,102,1.38,3.38
IL-033,"Crawford County",3.46,61,-0.39,3.85
IL-035,"Cumberland County",4.03,77,0.3,3.73
IL-037,"DeKalb County",3.96,87,0.6,3.36
IL-039,"De Witt County",6.08,115,2.25,3.83
IL-041,"Douglas County",4.36,83,0.69,3.67
IL-043,"DuPage County",4.44,97,1.09,3.35
IL-045,"Edgar County",3.2,57,-0.53,3.73
IL-047,"Edwards County",5.01,87,0.88,4.13
IL-049,"Effingham County",4.49,88,0.75,3.74
IL-051,"Fayette County",4.72,89,0.95,3.77
IL-053,"Ford County",4.42,89,0.78,3.64
IL-055,"Franklin County",3.62,64,-0.51,4.13
IL-057,"Fulton County",5.03,103,1.4,3.63
IL-059,"Gallatin County",2.43,20,-1.96,4.39
IL-061,"Greene County",4.51,87,0.75,3.76
IL-063,"Grundy County",5.02,103,1.48,3.54
IL-065,"Hamilton County",4.38,83,0.34,4.04
IL-067,"Hancock County",3.32,59,-0.16,3.48
IL-069,"Hardin County",2.27,15,-2.11,4.38
IL-071,"Henderson County",2.29,36,-1.1,3.39
IL-073,"Henry County",2.73,50,-0.63,3.36
IL-075,"Iroquois County",3.74,74,0.0,3.74
IL-077,"Jackson County",2.95,39,-1.32,4.27
IL-079,"Jasper County",4.11,78,0.3,3.81
IL-081,"Jefferson County",4.99,88,0.87,4.12
IL-083,"Jersey County",4.64,87,0.82,3.82
IL-085,"Jo Daviess County",2.14,35,-0.92,3.06
IL-087,"Johnson County",2.87,25,-1.68,4.55
IL-089,"Kane County",4.26,97,0.98,3.28
IL-091,"Kankakee County",4.53,96,0.86,3.67
IL-093,"Kendall County",4.51,96,1.06,3.45
IL-095,"Knox County",3.11,59,-0.35,3.46
IL-097,"Lake County",5.07,112,1.84,3.23
IL-099,"LaSalle County",4.63,96,1.08,3.55
IL-101,"Lawrence County",3.99,74,-0.11,4.1
IL-103,"Lee County",3.8,79,0.39,3.41
IL-105,"Livingston County",5.34,106,1.7,3.64
IL-107,"Logan County",6.95,121,3.18,3.77
IL-109,"McDonough County",3.92,75,0.37,3.55
IL-111,"McHenry County",4.65,107,1.41,3.24
IL-113,"McLean County",5.44,107,1.7,3.74
IL-115,"Macon County",5.94,110,2.09,3.85
IL-117,"Macoupin County",4.94,90,1.03,3.91
IL-119,"Madison County",4.79,88,0.88,3.91
IL-121,"Marion County",4.92,88,0.9,4.02
IL-123,"Marshall County",5.35,106,1.75,3.6
IL-125,"Mason County",6.66,122,3.06,3.6
IL-127,"Massac County",2.87,29,-1.68,4.55
IL-129,"Menard County",6.67,120,3.0,3.67
IL-131,"Mercer County",2.38,44,-0.98,3.36
IL-133,"Monroe County",4.85,94,0.91,3.94
IL-135,"Montgomery County",5.12,99,1.33,3.79
IL-137,"Morgan County",5.23,103,1.57,3.66
IL-139,"Moultrie County",4.65,91,0.95,3.7
IL-141,"Ogle County",3.17,67,-0.06,3.23
IL-143,"Peoria County",4.72,95,1.12,3.6
IL-145,"Perry County",3.44,57,-0.67,4.11
IL-147,"Piatt County",5.14,99,1.34,3.8
IL-149,"Pike County",3.93,69,0.15,3.78
IL-151,"Pope County",2.55,18,-1.96,4.51
IL-153,"Pulaski County",3.04,36,-1.31,4.35
IL-155,"Putnam County",4.67,97,1.12,3.55
IL-157,"Randolph County",3.67,66,-0.36,4.03
IL-159,"Richland County",4.98,89,1.0,3.98
IL-161,"Rock Island County",2.37,43,-1.01,3.38
IL-163,"St. Clair County",4.57,89,0.67,3.9
IL-165,"Saline County",2.77,28,-1.57,4.34
IL-167,"Sangamon County",6.42,117,2.66,3.76
IL-169,"Schuyler County",4.5,89,0.83,3.67
IL-171,"Scott County",4.57,90,0.88,3.69
IL-173,"Shelby County",4.68,89,0.99,3.69
IL-175,"Stark County",3.74,71,0.23,3.51
IL-177,"Stephenson County",2.6,45,-0.55,3.15
IL-179,"Tazewell County",6.01,114,2.3,3.71
IL-181,"Union County",3.1,40,-1.42,4.52
IL-183,"Vermilion County",4.13,87,0.4,3.73
IL-185,"Wabash County",4.35,77,0.13,4.22
IL-187,"Warren County",2.56,43,-0.9,3.46
IL-189,"Washington County",4.3,75,0.17,4.13
IL-191,"Wayne County",5.46,93,1.37,4.09
IL-193,"White County",3.43,59,-0.67,4.1
IL-195,"Whiteside County",2.68,48,-0.7,3.38
IL-197,"Will County",5.01,105,1.44,3.57
IL-199,"Williamson County",3.06,40,-1.26,4.32
IL-201,"Winnebago County",3.08,63,-0.07,3.15
IL-203,"Woodford County",6.17,113,2.49,3.68
