April 2020 Indiana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",2.62,38,-0.84,3.46
IN-003,"Allen County",2.47,35,-0.92,3.39
IN-005,"Bartholomew County",2.43,27,-1.54,3.97
IN-007,"Benton County",3.64,70,-0.09,3.73
IN-009,"Blackford County",1.75,12,-1.9,3.65
IN-011,"Boone County",1.99,16,-1.72,3.71
IN-013,"Brown County",2.65,30,-1.34,3.99
IN-015,"Carroll County",2.44,30,-1.27,3.71
IN-017,"Cass County",2.12,21,-1.63,3.75
IN-019,"Clark County",4.64,85,0.59,4.05
IN-021,"Clay County",2.23,18,-1.66,3.89
IN-023,"Clinton County",2.52,37,-1.18,3.7
IN-025,"Crawford County",3.97,59,-0.19,4.16
IN-027,"Daviess County",3.15,39,-0.88,4.03
IN-029,"Dearborn County",3.26,53,-0.57,3.83
IN-031,"Decatur County",2.5,31,-1.42,3.92
IN-033,"DeKalb County",2.14,23,-1.25,3.39
IN-035,"Delaware County",1.31,5,-2.47,3.78
IN-037,"Dubois County",3.56,52,-0.56,4.12
IN-039,"Elkhart County",3.7,78,0.26,3.44
IN-041,"Fayette County",2.35,27,-1.46,3.81
IN-043,"Floyd County",4.65,83,0.6,4.05
IN-045,"Fountain County",3.7,72,0.0,3.7
IN-047,"Franklin County",2.53,32,-1.21,3.74
IN-049,"Fulton County",2.48,35,-1.19,3.67
IN-051,"Gibson County",3.61,57,-0.61,4.22
IN-053,"Grant County",1.91,15,-1.76,3.67
IN-055,"Greene County",2.84,29,-1.19,4.03
IN-057,"Hamilton County",2.05,19,-1.62,3.67
IN-059,"Hancock County",2.03,19,-1.77,3.8
IN-061,"Harrison County",4.4,74,0.27,4.13
IN-063,"Hendricks County",1.71,10,-2.07,3.78
IN-065,"Henry County",1.7,11,-2.19,3.89
IN-067,"Howard County",2.24,25,-1.44,3.68
IN-069,"Huntington County",2.73,40,-0.8,3.53
IN-071,"Jackson County",2.96,32,-1.1,4.06
IN-073,"Jasper County",3.33,62,-0.38,3.71
IN-075,"Jay County",1.84,13,-1.9,3.74
IN-077,"Jefferson County",3.4,51,-0.71,4.11
IN-079,"Jennings County",2.94,35,-1.07,4.01
IN-081,"Johnson County",2.51,29,-1.39,3.9
IN-083,"Knox County",3.25,45,-0.84,4.09
IN-085,"Kosciusko County",3.13,59,-0.38,3.51
IN-087,"LaGrange County",3.04,60,-0.3,3.34
IN-089,"Lake County",4.97,102,1.36,3.61
IN-091,"LaPorte County",4.63,96,1.02,3.61
IN-093,"Lawrence County",3.6,53,-0.53,4.13
IN-095,"Madison County",1.7,11,-2.05,3.75
IN-097,"Marion County",1.87,17,-1.84,3.71
IN-099,"Marshall County",3.89,81,0.37,3.52
IN-101,"Martin County",3.37,50,-0.69,4.06
IN-103,"Miami County",1.95,17,-1.73,3.68
IN-105,"Monroe County",2.83,31,-1.2,4.03
IN-107,"Montgomery County",2.16,24,-1.48,3.64
IN-109,"Morgan County",2.11,17,-1.73,3.84
IN-111,"Newton County",3.41,65,-0.35,3.76
IN-113,"Noble County",3.0,56,-0.38,3.38
IN-115,"Ohio County",3.73,60,-0.14,3.87
IN-117,"Orange County",3.76,55,-0.38,4.14
IN-119,"Owen County",2.3,20,-1.67,3.97
IN-121,"Parke County",2.79,42,-0.97,3.76
IN-123,"Perry County",4.19,70,-0.06,4.25
IN-125,"Pike County",3.34,44,-0.82,4.16
IN-127,"Porter County",5.08,104,1.41,3.67
IN-129,"Posey County",3.22,43,-1.04,4.26
IN-131,"Pulaski County",3.24,59,-0.49,3.73
IN-133,"Putnam County",2.07,16,-1.78,3.85
IN-135,"Randolph County",1.66,12,-2.15,3.81
IN-137,"Ripley County",2.9,39,-1.04,3.94
IN-139,"Rush County",2.23,26,-1.62,3.85
IN-141,"St. Joseph County",4.21,91,0.66,3.55
IN-143,"Scott County",3.8,60,-0.25,4.05
IN-145,"Shelby County",2.23,25,-1.66,3.89
IN-147,"Spencer County",3.94,61,-0.3,4.24
IN-149,"Starke County",4.36,90,0.72,3.64
IN-151,"Steuben County",2.36,33,-1.03,3.39
IN-153,"Sullivan County",2.81,39,-1.04,3.85
IN-155,"Switzerland County",3.66,59,-0.3,3.96
IN-157,"Tippecanoe County",3.0,52,-0.68,3.68
IN-159,"Tipton County",2.33,29,-1.32,3.65
IN-161,"Union County",2.2,25,-1.64,3.84
IN-163,"Vanderburgh County",3.4,45,-0.85,4.25
IN-165,"Vermillion County",3.46,65,-0.27,3.73
IN-167,"Vigo County",2.45,26,-1.31,3.76
IN-169,"Wabash County",2.34,27,-1.27,3.61
IN-171,"Warren County",4.23,85,0.51,3.72
IN-173,"Warrick County",3.67,57,-0.53,4.2
IN-175,"Washington County",4.17,68,0.03,4.14
IN-177,"Wayne County",1.8,14,-2.04,3.84
IN-179,"Wells County",2.52,34,-0.99,3.51
IN-181,"White County",2.79,42,-0.89,3.68
IN-183,"Whitley County",2.9,52,-0.57,3.47
