April 2020 Iowa County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IA-001,"Adair County",2.12,40,-0.89,3.01
IA-003,"Adams County",3.06,68,0.01,3.05
IA-005,"Allamakee County",1.69,21,-1.29,2.98
IA-007,"Appanoose County",1.79,21,-1.6,3.39
IA-009,"Audubon County",1.21,16,-1.62,2.83
IA-011,"Benton County",2.11,32,-0.99,3.1
IA-013,"Black Hawk County",1.59,21,-1.41,3
IA-015,"Boone County",1.36,19,-1.49,2.85
IA-017,"Bremer County",1.76,24,-1.2,2.96
IA-019,"Buchanan County",1.71,25,-1.24,2.95
IA-021,"Buena Vista County",0.98,10,-1.67,2.65
IA-023,"Butler County",1.38,18,-1.53,2.91
IA-025,"Calhoun County",0.7,3,-2.08,2.78
IA-027,"Carroll County",0.82,6,-2.0,2.82
IA-029,"Cass County",1.57,29,-1.25,2.82
IA-031,"Cedar County",2.28,36,-1.04,3.32
IA-033,"Cerro Gordo County",0.97,6,-1.79,2.76
IA-035,"Cherokee County",1.37,25,-1.22,2.59
IA-037,"Chickasaw County",1.44,13,-1.39,2.83
IA-039,"Clarke County",2.53,46,-0.67,3.2
IA-041,"Clay County",1.03,14,-1.56,2.59
IA-043,"Clayton County",1.01,6,-1.96,2.97
IA-045,"Clinton County",2.39,40,-0.95,3.34
IA-047,"Crawford County",0.65,5,-2.04,2.69
IA-049,"Dallas County",1.76,33,-1.15,2.91
IA-051,"Davis County",2.06,28,-1.37,3.43
IA-053,"Decatur County",3.43,70,0.11,3.32
IA-055,"Delaware County",1.47,14,-1.56,3.03
IA-057,"Des Moines County",2.39,37,-1.03,3.42
IA-059,"Dickinson County",0.97,13,-1.51,2.48
IA-061,"Dubuque County",1.53,15,-1.55,3.08
IA-063,"Emmet County",1.05,12,-1.57,2.62
IA-065,"Fayette County",1.34,10,-1.63,2.97
IA-067,"Floyd County",1.14,11,-1.68,2.82
IA-069,"Franklin County",1.07,7,-1.76,2.83
IA-071,"Fremont County",2.25,48,-0.55,2.8
IA-073,"Greene County",1.26,14,-1.6,2.86
IA-075,"Grundy County",1.88,30,-1.05,2.93
IA-077,"Guthrie County",2.23,51,-0.61,2.84
IA-079,"Hamilton County",1.09,10,-1.73,2.82
IA-081,"Hancock County",0.95,9,-1.71,2.66
IA-083,"Hardin County",1.79,26,-1.05,2.84
IA-085,"Harrison County",0.75,13,-1.96,2.71
IA-087,"Henry County",2.28,37,-1.18,3.46
IA-089,"Howard County",1.27,9,-1.61,2.88
IA-091,"Humboldt County",0.88,8,-1.78,2.66
IA-093,"Ida County",0.88,7,-1.75,2.63
IA-095,"Iowa County",1.72,24,-1.42,3.14
IA-097,"Jackson County",1.91,24,-1.27,3.18
IA-099,"Jasper County",1.65,21,-1.42,3.07
IA-101,"Jefferson County",1.97,25,-1.35,3.32
IA-103,"Johnson County",1.85,27,-1.3,3.15
IA-105,"Jones County",1.99,28,-1.18,3.17
IA-107,"Keokuk County",1.37,15,-1.83,3.2
IA-109,"Kossuth County",1.15,14,-1.49,2.64
IA-111,"Lee County",2.93,50,-0.51,3.44
IA-113,"Linn County",2.51,43,-0.58,3.09
IA-115,"Louisa County",2.07,32,-1.29,3.36
IA-117,"Lucas County",2.12,31,-1.1,3.22
IA-119,"Lyon County",0.77,7,-1.64,2.41
IA-121,"Madison County",1.63,23,-1.52,3.15
IA-123,"Mahaska County",1.6,20,-1.6,3.2
IA-125,"Marion County",1.62,21,-1.55,3.17
IA-127,"Marshall County",2.51,48,-0.48,2.99
IA-129,"Mills County",1.96,36,-0.79,2.75
IA-131,"Mitchell County",1.18,10,-1.56,2.74
IA-133,"Monona County",0.67,4,-1.96,2.63
IA-135,"Monroe County",1.85,25,-1.42,3.27
IA-137,"Montgomery County",2.44,49,-0.49,2.93
IA-139,"Muscatine County",2.07,35,-1.22,3.29
IA-141,"O'Brien County",1.44,32,-1.08,2.52
IA-143,"Osceola County",1.06,16,-1.35,2.41
IA-145,"Page County",2.32,38,-0.68,3
IA-147,"Palo Alto County",0.97,6,-1.73,2.7
IA-149,"Plymouth County",0.79,10,-1.7,2.49
IA-151,"Pocahontas County",0.91,8,-1.84,2.75
IA-153,"Polk County",1.8,28,-1.12,2.92
IA-155,"Pottawattamie County",1.15,17,-1.6,2.75
IA-157,"Poweshiek County",1.8,26,-1.39,3.19
IA-159,"Ringgold County",3.51,72,0.19,3.32
IA-161,"Sac County",0.83,5,-1.86,2.69
IA-163,"Scott County",2.4,40,-0.98,3.38
IA-165,"Shelby County",0.84,10,-2.0,2.84
IA-167,"Sioux County",0.86,9,-1.6,2.46
IA-169,"Story County",1.98,33,-0.91,2.89
IA-171,"Tama County",2.22,38,-0.92,3.14
IA-173,"Taylor County",2.95,60,-0.2,3.15
IA-175,"Union County",3.04,62,-0.2,3.24
IA-177,"Van Buren County",2.02,25,-1.38,3.4
IA-179,"Wapello County",2.01,31,-1.26,3.27
IA-181,"Warren County",1.53,20,-1.55,3.08
IA-183,"Washington County",1.58,16,-1.69,3.27
IA-185,"Wayne County",2.35,32,-1.0,3.35
IA-187,"Webster County",0.82,3,-1.98,2.8
IA-189,"Winnebago County",1.3,16,-1.36,2.66
IA-191,"Winneshiek County",1.59,19,-1.41,3
IA-193,"Woodbury County",0.75,5,-1.82,2.57
IA-195,"Worth County",1.26,15,-1.49,2.75
IA-197,"Wright County",0.89,6,-1.84,2.73
