April 2020 Kansas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",2.64,33,-1.21,3.85
KS-003,"Anderson County",2.59,35,-1.18,3.77
KS-005,"Atchison County",3.75,87,0.5,3.25
KS-007,"Barber County",1.57,44,-0.73,2.3
KS-009,"Barton County",0.55,9,-1.6,2.15
KS-011,"Bourbon County",3.53,61,-0.39,3.92
KS-013,"Brown County",3.04,71,-0.09,3.13
KS-015,"Butler County",1.82,34,-1.31,3.13
KS-017,"Chase County",2.16,47,-0.85,3.01
KS-019,"Chautauqua County",2.8,48,-0.84,3.64
KS-021,"Cherokee County",5.05,89,0.84,4.21
KS-023,"Cheyenne County",0.28,6,-1.53,1.81
KS-025,"Clark County",1.35,49,-0.57,1.92
KS-027,"Clay County",1.8,37,-0.83,2.63
KS-029,"Cloud County",1.05,12,-1.4,2.45
KS-031,"Coffey County",2.33,35,-1.13,3.46
KS-033,"Comanche County",1.49,49,-0.59,2.08
KS-035,"Cowley County",1.49,19,-1.78,3.27
KS-037,"Crawford County",4.55,82,0.44,4.11
KS-039,"Decatur County",0.13,1,-1.86,1.99
KS-041,"Dickinson County",1.78,34,-0.95,2.73
KS-043,"Doniphan County",2.92,61,-0.3,3.22
KS-045,"Douglas County",3.05,65,-0.28,3.33
KS-047,"Edwards County",0.59,14,-1.45,2.04
KS-049,"Elk County",2.47,38,-1.1,3.57
KS-051,"Ellis County",0.33,3,-1.77,2.1
KS-053,"Ellsworth County",1.14,21,-1.29,2.43
KS-055,"Finney County",0.23,8,-1.47,1.7
KS-057,"Ford County",0.92,31,-1.02,1.94
KS-059,"Franklin County",2.74,48,-0.77,3.51
KS-061,"Geary County",2.28,45,-0.64,2.92
KS-063,"Gove County",0.09,1,-1.7,1.79
KS-065,"Graham County",0.12,1,-1.94,2.06
KS-067,"Grant County",0.24,9,-1.25,1.49
KS-069,"Gray County",0.54,17,-1.26,1.8
KS-071,"Greeley County",0.06,2,-1.41,1.47
KS-073,"Greenwood County",2.37,42,-1.02,3.39
KS-075,"Hamilton County",0.1,6,-1.32,1.42
KS-077,"Harper County",1.25,22,-1.38,2.63
KS-079,"Harvey County",1.6,37,-1.26,2.86
KS-081,"Haskell County",0.32,9,-1.32,1.64
KS-083,"Hodgeman County",0.61,16,-1.29,1.9
KS-085,"Jackson County",4.18,94,1.02,3.16
KS-087,"Jefferson County",3.77,87,0.53,3.24
