April 2020 Kentucky County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",4.49,74,0.41,4.08
KY-003,"Allen County",4.76,78,0.49,4.27
KY-005,"Anderson County",4.77,89,0.79,3.98
KY-007,"Ballard County",3.01,31,-1.37,4.38
KY-009,"Barren County",4.2,57,-0.03,4.23
KY-011,"Bath County",6.06,114,2.2,3.86
KY-013,"Bell County",7.19,115,2.67,4.52
KY-015,"Boone County",3.69,66,-0.12,3.81
KY-017,"Bourbon County",5.77,109,1.95,3.82
KY-019,"Boyd County",5.38,108,1.82,3.56
KY-021,"Boyle County",3.81,60,-0.23,4.04
KY-023,"Bracken County",4.96,95,0.97,3.99
KY-025,"Breathitt County",5.59,107,1.72,3.87
KY-027,"Breckinridge County",4.49,79,0.21,4.28
KY-029,"Bullitt County",4.75,84,0.7,4.05
KY-031,"Butler County",4.55,77,0.27,4.28
KY-033,"Caldwell County",2.51,16,-1.91,4.42
KY-035,"Calloway County",3.53,45,-0.91,4.44
KY-037,"Campbell County",3.53,61,-0.34,3.87
KY-039,"Carlisle County",3.16,32,-1.34,4.5
KY-041,"Carroll County",3.9,61,-0.14,4.04
KY-043,"Carter County",5.58,110,2.0,3.58
KY-045,"Casey County",3.76,59,-0.32,4.08
KY-047,"Christian County",3.49,45,-0.9,4.39
KY-049,"Clark County",5.96,112,2.14,3.82
KY-051,"Clay County",5.88,107,1.75,4.13
KY-053,"Clinton County",6.15,107,1.92,4.23
KY-055,"Crittenden County",2.44,18,-1.95,4.39
KY-057,"Cumberland County",5.52,100,1.37,4.15
KY-059,"Daviess County",3.45,43,-0.77,4.22
KY-061,"Edmonson County",4.55,75,0.26,4.29
KY-063,"Elliott County",5.39,112,1.75,3.64
KY-065,"Estill County",5.9,113,2.05,3.85
KY-067,"Fayette County",5.27,103,1.46,3.81
KY-069,"Fleming County",5.91,111,2.04,3.87
KY-071,"Floyd County",6.28,115,2.61,3.67
KY-073,"Franklin County",5.01,90,1.03,3.98
KY-075,"Fulton County",4.12,59,-0.58,4.7
KY-077,"Gallatin County",3.82,65,-0.07,3.89
KY-079,"Garrard County",4.26,75,0.35,3.91
KY-081,"Grant County",4.07,73,0.16,3.91
KY-083,"Graves County",3.59,42,-1.04,4.63
KY-085,"Grayson County",4.65,77,0.29,4.36
KY-087,"Green County",4.28,73,0.25,4.03
KY-089,"Greenup County",5.53,108,1.94,3.59
KY-091,"Hancock County",4.29,74,0.02,4.27
KY-093,"Hardin County",4.69,83,0.51,4.18
KY-095,"Harlan County",8.01,121,3.64,4.37
KY-097,"Harrison County",5.27,99,1.42,3.85
KY-099,"Hart County",4.31,74,0.13,4.18
KY-101,"Henderson County",3.04,35,-1.23,4.27
KY-103,"Henry County",4.74,84,0.67,4.07
KY-105,"Hickman County",3.67,45,-0.96,4.63
KY-107,"Hopkins County",2.81,27,-1.51,4.32
KY-109,"Jackson County",5.45,105,1.47,3.98
KY-111,"Jefferson County",4.63,83,0.59,4.04
KY-113,"Jessamine County",4.78,96,0.99,3.79
KY-115,"Johnson County",5.44,108,1.75,3.69
KY-117,"Kenton County",3.62,62,-0.24,3.86
KY-119,"Knott County",6.77,119,2.96,3.81
KY-121,"Knox County",6.4,108,2.03,4.37
KY-123,"Larue County",4.6,79,0.48,4.12
KY-125,"Laurel County",5.13,97,1.01,4.12
KY-127,"Lawrence County",5.46,112,1.81,3.65
KY-129,"Lee County",5.79,110,1.92,3.87
KY-131,"Leslie County",6.84,117,2.68,4.16
KY-133,"Letcher County",7.86,125,3.97,3.89
KY-135,"Lewis County",6.04,111,2.32,3.72
KY-137,"Lincoln County",3.77,61,-0.3,4.07
KY-139,"Livingston County",2.72,25,-1.76,4.48
KY-141,"Logan County",5.02,85,0.74,4.28
KY-143,"Lyon County",2.6,20,-1.82,4.42
KY-145,"McCracken County",2.92,27,-1.64,4.56
KY-147,"McCreary County",6.37,112,2.19,4.18
KY-149,"McLean County",2.99,31,-1.25,4.24
KY-151,"Madison County",5.18,99,1.36,3.82
KY-153,"Magoffin County",5.36,106,1.65,3.71
KY-155,"Marion County",4.32,76,0.22,4.1
KY-157,"Marshall County",2.92,26,-1.57,4.49
KY-159,"Martin County",6.07,113,2.27,3.8
KY-161,"Mason County",6.08,111,2.22,3.86
KY-163,"Meade County",4.45,80,0.23,4.22
KY-165,"Menifee County",6.01,114,2.12,3.89
KY-167,"Mercer County",4.38,82,0.45,3.93
KY-169,"Metcalfe County",4.13,57,-0.02,4.15
KY-171,"Monroe County",4.88,80,0.61,4.27
KY-173,"Montgomery County",6.4,114,2.5,3.9
KY-175,"Morgan County",5.32,110,1.58,3.74
KY-177,"Muhlenberg County",4.0,62,-0.29,4.29
KY-179,"Nelson County",4.68,85,0.6,4.08
KY-181,"Nicholas County",5.97,112,2.07,3.9
KY-183,"Ohio County",4.06,67,-0.15,4.21
KY-185,"Oldham County",4.72,83,0.61,4.11
KY-187,"Owen County",4.55,82,0.59,3.96
KY-189,"Owsley County",5.71,109,1.83,3.88
KY-191,"Pendleton County",4.22,78,0.21,4.01
KY-193,"Perry County",6.73,117,2.78,3.95
KY-195,"Pike County",7.45,126,3.64,3.81
KY-197,"Powell County",6.24,114,2.33,3.91
KY-199,"Pulaski County",4.89,86,0.84,4.05
KY-201,"Robertson County",5.62,106,1.71,3.91
KY-203,"Rockcastle County",4.69,84,0.63,4.06
KY-205,"Rowan County",5.56,113,1.78,3.78
KY-207,"Russell County",5.46,100,1.34,4.12
KY-209,"Scott County",5.18,97,1.32,3.86
KY-211,"Shelby County",4.88,88,0.79,4.09
KY-213,"Simpson County",4.9,86,0.64,4.26
KY-215,"Spencer County",4.79,84,0.67,4.12
KY-217,"Taylor County",4.31,74,0.25,4.06
KY-219,"Todd County",5.16,86,0.83,4.33
KY-221,"Trigg County",2.68,23,-1.71,4.39
KY-223,"Trimble County",4.09,64,-0.02,4.11
KY-225,"Union County",2.53,20,-1.85,4.38
KY-227,"Warren County",4.53,74,0.28,4.25
KY-229,"Washington County",4.44,79,0.36,4.08
KY-231,"Wayne County",6.08,112,1.95,4.13
KY-233,"Webster County",2.66,22,-1.66,4.32
KY-235,"Whitley County",6.68,112,2.43,4.25
KY-237,"Wolfe County",5.59,110,1.73,3.86
KY-239,"Woodford County",4.92,93,1.05,3.87
