April 2020 Arizona County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-001,"Apache County",0.34,42,-0.4,0.74
AZ-003,"Cochise County",0.01,17,-0.3,0.31
AZ-005,"Coconino County",0.61,63,-0.21,0.82
AZ-007,"Gila County",0.24,30,-0.66,0.9
AZ-009,"Graham County",0.05,21,-0.4,0.45
AZ-011,"Greenlee County",0.16,32,-0.4,0.56
AZ-012,"La Paz County",0.26,92,0.03,0.23
AZ-013,"Maricopa County",0.06,41,-0.27,0.33
AZ-015,"Mohave County",0.81,96,0.23,0.58
AZ-017,"Navajo County",0.6,71,-0.07,0.67
AZ-019,"Pima County",0.11,50,-0.22,0.33
AZ-021,"Pinal County",0.08,34,-0.37,0.45
AZ-023,"Santa Cruz County",0.1,43,-0.32,0.42
AZ-025,"Yavapai County",0.47,59,-0.35,0.82
AZ-027,"Yuma County",0.18,93,0.04,0.14
