April 2020 Michigan County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MI-001,"Alcona County",2.8,86,0.44,2.36
MI-003,"Alger County",2.99,101,0.86,2.13
MI-005,"Allegan County",3.36,79,0.14,3.22
MI-007,"Alpena County",3.24,104,0.94,2.3
MI-009,"Antrim County",3.73,111,1.38,2.35
MI-011,"Arenac County",2.56,72,0.1,2.46
MI-013,"Baraga County",3.22,101,1.07,2.15
MI-015,"Barry County",3.29,82,0.21,3.08
MI-017,"Bay County",2.33,56,-0.31,2.64
MI-019,"Benzie County",3.3,99,0.88,2.42
MI-021,"Berrien County",3.96,88,0.49,3.47
MI-023,"Branch County",2.92,54,-0.43,3.35
MI-025,"Calhoun County",3.06,71,-0.09,3.15
MI-027,"Cass County",3.76,84,0.34,3.42
MI-029,"Charlevoix County",4.12,118,1.86,2.26
MI-031,"Cheboygan County",4.28,121,2.09,2.19
MI-033,"Chippewa County",4.14,122,1.92,2.22
MI-035,"Clare County",3.41,91,0.81,2.6
MI-037,"Clinton County",2.36,48,-0.51,2.87
MI-039,"Crawford County",3.29,95,0.87,2.42
MI-041,"Delta County",2.85,93,0.49,2.36
MI-043,"Dickinson County",2.74,84,0.49,2.25
MI-045,"Eaton County",2.95,68,0.01,2.94
MI-047,"Emmet County",4.54,123,2.33,2.21
MI-049,"Genesee County",1.85,31,-0.99,2.84
MI-051,"Gladwin County",3.04,87,0.53,2.51
MI-053,"Gogebic County",2.91,90,0.63,2.28
MI-055,"Grand Traverse County",3.27,95,0.88,2.39
MI-057,"Gratiot County",2.18,46,-0.57,2.75
MI-059,"Hillsdale County",3.25,67,0.01,3.24
MI-061,"Houghton County",2.77,96,0.72,2.05
MI-063,"Huron County",1.9,39,-0.61,2.51
MI-065,"Ingham County",2.53,55,-0.36,2.89
MI-067,"Ionia County",3.02,77,0.04,2.98
MI-069,"Iosco County",2.75,85,0.29,2.46
MI-071,"Iron County",3.31,101,1.09,2.22
MI-073,"Isabella County",3.12,82,0.43,2.69
MI-075,"Jackson County",2.81,67,-0.15,2.96
MI-077,"Kalamazoo County",3.12,70,-0.11,3.23
MI-079,"Kalkaska County",3.31,96,0.85,2.46
MI-081,"Kent County",3.63,90,0.53,3.1
MI-083,"Keweenaw County",1.54,50,-0.37,1.91
MI-085,"Lake County",3.18,87,0.49,2.69
MI-087,"Lapeer County",2.0,41,-0.77,2.77
MI-089,"Leelanau County",3.49,106,1.13,2.36
MI-091,"Lenawee County",2.52,53,-0.49,3.01
MI-093,"Livingston County",2.05,34,-0.89,2.94
MI-095,"Luce County",3.11,108,1.04,2.07
MI-097,"Mackinac County",3.88,115,1.68,2.2
MI-099,"Macomb County",1.93,28,-0.97,2.9
MI-101,"Manistee County",3.17,90,0.68,2.49
MI-103,"Marquette County",3.11,96,0.84,2.27
MI-105,"Mason County",3.1,85,0.54,2.56
MI-107,"Mecosta County",3.41,88,0.57,2.84
MI-109,"Menominee County",2.62,75,0.19,2.43
MI-111,"Midland County",2.66,66,0.02,2.64
MI-113,"Missaukee County",3.23,88,0.68,2.55
MI-115,"Monroe County",2.06,30,-0.9,2.96
MI-117,"Montcalm County",3.14,79,0.25,2.89
MI-119,"Montmorency County",3.39,107,1.16,2.23
MI-121,"Muskegon County",3.66,94,0.74,2.92
MI-123,"Newaygo County",3.49,86,0.59,2.9
MI-125,"Oakland County",1.9,27,-1.04,2.94
MI-127,"Oceana County",3.28,84,0.53,2.75
MI-129,"Ogemaw County",3.05,92,0.66,2.39
MI-131,"Ontonagon County",2.93,95,0.78,2.15
MI-133,"Osceola County",3.36,90,0.64,2.72
MI-135,"Oscoda County",3.04,95,0.76,2.28
MI-137,"Otsego County",3.73,115,1.45,2.28
MI-139,"Ottawa County",3.64,87,0.52,3.12
MI-141,"Presque Isle County",3.85,116,1.63,2.22
MI-143,"Roscommon County",3.25,93,0.8,2.45
MI-145,"Saginaw County",2.12,45,-0.59,2.71
MI-147,"St. Clair County",2.21,46,-0.67,2.88
MI-149,"St. Joseph County",3.19,66,-0.13,3.32
MI-151,"Sanilac County",2.1,46,-0.55,2.65
MI-153,"Schoolcraft County",2.94,100,0.78,2.16
MI-155,"Shiawassee County",1.85,31,-0.97,2.82
MI-157,"Tuscola County",2.17,52,-0.45,2.62
MI-159,"Van Buren County",3.3,76,-0.0,3.3
MI-161,"Washtenaw County",2.26,40,-0.57,2.83
MI-163,"Wayne County",2.17,36,-0.76,2.93
MI-165,"Wexford County",3.23,89,0.67,2.56
