April 2020 Mississippi County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",7.63,100,2.16,5.47
MS-003,"Alcorn County",6.47,95,1.41,5.06
MS-005,"Amite County",8.05,104,2.56,5.49
MS-007,"Attala County",7.68,103,2.39,5.29
MS-009,"Benton County",6.68,97,1.5,5.18
MS-011,"Bolivar County",9.71,120,4.44,5.27
MS-013,"Calhoun County",5.9,83,0.59,5.31
MS-015,"Carroll County",8.83,112,3.52,5.31
MS-017,"Chickasaw County",6.94,99,1.75,5.19
MS-019,"Choctaw County",9.12,110,3.82,5.3
MS-021,"Claiborne County",8.67,102,3.2,5.47
MS-023,"Clarke County",6.99,94,1.69,5.3
MS-025,"Clay County",9.36,112,4.24,5.12
MS-027,"Coahoma County",8.52,110,3.3,5.22
MS-029,"Copiah County",8.88,107,3.41,5.47
MS-031,"Covington County",6.03,80,0.61,5.42
MS-033,"DeSoto County",5.98,80,0.72,5.26
MS-035,"Forrest County",5.17,72,0.12,5.05
MS-037,"Franklin County",7.81,102,2.2,5.61
MS-039,"George County",4.07,52,-0.99,5.06
MS-041,"Greene County",5.22,74,0.08,5.14
MS-043,"Grenada County",7.61,104,2.31,5.3
MS-045,"Hancock County",4.48,64,-0.53,5.01
MS-047,"Harrison County",3.36,47,-1.53,4.89
MS-049,"Hinds County",8.79,108,3.51,5.28
MS-051,"Holmes County",8.44,109,3.17,5.27
MS-053,"Humphreys County",8.72,109,3.38,5.34
MS-055,"Issaquena County",6.81,93,1.47,5.34
MS-057,"Itawamba County",7.08,98,1.98,5.1
MS-059,"Jackson County",3.39,47,-1.35,4.74
MS-061,"Jasper County",6.72,89,1.23,5.49
MS-063,"Jefferson County",8.02,101,2.48,5.54
MS-065,"Jefferson Davis County",6.63,92,1.18,5.45
MS-067,"Jones County",6.12,85,0.78,5.34
MS-069,"Kemper County",6.0,81,0.73,5.27
MS-071,"Lafayette County",5.86,78,0.55,5.31
MS-073,"Lamar County",5.23,72,0.09,5.14
MS-075,"Lauderdale County",6.07,83,0.75,5.32
MS-077,"Lawrence County",7.79,104,2.31,5.48
MS-079,"Leake County",6.05,81,0.74,5.31
MS-081,"Lee County",6.22,87,1.17,5.05
MS-083,"Leflore County",8.82,112,3.53,5.29
MS-085,"Lincoln County",8.54,104,2.94,5.6
MS-087,"Lowndes County",10.52,117,5.46,5.06
MS-089,"Madison County",7.1,93,1.91,5.19
MS-091,"Marion County",6.7,94,1.46,5.24
MS-093,"Marshall County",6.26,91,1.01,5.25
MS-095,"Monroe County",8.71,111,3.54,5.17
MS-097,"Montgomery County",8.98,111,3.64,5.34
MS-099,"Neshoba County",5.48,72,0.1,5.38
MS-101,"Newton County",6.17,85,0.75,5.42
MS-103,"Noxubee County",9.93,118,4.86,5.07
MS-105,"Oktibbeha County",10.41,116,5.27,5.14
MS-107,"Panola County",6.66,89,1.24,5.42
MS-109,"Pearl River County",5.64,78,0.57,5.07
MS-111,"Perry County",5.32,77,0.23,5.09
MS-113,"Pike County",8.73,108,3.17,5.56
MS-115,"Pontotoc County",5.83,81,0.6,5.23
MS-117,"Prentiss County",6.24,90,1.15,5.09
MS-119,"Quitman County",8.31,107,2.96,5.35
MS-121,"Rankin County",7.14,92,1.81,5.33
MS-123,"Scott County",6.22,85,0.91,5.31
MS-125,"Sharkey County",7.29,99,1.89,5.4
MS-127,"Simpson County",7.41,99,1.87,5.54
MS-129,"Smith County",6.51,88,1.02,5.49
MS-131,"Stone County",4.08,51,-0.96,5.04
MS-133,"Sunflower County",9.1,115,3.7,5.4
MS-135,"Tallahatchie County",8.03,109,2.7,5.33
MS-137,"Tate County",6.76,95,1.45,5.31
MS-139,"Tippah County",6.52,93,1.38,5.14
MS-141,"Tishomingo County",6.35,94,1.3,5.05
MS-143,"Tunica County",6.82,98,1.48,5.34
MS-145,"Union County",5.97,82,0.79,5.18
MS-147,"Walthall County",7.94,108,2.54,5.4
MS-149,"Warren County",8.44,101,3.08,5.36
MS-151,"Washington County",7.57,102,2.25,5.32
MS-153,"Wayne County",6.82,91,1.6,5.22
MS-155,"Webster County",8.08,106,2.79,5.29
MS-157,"Wilkinson County",6.82,95,1.53,5.29
MS-159,"Winston County",7.55,96,2.19,5.36
MS-161,"Yalobusha County",6.12,81,0.66,5.46
MS-163,"Yazoo County",7.93,103,2.65,5.28
