April 2020 Missouri County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MO-001,"Adair County",2.58,34,-0.92,3.5
MO-003,"Andrew County",3.02,63,-0.16,3.18
MO-005,"Atchison County",2.2,33,-0.9,3.1
MO-007,"Audrain County",3.98,74,0.23,3.75
MO-009,"Barry County",6.13,105,1.71,4.42
MO-011,"Barton County",4.41,81,0.35,4.06
MO-013,"Bates County",3.89,69,-0.07,3.96
MO-015,"Benton County",4.79,91,0.66,4.13
MO-017,"Bollinger County",3.81,61,-0.68,4.49
MO-019,"Boone County",4.22,79,0.46,3.76
MO-021,"Buchanan County",3.11,64,-0.13,3.24
MO-023,"Butler County",4.17,63,-0.5,4.67
MO-025,"Caldwell County",3.44,61,-0.09,3.53
MO-027,"Callaway County",3.9,71,0.13,3.77
MO-029,"Camden County",4.68,93,0.67,4.01
MO-031,"Cape Girardeau County",3.55,55,-0.9,4.45
MO-033,"Carroll County",3.11,56,-0.53,3.64
MO-035,"Carter County",3.68,57,-0.82,4.5
MO-037,"Cass County",3.63,66,-0.18,3.81
MO-039,"Cedar County",4.05,77,0.04,4.01
MO-041,"Chariton County",2.4,28,-1.3,3.7
MO-043,"Christian County",5.43,97,1.08,4.35
MO-045,"Clark County",2.81,44,-0.66,3.47
MO-047,"Clay County",2.62,40,-0.84,3.46
MO-049,"Clinton County",3.19,60,-0.19,3.38
MO-051,"Cole County",3.78,68,-0.03,3.81
MO-053,"Cooper County",4.08,83,0.33,3.75
MO-055,"Crawford County",4.67,87,0.6,4.07
MO-057,"Dade County",4.95,94,0.84,4.11
MO-059,"Dallas County",6.12,107,2.01,4.11
MO-061,"Daviess County",3.42,68,0.03,3.39
MO-063,"DeKalb County",3.55,73,0.24,3.31
MO-065,"Dent County",4.31,79,0.06,4.25
MO-067,"Douglas County",4.73,84,0.39,4.34
MO-069,"Dunklin County",4.61,71,-0.05,4.66
MO-071,"Franklin County",4.29,83,0.37,3.92
MO-073,"Gasconade County",3.58,63,-0.29,3.87
MO-075,"Gentry County",3.03,61,-0.19,3.22
MO-077,"Greene County",5.2,96,0.99,4.21
MO-079,"Grundy County",3.55,77,0.19,3.36
MO-081,"Harrison County",3.5,73,0.2,3.3
MO-083,"Henry County",4.82,99,0.79,4.03
MO-085,"Hickory County",5.81,102,1.71,4.1
MO-087,"Holt County",2.57,44,-0.59,3.16
MO-089,"Howard County",3.38,65,-0.33,3.71
MO-091,"Howell County",4.56,75,0.03,4.53
MO-093,"Iron County",3.85,64,-0.72,4.57
MO-095,"Jackson County",3.03,57,-0.63,3.66
MO-097,"Jasper County",5.24,99,1.0,4.24
MO-099,"Jefferson County",5.19,96,1.17,4.02
MO-101,"Johnson County",3.95,72,-0.03,3.98
MO-103,"Knox County",2.73,41,-0.84,3.57
MO-105,"Laclede County",5.25,98,1.12,4.13
MO-107,"Lafayette County",3.34,57,-0.42,3.76
MO-109,"Lawrence County",5.48,101,1.19,4.29
MO-111,"Lewis County",2.93,50,-0.63,3.56
MO-113,"Lincoln County",4.06,76,0.17,3.89
MO-115,"Linn County",2.88,46,-0.67,3.55
MO-117,"Livingston County",3.17,62,-0.3,3.47
MO-119,"McDonald County",5.42,95,0.93,4.49
MO-121,"Macon County",2.47,33,-1.07,3.54
MO-123,"Madison County",3.35,43,-1.25,4.6
MO-125,"Maries County",4.55,91,0.68,3.87
MO-127,"Marion County",3.41,67,-0.23,3.64
MO-129,"Mercer County",3.38,64,0.01,3.37
MO-131,"Miller County",4.31,82,0.4,3.91
MO-133,"Mississippi County",3.2,40,-1.29,4.49
MO-135,"Moniteau County",3.76,68,-0.08,3.84
MO-137,"Monroe County",3.24,62,-0.44,3.68
MO-139,"Montgomery County",3.53,61,-0.3,3.83
MO-141,"Morgan County",3.76,59,-0.23,3.99
MO-143,"New Madrid County",4.03,58,-0.58,4.61
MO-145,"Newton County",5.46,95,1.08,4.38
MO-147,"Nodaway County",2.64,47,-0.51,3.15
MO-149,"Oregon County",4.46,71,-0.1,4.56
MO-151,"Osage County",3.75,71,-0.04,3.79
MO-153,"Ozark County",5.21,90,0.84,4.37
MO-155,"Pemiscot County",5.04,81,0.49,4.55
MO-157,"Perry County",3.19,49,-1.12,4.31
MO-159,"Pettis County",4.12,82,0.27,3.85
MO-161,"Phelps County",5.01,96,1.05,3.96
MO-163,"Pike County",3.78,68,-0.02,3.8
MO-165,"Platte County",3.28,72,-0.0,3.28
MO-167,"Polk County",6.0,102,1.94,4.06
