April 2020 Montana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-001,"Beaverhead County",1.26,30,-0.64,1.9
MT-003,"Big Horn County",1.03,33,-0.61,1.64
MT-005,"Blaine County",0.58,38,-0.41,0.99
MT-007,"Broadwater County",1.06,44,-0.27,1.33
MT-009,"Carbon County",1.18,24,-0.84,2.02
MT-011,"Carter County",0.74,29,-0.6,1.34
MT-013,"Cascade County",1.11,47,-0.27,1.38
MT-015,"Chouteau County",1.09,76,0.03,1.06
MT-017,"Custer County",0.73,38,-0.52,1.25
MT-019,"Daniels County",0.18,10,-0.72,0.9
MT-021,"Dawson County",0.42,22,-0.67,1.09
MT-023,"Deer Lodge County",1.53,31,-0.63,2.16
MT-025,"Fallon County",0.71,38,-0.53,1.24
MT-027,"Fergus County",1.47,76,0.21,1.26
MT-029,"Flathead County",2.39,52,-0.23,2.62
MT-031,"Gallatin County",1.43,18,-0.75,2.18
MT-033,"Garfield County",0.8,53,-0.2,1
MT-035,"Glacier County",1.45,42,-0.44,1.89
MT-037,"Golden Valley County",1.19,70,0.0,1.19
MT-039,"Granite County",2.02,58,-0.1,2.12
MT-041,"Hill County",0.47,35,-0.38,0.85
MT-043,"Jefferson County",1.11,31,-0.55,1.66
MT-045,"Judith Basin County",1.77,80,0.17,1.6
MT-047,"Lake County",2.57,101,0.73,1.84
MT-049,"Lewis and Clark County",1.64,55,-0.1,1.74
MT-051,"Liberty County",0.53,41,-0.34,0.87
MT-053,"Lincoln County",1.74,44,-0.4,2.14
MT-055,"McCone County",0.3,17,-0.71,1.01
MT-057,"Madison County",1.36,22,-0.77,2.13
MT-059,"Meagher County",1.66,54,-0.18,1.84
MT-061,"Mineral County",2.93,83,0.34,2.59
MT-063,"Missoula County",3.0,103,0.84,2.16
MT-065,"Musselshell County",1.01,54,-0.14,1.15
MT-067,"Park County",1.6,14,-0.85,2.45
MT-069,"Petroleum County",1.34,87,0.31,1.03
MT-071,"Phillips County",0.64,45,-0.25,0.89
MT-073,"Pondera County",1.18,60,-0.1,1.28
MT-075,"Powder River County",0.73,24,-0.73,1.46
MT-077,"Powell County",1.9,58,-0.08,1.98
MT-079,"Prairie County",0.53,34,-0.54,1.07
MT-081,"Ravalli County",2.15,62,-0.14,2.29
MT-083,"Richland County",0.2,10,-0.86,1.06
MT-085,"Roosevelt County",0.2,13,-0.72,0.92
MT-087,"Rosebud County",1.07,56,-0.16,1.23
MT-089,"Sanders County",2.2,78,0.13,2.07
MT-091,"Sheridan County",0.28,14,-0.68,0.96
MT-093,"Silver Bow County",1.04,22,-0.72,1.76
MT-095,"Stillwater County",1.14,25,-0.78,1.92
MT-097,"Sweet Grass County",0.99,17,-0.84,1.83
MT-099,"Teton County",1.47,67,0.1,1.37
MT-101,"Toole County",0.58,37,-0.34,0.92
MT-103,"Treasure County",1.37,75,0.13,1.24
MT-105,"Valley County",0.29,19,-0.57,0.86
MT-107,"Wheatland County",1.46,76,0.12,1.34
MT-109,"Wibaux County",0.55,28,-0.64,1.19
MT-111,"Yellowstone County",0.75,31,-0.56,1.31
