April 2020 Nebraska County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",0.64,12,-1.74,2.38
NE-003,"Antelope County",0.55,5,-1.91,2.46
NE-005,"Arthur County",0.89,25,-1.08,1.97
NE-007,"Banner County",0.84,20,-1.07,1.91
NE-009,"Blaine County",0.78,14,-1.61,2.39
NE-011,"Boone County",0.64,7,-1.84,2.48
NE-013,"Box Butte County",0.82,20,-1.04,1.86
NE-015,"Boyd County",0.56,4,-1.82,2.38
NE-017,"Brown County",0.59,6,-1.78,2.37
NE-019,"Buffalo County",0.62,10,-1.77,2.39
NE-021,"Burt County",0.58,3,-2.05,2.63
NE-023,"Butler County",0.79,9,-1.79,2.58
NE-025,"Cass County",1.51,24,-1.14,2.65
NE-027,"Cedar County",0.66,7,-1.9,2.56
NE-029,"Chase County",0.46,11,-1.41,1.87
NE-031,"Cherry County",0.92,20,-1.24,2.16
NE-033,"Cheyenne County",0.69,19,-1.24,1.93
NE-035,"Clay County",0.61,9,-1.9,2.51
NE-037,"Colfax County",0.52,4,-2.06,2.58
NE-039,"Cuming County",0.6,3,-1.95,2.55
NE-041,"Custer County",0.7,14,-1.58,2.28
NE-043,"Dakota County",0.63,5,-1.9,2.53
NE-045,"Dawes County",0.68,10,-1.38,2.06
NE-047,"Dawson County",0.39,7,-1.8,2.19
NE-049,"Deuel County",0.79,18,-1.17,1.96
NE-051,"Dixon County",0.62,8,-1.92,2.54
NE-053,"Dodge County",0.59,7,-2.04,2.63
NE-055,"Douglas County",0.8,11,-1.87,2.67
NE-057,"Dundy County",0.32,5,-1.49,1.81
NE-059,"Fillmore County",0.78,12,-1.8,2.58
NE-061,"Franklin County",0.39,6,-1.85,2.24
NE-063,"Frontier County",0.27,7,-1.85,2.12
NE-065,"Furnas County",0.24,5,-1.84,2.08
NE-067,"Gage County",1.07,13,-1.51,2.58
NE-069,"Garden County",0.98,31,-0.91,1.89
NE-071,"Garfield County",0.64,9,-1.67,2.31
NE-073,"Gosper County",0.31,6,-1.86,2.17
NE-075,"Grant County",1.02,25,-1.01,2.03
NE-077,"Greeley County",0.69,10,-1.76,2.45
NE-079,"Hall County",0.71,13,-1.68,2.39
NE-081,"Hamilton County",0.79,12,-1.71,2.5
NE-083,"Harlan County",0.43,8,-1.71,2.14
NE-085,"Hayes County",0.36,8,-1.72,2.08
NE-087,"Hitchcock County",0.22,3,-1.76,1.98
NE-089,"Holt County",0.48,4,-1.88,2.36
NE-091,"Hooker County",1.11,23,-1.06,2.17
NE-093,"Howard County",0.81,13,-1.59,2.4
NE-095,"Jefferson County",0.89,9,-1.62,2.51
NE-097,"Johnson County",1.53,18,-1.24,2.77
NE-099,"Kearney County",0.51,10,-1.88,2.39
NE-101,"Keith County",0.62,13,-1.32,1.94
NE-103,"Keya Paha County",0.64,8,-1.73,2.37
NE-105,"Kimball County",0.64,10,-1.16,1.8
NE-107,"Knox County",0.55,5,-1.9,2.45
NE-109,"Lancaster County",1.03,13,-1.61,2.64
NE-111,"Lincoln County",0.71,14,-1.41,2.12
NE-113,"Logan County",1.07,19,-1.24,2.31
NE-115,"Loup County",0.63,9,-1.68,2.31
NE-117,"McPherson County",0.97,20,-1.15,2.12
NE-119,"Madison County",0.37,3,-2.16,2.53
NE-121,"Merrick County",0.8,11,-1.64,2.44
NE-123,"Morrill County",0.9,29,-0.85,1.75
NE-125,"Nance County",0.68,8,-1.75,2.43
NE-127,"Nemaha County",1.97,29,-0.98,2.95
NE-129,"Nuckolls County",0.46,7,-1.97,2.43
NE-131,"Otoe County",1.66,24,-1.04,2.7
NE-133,"Pawnee County",1.68,23,-1.13,2.81
NE-135,"Perkins County",0.54,10,-1.4,1.94
NE-137,"Phelps County",0.42,7,-1.82,2.24
NE-139,"Pierce County",0.43,4,-2.1,2.53
NE-141,"Platte County",0.51,5,-1.98,2.49
NE-143,"Polk County",0.75,9,-1.75,2.5
NE-145,"Red Willow County",0.13,2,-1.86,1.99
NE-147,"Richardson County",2.18,34,-0.87,3.05
NE-149,"Rock County",0.5,5,-1.84,2.34
NE-151,"Saline County",1.07,15,-1.48,2.55
NE-153,"Sarpy County",0.99,12,-1.68,2.67
NE-155,"Saunders County",0.79,11,-1.9,2.69
NE-157,"Scotts Bluff County",0.74,23,-0.96,1.7
NE-159,"Seward County",1.12,20,-1.47,2.59
NE-161,"Sheridan County",0.96,27,-1.0,1.96
NE-163,"Sherman County",0.68,11,-1.6,2.28
NE-165,"Sioux County",0.65,12,-1.2,1.85
NE-167,"Stanton County",0.4,3,-2.11,2.51
NE-169,"Thayer County",0.56,6,-1.93,2.49
NE-171,"Thomas County",1.11,23,-1.21,2.32
NE-173,"Thurston County",0.69,4,-1.87,2.56
NE-175,"Valley County",0.65,11,-1.7,2.35
NE-177,"Washington County",0.7,11,-1.96,2.66
NE-179,"Wayne County",0.65,8,-1.84,2.49
NE-181,"Webster County",0.45,6,-1.9,2.35
NE-183,"Wheeler County",0.69,8,-1.7,2.39
NE-185,"York County",0.99,15,-1.58,2.57
