April 2020 Nevada County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NV-001,"Churchill County",0.29,28,-0.37,0.66
NV-003,"Clark County",0.79,103,0.37,0.42
NV-005,"Douglas County",1.05,75,0.0,1.05
NV-007,"Elko County",0.58,15,-0.74,1.32
NV-009,"Esmeralda County",0.8,109,0.36,0.44
NV-011,"Eureka County",0.35,12,-0.86,1.21
NV-013,"Humboldt County",0.36,12,-0.63,0.99
NV-015,"Lander County",0.41,13,-0.7,1.11
NV-017,"Lincoln County",0.97,89,0.19,0.78
NV-019,"Lyon County",0.54,75,-0.03,0.57
NV-021,"Mineral County",0.88,95,0.32,0.56
NV-023,"Nye County",0.76,84,0.03,0.73
NV-027,"Pershing County",0.33,20,-0.45,0.78
NV-029,"Storey County",0.68,61,-0.14,0.82
NV-031,"Washoe County",0.53,35,-0.38,0.91
NV-033,"White Pine County",0.97,44,-0.34,1.31
NV-510,"Carson City",0.76,58,-0.21,0.97
