April 2020 New York County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NY-001,"Albany County",3.21,74,0.0,3.21
NY-003,"Allegany County",3.04,62,-0.18,3.22
NY-005,"Bronx County",4.44,90,0.55,3.89
NY-007,"Broome County",3.55,85,0.25,3.3
NY-009,"Cattaraugus County",3.23,57,-0.39,3.62
NY-011,"Cayuga County",2.66,54,-0.4,3.06
NY-013,"Chautauqua County",3.84,86,0.26,3.58
NY-015,"Chemung County",3.29,86,0.27,3.02
NY-017,"Chenango County",2.96,49,-0.41,3.37
NY-019,"Clinton County",2.73,69,0.06,2.67
NY-021,"Columbia County",3.79,84,0.34,3.45
NY-023,"Cortland County",3.0,54,-0.31,3.31
NY-025,"Delaware County",4.08,92,0.47,3.61
NY-027,"Dutchess County",3.67,68,-0.12,3.79
NY-029,"Erie County",3.22,73,0.04,3.18
NY-031,"Essex County",3.54,84,0.27,3.27
NY-033,"Franklin County",2.2,24,-0.77,2.97
NY-035,"Fulton County",3.55,57,-0.16,3.71
NY-037,"Genesee County",3.08,80,0.18,2.9
NY-039,"Greene County",4.14,87,0.33,3.81
NY-041,"Hamilton County",3.29,50,-0.36,3.65
NY-043,"Herkimer County",2.82,31,-0.82,3.64
NY-045,"Jefferson County",2.32,36,-0.73,3.05
NY-047,"Kings County",4.01,83,0.21,3.8
NY-049,"Lewis County",2.19,17,-1.29,3.48
NY-051,"Livingston County",2.41,47,-0.48,2.89
NY-053,"Madison County",3.24,65,-0.03,3.27
NY-055,"Monroe County",2.85,73,0.04,2.81
NY-057,"Montgomery County",3.19,66,-0.03,3.22
NY-059,"Nassau County",3.81,69,-0.08,3.89
NY-061,"New York County",4.22,85,0.35,3.87
NY-063,"Niagara County",3.1,80,0.35,2.75
NY-065,"Oneida County",2.92,39,-0.65,3.57
NY-067,"Onondaga County",3.15,67,0.02,3.13
NY-069,"Ontario County",2.03,30,-0.83,2.86
NY-071,"Orange County",3.41,57,-0.39,3.8
NY-073,"Orleans County",3.19,87,0.37,2.82
NY-075,"Oswego County",3.15,68,-0.12,3.27
NY-077,"Otsego County",3.62,81,0.22,3.4
NY-079,"Putnam County",4.12,72,0.06,4.06
NY-081,"Queens County",4.03,82,0.21,3.82
NY-083,"Rensselaer County",3.39,76,0.16,3.23
NY-085,"Richmond County",3.74,69,-0.13,3.87
NY-087,"Rockland County",4.31,83,0.3,4.01
NY-089,"St. Lawrence County",1.92,18,-1.08,3
NY-091,"Saratoga County",3.46,70,0.05,3.41
NY-093,"Schenectady County",3.1,67,-0.03,3.13
NY-095,"Schoharie County",3.36,76,0.04,3.32
NY-097,"Schuyler County",3.23,88,0.33,2.9
NY-099,"Seneca County",2.22,44,-0.66,2.88
NY-101,"Steuben County",2.87,73,-0.08,2.95
NY-103,"Suffolk County",4.42,84,0.48,3.94
NY-105,"Sullivan County",4.06,71,0.11,3.95
NY-107,"Tioga County",3.43,85,0.26,3.17
NY-109,"Tompkins County",2.99,71,-0.03,3.02
NY-111,"Ulster County",4.36,78,0.19,4.17
NY-113,"Warren County",3.59,72,0.13,3.46
NY-115,"Washington County",3.42,82,0.35,3.07
NY-117,"Wayne County",2.32,42,-0.59,2.91
NY-119,"Westchester County",4.46,84,0.4,4.06
NY-121,"Wyoming County",3.0,67,-0.14,3.14
NY-123,"Yates County",2.41,54,-0.41,2.82
