April 2020 North Dakota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ND-001,"Adams County",0.28,11,-1.06,1.34
ND-003,"Barnes County",1.09,45,-0.56,1.65
ND-005,"Benson County",0.71,40,-0.5,1.21
ND-007,"Billings County",0.42,23,-0.82,1.24
ND-009,"Bottineau County",0.36,21,-0.74,1.1
ND-011,"Bowman County",0.56,25,-0.7,1.26
ND-013,"Burke County",0.36,18,-0.78,1.14
ND-015,"Burleigh County",0.8,40,-0.52,1.32
ND-017,"Cass County",1.35,55,-0.39,1.74
ND-019,"Cavalier County",1.14,65,-0.07,1.21
ND-021,"Dickey County",2.21,84,0.28,1.93
ND-023,"Divide County",0.36,19,-0.71,1.07
ND-025,"Dunn County",0.49,21,-0.9,1.39
ND-027,"Eddy County",0.75,39,-0.55,1.3
ND-029,"Emmons County",0.88,42,-0.58,1.46
ND-031,"Foster County",0.75,35,-0.63,1.38
ND-033,"Golden Valley County",0.51,25,-0.72,1.23
ND-035,"Grand Forks County",1.0,50,-0.43,1.43
ND-037,"Grant County",0.32,9,-1.19,1.51
ND-039,"Griggs County",0.78,38,-0.61,1.39
ND-041,"Hettinger County",0.3,12,-1.09,1.39
ND-043,"Kidder County",1.0,51,-0.32,1.32
ND-045,"LaMoure County",1.7,75,-0.11,1.81
ND-047,"Logan County",1.22,58,-0.26,1.48
ND-049,"McHenry County",0.58,36,-0.65,1.23
ND-051,"McIntosh County",1.65,75,0.06,1.59
ND-053,"McKenzie County",0.29,14,-0.91,1.2
ND-055,"McLean County",0.69,35,-0.6,1.29
ND-057,"Mercer County",0.59,24,-0.76,1.35
ND-059,"Morton County",0.53,13,-0.92,1.45
ND-061,"Mountrail County",0.49,23,-0.73,1.22
ND-063,"Nelson County",0.77,34,-0.52,1.29
ND-065,"Oliver County",0.65,33,-0.74,1.39
ND-067,"Pembina County",0.77,39,-0.56,1.33
ND-069,"Pierce County",0.62,37,-0.55,1.17
ND-071,"Ramsey County",0.77,47,-0.39,1.16
ND-073,"Ransom County",1.49,55,-0.36,1.85
ND-075,"Renville County",0.46,24,-0.69,1.15
ND-077,"Richland County",1.8,66,-0.1,1.9
ND-079,"Rolette County",0.58,35,-0.56,1.14
ND-081,"Sargent County",1.78,71,-0.13,1.91
ND-083,"Sheridan County",0.92,52,-0.41,1.33
ND-085,"Sioux County",0.55,19,-0.99,1.54
ND-087,"Slope County",0.48,22,-0.82,1.3
ND-089,"Stark County",0.39,13,-1.04,1.43
ND-091,"Steele County",1.12,54,-0.36,1.48
ND-093,"Stutsman County",0.82,34,-0.69,1.51
ND-095,"Towner County",1.0,64,-0.17,1.17
ND-097,"Traill County",1.36,61,-0.2,1.56
ND-099,"Walsh County",0.79,41,-0.51,1.3
ND-101,"Ward County",0.59,28,-0.72,1.31
ND-103,"Wells County",0.87,44,-0.51,1.38
ND-105,"Williams County",0.31,17,-0.78,1.09
