April 2020 Ohio County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",6.3,115,2.47,3.83
OH-003,"Allen County",2.43,33,-0.92,3.35
OH-005,"Ashland County",2.67,34,-0.68,3.35
OH-007,"Ashtabula County",3.01,47,-0.55,3.56
OH-009,"Athens County",4.49,100,0.99,3.5
OH-011,"Auglaize County",2.64,41,-0.84,3.48
OH-013,"Belmont County",5.57,119,2.03,3.54
OH-015,"Brown County",5.23,97,1.3,3.93
OH-017,"Butler County",2.9,40,-0.95,3.85
OH-019,"Carroll County",3.96,87,0.57,3.39
OH-021,"Champaign County",3.94,78,0.34,3.6
OH-023,"Clark County",4.06,79,0.38,3.68
OH-025,"Clermont County",3.68,65,-0.26,3.94
OH-027,"Clinton County",4.07,72,0.14,3.93
OH-029,"Columbiana County",4.32,100,0.96,3.36
OH-031,"Coshocton County",3.77,70,0.28,3.49
OH-033,"Crawford County",2.47,32,-0.99,3.46
OH-035,"Cuyahoga County",2.91,51,-0.36,3.27
OH-037,"Darke County",2.07,22,-1.63,3.7
OH-039,"Defiance County",1.82,19,-1.47,3.29
OH-041,"Delaware County",3.82,74,0.25,3.57
OH-043,"Erie County",2.94,54,-0.26,3.2
OH-045,"Fairfield County",4.41,95,0.75,3.66
OH-047,"Fayette County",4.02,80,0.29,3.73
OH-049,"Franklin County",4.33,90,0.71,3.62
OH-051,"Fulton County",1.87,21,-1.3,3.17
OH-053,"Gallia County",5.65,113,2.1,3.55
OH-055,"Geauga County",2.99,50,-0.53,3.52
OH-057,"Greene County",3.84,66,0.06,3.78
OH-059,"Guernsey County",4.76,109,1.29,3.47
OH-061,"Hamilton County",3.38,57,-0.42,3.8
OH-063,"Hancock County",2.1,25,-1.16,3.26
OH-065,"Hardin County",2.46,37,-0.84,3.3
OH-067,"Harrison County",4.31,97,0.84,3.47
OH-069,"Henry County",1.64,15,-1.6,3.24
OH-071,"Highland County",4.85,97,0.98,3.87
OH-073,"Hocking County",4.66,97,1.03,3.63
OH-075,"Holmes County",3.09,55,-0.32,3.41
OH-077,"Huron County",2.8,42,-0.56,3.36
OH-079,"Jackson County",5.26,105,1.62,3.64
OH-081,"Jefferson County",4.45,107,1.06,3.39
OH-083,"Knox County",3.28,52,-0.26,3.54
OH-085,"Lake County",2.25,26,-1.16,3.41
OH-087,"Lawrence County",5.28,107,1.69,3.59
OH-089,"Licking County",3.97,77,0.34,3.63
OH-091,"Logan County",3.47,66,0.03,3.44
OH-093,"Lorain County",3.21,68,-0.02,3.23
OH-095,"Lucas County",1.59,13,-1.51,3.1
OH-097,"Madison County",4.04,83,0.41,3.63
OH-099,"Mahoning County",3.85,86,0.53,3.32
OH-101,"Marion County",2.56,37,-0.85,3.41
OH-103,"Medina County",3.02,52,-0.29,3.31
OH-105,"Meigs County",5.46,114,1.94,3.52
OH-107,"Mercer County",2.1,22,-1.5,3.6
OH-109,"Miami County",3.02,44,-0.62,3.64
OH-111,"Monroe County",6.61,123,3.0,3.61
OH-113,"Montgomery County",2.84,43,-0.92,3.76
OH-115,"Morgan County",4.43,99,0.98,3.45
OH-117,"Morrow County",3.0,45,-0.56,3.56
OH-119,"Muskingum County",4.74,105,1.28,3.46
OH-121,"Noble County",4.73,108,1.23,3.5
OH-123,"Ottawa County",2.0,23,-1.12,3.12
OH-125,"Paulding County",2.19,27,-1.14,3.33
OH-127,"Perry County",4.42,94,0.92,3.5
OH-129,"Pickaway County",4.67,96,0.98,3.69
OH-131,"Pike County",5.06,100,1.38,3.68
OH-133,"Portage County",3.39,70,0.02,3.37
OH-135,"Preble County",1.99,19,-1.85,3.84
OH-137,"Putnam County",2.0,22,-1.27,3.27
OH-139,"Richland County",2.36,25,-1.09,3.45
OH-141,"Ross County",4.75,98,1.07,3.68
OH-143,"Sandusky County",2.4,34,-0.78,3.18
OH-145,"Scioto County",5.35,106,1.73,3.62
OH-147,"Seneca County",2.47,30,-0.86,3.33
OH-149,"Shelby County",2.86,42,-0.72,3.58
OH-151,"Stark County",3.29,67,0.0,3.29
OH-153,"Summit County",2.89,50,-0.38,3.27
OH-155,"Trumbull County",3.72,82,0.27,3.45
OH-157,"Tuscarawas County",3.83,78,0.41,3.42
OH-159,"Union County",3.54,66,0.09,3.45
OH-161,"Van Wert County",2.25,27,-1.17,3.42
OH-163,"Vinton County",5.11,105,1.5,3.61
OH-165,"Warren County",3.45,54,-0.47,3.92
OH-167,"Washington County",4.47,96,0.98,3.49
OH-169,"Wayne County",2.9,52,-0.38,3.28
OH-171,"Williams County",2.09,24,-1.2,3.29
OH-173,"Wood County",1.92,22,-1.27,3.19
OH-175,"Wyandot County",2.41,33,-0.92,3.33
