April 2020 Oklahoma County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",5.19,89,0.46,4.73
OK-003,"Alfalfa County",2.09,55,-0.6,2.69
OK-005,"Atoka County",4.85,77,0.19,4.66
OK-007,"Beaver County",0.95,37,-0.75,1.7
OK-009,"Beckham County",0.52,12,-1.87,2.39
OK-011,"Blaine County",1.09,19,-1.78,2.87
OK-013,"Bryan County",3.2,51,-1.14,4.34
OK-015,"Caddo County",1.82,33,-1.2,3.02
OK-017,"Canadian County",1.38,20,-1.76,3.14
OK-019,"Carter County",2.77,52,-1.1,3.87
OK-021,"Cherokee County",5.36,86,0.66,4.7
OK-023,"Choctaw County",4.43,68,-0.42,4.85
OK-025,"Cimarron County",0.52,25,-0.92,1.44
OK-027,"Cleveland County",2.57,47,-0.97,3.54
OK-029,"Coal County",4.89,86,0.5,4.39
OK-031,"Comanche County",2.25,52,-0.66,2.91
OK-033,"Cotton County",1.88,42,-1.01,2.89
OK-035,"Craig County",5.2,93,0.94,4.26
OK-037,"Creek County",3.7,68,-0.23,3.93
OK-039,"Custer County",1.08,20,-1.64,2.72
OK-041,"Delaware County",4.96,86,0.48,4.48
OK-043,"Dewey County",1.17,27,-1.5,2.67
OK-045,"Ellis County",1.06,25,-1.11,2.17
OK-047,"Garfield County",1.8,29,-1.29,3.09
OK-049,"Garvin County",3.36,71,-0.26,3.62
OK-051,"Grady County",2.51,48,-0.76,3.27
OK-053,"Grant County",2.26,55,-0.7,2.96
OK-055,"Greer County",0.72,13,-1.7,2.42
OK-057,"Harmon County",0.67,15,-1.67,2.34
OK-059,"Harper County",1.39,47,-0.65,2.04
OK-061,"Haskell County",5.9,93,1.28,4.62
OK-063,"Hughes County",3.78,57,-0.42,4.2
OK-065,"Jackson County",1.05,27,-1.34,2.39
OK-067,"Jefferson County",1.94,36,-1.33,3.27
OK-069,"Johnston County",4.35,80,0.09,4.26
OK-071,"Kay County",1.87,30,-1.35,3.22
OK-073,"Kingfisher County",0.97,13,-1.97,2.94
OK-075,"Kiowa County",1.32,33,-1.36,2.68
OK-077,"Latimer County",6.43,97,1.58,4.85
OK-079,"Le Flore County",7.61,113,2.75,4.86
OK-081,"Lincoln County",2.78,46,-0.95,3.73
OK-083,"Logan County",1.77,28,-1.42,3.19
OK-085,"Love County",1.83,22,-1.97,3.8
OK-087,"McClain County",2.73,54,-0.72,3.45
OK-089,"McCurtain County",7.2,101,1.99,5.21
OK-091,"McIntosh County",4.75,80,0.35,4.4
OK-093,"Major County",1.52,31,-1.28,2.8
OK-095,"Marshall County",2.65,38,-1.46,4.11
OK-097,"Mayes County",5.19,92,0.88,4.31
OK-099,"Murray County",3.74,76,-0.22,3.96
OK-101,"Muskogee County",5.17,87,0.7,4.47
OK-103,"Noble County",2.25,36,-1.11,3.36
OK-105,"Nowata County",5.06,93,1.11,3.95
OK-107,"Okfuskee County",3.18,47,-0.91,4.09
OK-109,"Oklahoma County",2.04,28,-1.35,3.39
OK-111,"Okmulgee County",4.37,75,0.19,4.18
OK-113,"Osage County",3.46,65,-0.08,3.54
OK-115,"Ottawa County",4.95,87,0.64,4.31
OK-117,"Pawnee County",3.12,58,-0.47,3.59
OK-119,"Payne County",2.1,34,-1.4,3.5
OK-121,"Pittsburg County",5.12,80,0.49,4.63
OK-123,"Pontotoc County",4.44,86,0.4,4.04
OK-125,"Pottawatomie County",2.94,46,-0.9,3.84
OK-127,"Pushmataha County",6.21,93,1.05,5.16
OK-129,"Roger Mills County",0.74,15,-1.69,2.43
OK-131,"Rogers County",5.04,93,1.03,4.01
OK-133,"Seminole County",2.86,45,-1.1,3.96
OK-135,"Sequoyah County",6.2,97,1.51,4.69
OK-137,"Stephens County",2.76,61,-0.48,3.24
OK-139,"Texas County",0.76,39,-0.69,1.45
OK-141,"Tillman County",1.38,36,-1.15,2.53
OK-143,"Tulsa County",4.87,87,0.88,3.99
OK-145,"Wagoner County",5.05,83,0.74,4.31
OK-147,"Washington County",4.44,85,0.67,3.77
OK-149,"Washita County",1.24,25,-1.47,2.71
OK-151,"Woods County",1.95,55,-0.48,2.43
OK-153,"Woodward County",1.38,38,-0.99,2.37
