April 2020 Pennsylvania County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",4.5,99,0.92,3.58
PA-003,"Allegheny County",4.78,110,1.42,3.36
PA-005,"Armstrong County",4.83,107,1.16,3.67
PA-007,"Beaver County",4.14,98,0.81,3.33
PA-009,"Bedford County",4.95,110,1.59,3.36
PA-011,"Berks County",4.72,97,0.99,3.73
PA-013,"Blair County",4.73,103,1.17,3.56
PA-015,"Bradford County",2.84,66,-0.41,3.25
PA-017,"Bucks County",4.44,88,0.63,3.81
PA-019,"Butler County",4.17,91,0.59,3.58
PA-021,"Cambria County",5.34,108,1.54,3.8
PA-023,"Cameron County",4.14,87,0.49,3.65
PA-025,"Carbon County",5.51,102,1.48,4.03
PA-027,"Centre County",4.48,94,0.83,3.65
PA-029,"Chester County",5.03,102,1.32,3.71
PA-031,"Clarion County",4.22,87,0.39,3.83
PA-033,"Clearfield County",4.82,103,1.06,3.76
PA-035,"Clinton County",4.11,89,0.51,3.6
PA-037,"Columbia County",3.89,75,0.2,3.69
PA-039,"Crawford County",4.03,87,0.32,3.71
PA-041,"Cumberland County",4.67,104,1.12,3.55
PA-043,"Dauphin County",4.71,101,1.06,3.65
PA-045,"Delaware County",4.27,90,0.57,3.7
PA-047,"Elk County",4.04,80,0.24,3.8
PA-049,"Erie County",3.69,76,0.03,3.66
PA-051,"Fayette County",6.06,115,2.12,3.94
PA-053,"Forest County",4.28,89,0.43,3.85
PA-055,"Franklin County",4.83,106,1.37,3.46
PA-057,"Fulton County",4.7,103,1.34,3.36
PA-059,"Greene County",5.92,121,2.37,3.55
PA-061,"Huntingdon County",4.55,98,1.0,3.55
PA-063,"Indiana County",5.21,108,1.38,3.83
PA-065,"Jefferson County",4.17,82,0.35,3.82
PA-067,"Juniata County",4.17,90,0.53,3.64
PA-069,"Lackawanna County",4.41,94,0.78,3.63
PA-071,"Lancaster County",4.94,107,1.49,3.45
PA-073,"Lawrence County",3.84,83,0.38,3.46
PA-075,"Lebanon County",5.41,114,1.79,3.62
PA-077,"Lehigh County",4.85,97,1.03,3.82
PA-079,"Luzerne County",4.46,96,0.78,3.68
PA-081,"Lycoming County",3.77,78,0.15,3.62
PA-083,"McKean County",3.97,82,0.2,3.77
PA-085,"Mercer County",3.98,85,0.37,3.61
PA-087,"Mifflin County",4.19,90,0.59,3.6
PA-089,"Monroe County",5.04,91,0.94,4.1
PA-091,"Montgomery County",4.87,94,1.15,3.72
PA-093,"Montour County",3.52,69,-0.09,3.61
PA-095,"Northampton County",4.08,77,0.19,3.89
PA-097,"Northumberland County",3.79,76,0.13,3.66
PA-099,"Perry County",4.35,93,0.65,3.7
PA-101,"Philadelphia County",4.29,89,0.62,3.67
PA-103,"Pike County",3.7,64,-0.17,3.87
PA-105,"Potter County",3.89,88,0.4,3.49
PA-107,"Schuylkill County",4.92,98,0.97,3.95
PA-109,"Snyder County",4.2,90,0.48,3.72
PA-111,"Somerset County",6.06,114,2.26,3.8
PA-113,"Sullivan County",3.41,65,-0.3,3.71
PA-115,"Susquehanna County",4.0,90,0.47,3.53
PA-117,"Tioga County",3.36,85,0.22,3.14
PA-119,"Union County",3.9,84,0.24,3.66
PA-121,"Venango County",4.78,104,1.03,3.75
PA-123,"Warren County",4.24,97,0.51,3.73
PA-125,"Washington County",5.28,119,1.9,3.38
PA-127,"Wayne County",4.33,89,0.6,3.73
PA-129,"Westmoreland County",5.72,115,1.99,3.73
PA-131,"Wyoming County",3.77,78,0.18,3.59
PA-133,"York County",4.74,106,1.25,3.49
