April 2020 South Carolina County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",5.4,103,1.7,3.7
SC-003,"Aiken County",4.75,102,1.4,3.35
SC-005,"Allendale County",5.86,115,2.71,3.15
SC-007,"Anderson County",6.22,115,2.42,3.8
SC-009,"Bamberg County",4.65,100,1.41,3.24
SC-011,"Barnwell County",4.82,103,1.55,3.27
SC-013,"Beaufort County",8.3,126,5.5,2.8
SC-015,"Berkeley County",5.7,118,2.73,2.97
SC-017,"Calhoun County",3.32,69,0.02,3.3
SC-019,"Charleston County",7.32,126,4.47,2.85
SC-021,"Cherokee County",6.98,120,3.36,3.62
SC-023,"Chester County",5.48,111,2.13,3.35
SC-025,"Chesterfield County",3.51,76,0.25,3.26
SC-027,"Clarendon County",3.53,76,0.31,3.22
SC-029,"Colleton County",7.11,126,4.1,3.01
SC-031,"Darlington County",3.3,73,0.12,3.18
SC-033,"Dillon County",3.3,77,0.17,3.13
SC-035,"Dorchester County",5.89,121,2.85,3.04
SC-037,"Edgefield County",4.61,94,1.02,3.59
SC-039,"Fairfield County",3.94,91,0.61,3.33
SC-041,"Florence County",3.29,71,0.11,3.18
SC-043,"Georgetown County",5.07,108,2.09,2.98
SC-045,"Greenville County",8.19,120,3.95,4.24
SC-047,"Greenwood County",4.61,96,0.97,3.64
SC-049,"Hampton County",7.38,126,4.35,3.03
SC-051,"Horry County",3.8,90,0.77,3.03
SC-053,"Jasper County",8.35,126,5.45,2.9
SC-055,"Kershaw County",3.42,75,0.12,3.3
SC-057,"Lancaster County",4.71,101,1.4,3.31
SC-059,"Laurens County",5.83,112,2.19,3.64
SC-061,"Lee County",3.34,76,0.11,3.23
SC-063,"Lexington County",3.76,84,0.39,3.37
SC-065,"McCormick County",5.06,103,1.43,3.63
SC-067,"Marion County",3.51,78,0.36,3.15
SC-069,"Marlboro County",3.04,67,-0.13,3.17
SC-071,"Newberry County",5.09,104,1.63,3.46
SC-073,"Oconee County",7.06,109,2.35,4.71
SC-075,"Orangeburg County",3.84,86,0.57,3.27
SC-077,"Pickens County",7.78,118,3.26,4.52
SC-079,"Richland County",3.42,74,0.15,3.27
SC-081,"Saluda County",4.33,85,0.78,3.55
SC-083,"Spartanburg County",7.62,119,3.76,3.86
SC-085,"Sumter County",3.25,72,0.03,3.22
SC-087,"Union County",5.85,112,2.28,3.57
SC-089,"Williamsburg County",4.35,100,1.32,3.03
SC-091,"York County",6.09,115,2.7,3.39
