April 2020 South Dakota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SD-003,"Aurora County",0.66,6,-1.58,2.24
SD-005,"Beadle County",0.55,9,-1.56,2.11
SD-007,"Bennett County",0.85,24,-1.18,2.03
SD-009,"Bon Homme County",0.5,5,-1.95,2.45
SD-011,"Brookings County",0.87,12,-1.38,2.25
SD-013,"Brown County",1.4,44,-0.62,2.02
SD-015,"Brule County",0.61,8,-1.52,2.13
SD-017,"Buffalo County",0.6,10,-1.34,1.94
SD-019,"Butte County",0.74,24,-0.84,1.58
SD-021,"Campbell County",1.05,43,-0.52,1.57
SD-023,"Charles Mix County",0.53,4,-1.85,2.38
SD-025,"Clark County",1.25,29,-0.87,2.12
SD-027,"Clay County",0.49,6,-1.98,2.47
SD-029,"Codington County",1.71,45,-0.5,2.21
SD-031,"Corson County",0.59,20,-1.0,1.59
SD-033,"Custer County",1.22,40,-0.61,1.83
SD-035,"Davison County",0.78,8,-1.47,2.25
SD-037,"Day County",1.8,57,-0.26,2.06
SD-039,"Deuel County",1.12,18,-1.24,2.36
SD-041,"Dewey County",0.79,25,-0.87,1.66
SD-043,"Douglas County",0.64,5,-1.7,2.34
SD-045,"Edmunds County",1.0,24,-0.95,1.95
SD-047,"Fall River County",0.77,22,-1.07,1.84
SD-049,"Faulk County",0.84,20,-1.15,1.99
SD-051,"Grant County",1.53,32,-0.73,2.26
SD-053,"Gregory County",0.59,5,-1.8,2.39
SD-055,"Haakon County",1.19,46,-0.58,1.77
SD-057,"Hamlin County",1.2,22,-1.04,2.24
SD-059,"Hand County",0.65,13,-1.4,2.05
SD-061,"Hanson County",0.72,7,-1.52,2.24
SD-063,"Harding County",0.56,24,-0.79,1.35
SD-065,"Hughes County",0.71,21,-1.08,1.79
SD-067,"Hutchinson County",0.62,4,-1.78,2.4
SD-069,"Hyde County",0.73,18,-1.1,1.83
SD-071,"Jackson County",1.13,35,-0.8,1.93
SD-073,"Jerauld County",0.6,5,-1.62,2.22
SD-075,"Jones County",0.8,21,-1.12,1.92
SD-077,"Kingsbury County",0.67,11,-1.58,2.25
SD-079,"Lake County",0.86,14,-1.48,2.34
SD-081,"Lawrence County",1.74,34,-0.87,2.61
SD-083,"Lincoln County",0.61,6,-1.84,2.45
SD-085,"Lyman County",0.65,14,-1.33,1.98
SD-087,"McCook County",0.84,14,-1.48,2.32
SD-089,"McPherson County",1.39,50,-0.4,1.79
SD-091,"Marshall County",1.76,60,-0.21,1.97
SD-093,"Meade County",1.14,41,-0.59,1.73
SD-095,"Mellette County",0.82,15,-1.24,2.06
SD-097,"Miner County",0.64,5,-1.54,2.18
SD-099,"Minnehaha County",0.99,13,-1.4,2.39
SD-101,"Moody County",0.88,12,-1.39,2.27
SD-102,"Oglala Lakota County",0.9,27,-1.03,1.93
SD-103,"Pennington County",1.33,37,-0.59,1.92
SD-105,"Perkins County",0.52,16,-0.93,1.45
SD-107,"Potter County",1.05,37,-0.76,1.81
SD-109,"Roberts County",1.97,58,-0.19,2.16
SD-111,"Sanborn County",0.6,6,-1.54,2.14
SD-115,"Spink County",0.83,17,-1.19,2.02
SD-117,"Stanley County",0.87,29,-0.9,1.77
SD-119,"Sully County",0.82,27,-0.89,1.71
SD-121,"Todd County",0.83,17,-1.33,2.16
SD-123,"Tripp County",0.68,8,-1.54,2.22
SD-125,"Turner County",0.69,8,-1.74,2.43
SD-127,"Union County",0.48,3,-1.97,2.45
SD-129,"Walworth County",1.13,42,-0.64,1.77
SD-135,"Yankton County",0.58,6,-1.84,2.42
SD-137,"Ziebach County",0.82,30,-0.76,1.58
