April 2020 Tennessee County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",7.45,115,3.22,4.23
TN-003,"Bedford County",6.45,106,1.92,4.53
TN-005,"Benton County",4.58,69,0.02,4.56
TN-007,"Bledsoe County",9.12,123,4.58,4.54
TN-009,"Blount County",7.85,122,3.37,4.48
TN-011,"Bradley County",7.62,116,3.17,4.45
TN-013,"Campbell County",7.46,119,3.28,4.18
TN-015,"Cannon County",6.69,107,2.22,4.47
TN-017,"Carroll County",5.24,85,0.57,4.67
TN-019,"Carter County",8.05,125,4.21,3.84
TN-021,"Cheatham County",5.65,97,1.32,4.33
TN-023,"Chester County",5.93,92,1.01,4.92
TN-025,"Claiborne County",7.33,118,3.07,4.26
TN-027,"Clay County",6.21,108,1.93,4.28
TN-029,"Cocke County",7.43,125,3.5,3.93
TN-031,"Coffee County",7.35,114,2.81,4.54
TN-033,"Crockett County",5.27,74,0.36,4.91
TN-035,"Cumberland County",8.05,118,3.56,4.49
TN-037,"Davidson County",5.27,91,1.06,4.21
TN-039,"Decatur County",5.57,83,0.74,4.83
TN-041,"DeKalb County",6.88,113,2.55,4.33
TN-043,"Dickson County",5.76,95,1.29,4.47
TN-045,"Dyer County",5.28,81,0.66,4.62
TN-047,"Fayette County",5.64,80,0.52,5.12
TN-049,"Fentress County",6.7,110,2.36,4.34
TN-051,"Franklin County",7.8,114,3.16,4.64
TN-053,"Gibson County",5.21,76,0.4,4.81
TN-055,"Giles County",6.44,103,1.71,4.73
TN-057,"Grainger County",7.17,119,3.18,3.99
TN-059,"Greene County",7.62,125,3.99,3.63
TN-061,"Grundy County",9.24,121,4.44,4.8
TN-063,"Hamblen County",6.99,123,3.23,3.76
TN-065,"Hamilton County",7.8,117,3.32,4.48
TN-067,"Hancock County",7.64,121,3.66,3.98
TN-069,"Hardeman County",6.48,93,1.45,5.03
TN-071,"Hardin County",6.26,101,1.38,4.88
TN-073,"Hawkins County",7.75,123,4.02,3.73
TN-075,"Haywood County",5.17,67,0.09,5.08
TN-077,"Henderson County",5.49,84,0.66,4.83
TN-079,"Henry County",4.7,70,0.18,4.52
TN-081,"Hickman County",5.7,87,1.0,4.7
TN-083,"Houston County",5.18,87,0.74,4.44
TN-085,"Humphreys County",4.96,72,0.34,4.62
TN-087,"Jackson County",6.79,114,2.4,4.39
TN-089,"Jefferson County",6.8,122,3.03,3.77
TN-091,"Johnson County",8.85,126,4.84,4.01
TN-093,"Knox County",7.15,117,3.13,4.02
TN-095,"Lake County",4.95,78,0.35,4.6
TN-097,"Lauderdale County",5.2,74,0.3,4.9
TN-099,"Lawrence County",6.56,105,1.72,4.84
TN-101,"Lewis County",6.24,94,1.4,4.84
TN-103,"Lincoln County",6.61,105,1.95,4.66
TN-105,"Loudon County",7.81,119,3.53,4.28
TN-107,"McMinn County",8.06,119,3.64,4.42
TN-109,"McNairy County",6.34,99,1.41,4.93
TN-111,"Macon County",5.75,97,1.35,4.4
TN-113,"Madison County",5.57,78,0.58,4.99
TN-115,"Marion County",8.96,119,4.14,4.82
TN-117,"Marshall County",6.01,98,1.41,4.6
TN-119,"Maury County",5.45,90,0.85,4.6
TN-121,"Meigs County",8.29,120,3.87,4.42
TN-123,"Monroe County",8.13,122,3.45,4.68
TN-125,"Montgomery County",5.82,100,1.46,4.36
TN-127,"Moore County",6.84,106,2.23,4.61
TN-129,"Morgan County",7.22,115,2.91,4.31
TN-131,"Obion County",4.74,69,-0.02,4.76
TN-133,"Overton County",6.89,109,2.42,4.47
TN-135,"Perry County",5.78,87,0.92,4.86
TN-137,"Pickett County",6.4,107,2.1,4.3
TN-139,"Polk County",7.79,117,3.13,4.66
TN-141,"Putnam County",7.32,116,2.79,4.53
TN-143,"Rhea County",8.81,119,4.25,4.56
TN-145,"Roane County",7.76,117,3.47,4.29
TN-147,"Robertson County",5.67,95,1.37,4.3
TN-149,"Rutherford County",6.43,106,2.03,4.4
TN-151,"Scott County",6.87,114,2.57,4.3
TN-153,"Sequatchie County",9.09,118,4.41,4.68
TN-155,"Sevier County",7.69,124,3.27,4.42
TN-157,"Shelby County",5.27,75,0.13,5.14
TN-159,"Smith County",6.58,114,2.18,4.4
TN-161,"Stewart County",3.88,52,-0.46,4.34
TN-163,"Sullivan County",7.8,125,4.32,3.48
TN-165,"Sumner County",5.37,89,1.06,4.31
TN-167,"Tipton County",4.88,67,-0.23,5.11
TN-169,"Trousdale County",5.67,95,1.28,4.39
TN-171,"Unicoi County",8.1,126,4.25,3.85
TN-173,"Union County",7.21,117,3.15,4.06
TN-175,"Van Buren County",8.69,123,4.26,4.43
TN-177,"Warren County",7.56,114,3.21,4.35
TN-179,"Washington County",7.9,125,4.29,3.61
TN-181,"Wayne County",6.61,104,1.67,4.94
TN-183,"Weakley County",4.91,73,0.16,4.75
TN-185,"White County",8.06,120,3.6,4.46
TN-187,"Williamson County",5.09,84,0.71,4.38
TN-189,"Wilson County",6.05,100,1.64,4.41
