April 2020 Texas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",6.24,105,2.09,4.15
TX-003,"Andrews County",0.06,11,-0.78,0.84
TX-005,"Angelina County",5.3,87,0.85,4.45
TX-007,"Aransas County",1.23,46,-1.0,2.23
TX-009,"Archer County",0.68,10,-2.0,2.68
TX-011,"Armstrong County",0.24,14,-1.32,1.56
TX-013,"Atascosa County",2.44,71,-0.06,2.5
TX-015,"Austin County",3.88,79,0.38,3.5
TX-017,"Bailey County",0.15,21,-0.89,1.04
TX-019,"Bandera County",2.39,61,-0.32,2.71
TX-021,"Bastrop County",4.26,91,0.86,3.4
TX-023,"Baylor County",0.46,8,-1.93,2.39
TX-025,"Bee County",1.73,57,-0.54,2.27
TX-027,"Bell County",3.98,86,0.54,3.44
TX-029,"Bexar County",2.51,67,-0.36,2.87
TX-031,"Blanco County",3.83,90,0.78,3.05
TX-033,"Borden County",0.16,11,-1.32,1.48
TX-035,"Bosque County",2.21,41,-1.23,3.44
TX-037,"Bowie County",5.63,90,0.72,4.91
TX-039,"Brazoria County",3.1,71,0.14,2.96
TX-041,"Brazos County",3.97,77,0.22,3.75
TX-043,"Brewster County",0.03,8,-0.54,0.57
TX-045,"Briscoe County",0.26,13,-1.43,1.69
TX-047,"Brooks County",1.05,49,-0.58,1.63
TX-049,"Brown County",1.1,21,-1.6,2.7
TX-051,"Burleson County",3.7,77,0.14,3.56
TX-053,"Burnet County",3.27,81,0.16,3.11
TX-055,"Caldwell County",4.02,91,0.83,3.19
TX-057,"Calhoun County",1.56,48,-1.01,2.57
TX-059,"Callahan County",0.99,20,-1.59,2.58
TX-061,"Cameron County",0.86,47,-0.68,1.54
TX-063,"Camp County",4.18,65,-0.51,4.69
TX-065,"Carson County",0.33,16,-1.2,1.53
TX-067,"Cass County",5.68,90,0.73,4.95
TX-069,"Castro County",0.18,14,-1.01,1.19
TX-071,"Chambers County",3.67,80,0.26,3.41
TX-073,"Cherokee County",7.53,115,3.16,4.37
TX-075,"Childress County",0.64,17,-1.5,2.14
TX-077,"Clay County",0.84,13,-2.13,2.97
TX-079,"Cochran County",0.07,12,-0.93,1
TX-081,"Coke County",0.7,32,-1.33,2.03
TX-083,"Coleman County",0.77,14,-1.84,2.61
TX-085,"Collin County",1.83,20,-2.37,4.2
TX-087,"Collingsworth County",0.4,12,-1.76,2.16
TX-089,"Colorado County",4.42,89,0.97,3.45
TX-091,"Comal County",3.66,90,0.56,3.1
TX-093,"Comanche County",1.13,21,-1.82,2.95
TX-095,"Concho County",1.09,36,-1.27,2.36
TX-097,"Cooke County",1.26,9,-2.52,3.78
TX-099,"Coryell County",3.58,85,0.27,3.31
TX-101,"Cottle County",0.42,17,-1.59,2.01
TX-103,"Crane County",0.33,46,-0.47,0.8
TX-105,"Crockett County",0.5,25,-1.03,1.53
TX-107,"Crosby County",0.04,3,-1.49,1.53
TX-109,"Culberson County",0.01,10,-0.44,0.45
TX-111,"Dallam County",0.46,25,-0.88,1.34
TX-113,"Dallas County",2.26,34,-1.81,4.07
