April 2020 Wisconsin County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WI-001,"Adams County",1.48,15,-1.32,2.8
WI-003,"Ashland County",2.72,83,0.36,2.36
WI-005,"Barron County",2.14,54,-0.34,2.48
WI-007,"Bayfield County",2.43,76,0.2,2.23
WI-009,"Brown County",1.92,33,-0.71,2.63
WI-011,"Buffalo County",1.66,26,-1.05,2.71
WI-013,"Burnett County",1.87,56,-0.31,2.18
WI-015,"Calumet County",1.66,17,-1.01,2.67
WI-017,"Chippewa County",2.35,56,-0.3,2.65
WI-019,"Clark County",1.71,25,-0.89,2.6
WI-021,"Columbia County",1.57,17,-1.28,2.85
WI-023,"Crawford County",1.5,14,-1.43,2.93
WI-025,"Dane County",1.84,26,-1.11,2.95
WI-027,"Dodge County",1.76,26,-1.09,2.85
WI-029,"Door County",2.43,65,-0.14,2.57
WI-031,"Douglas County",1.81,51,-0.39,2.2
WI-033,"Dunn County",2.12,46,-0.52,2.64
WI-035,"Eau Claire County",2.24,47,-0.53,2.77
WI-037,"Florence County",2.9,89,0.67,2.23
WI-039,"Fond du Lac County",1.5,16,-1.24,2.74
WI-041,"Forest County",2.96,88,0.61,2.35
WI-043,"Grant County",1.43,12,-1.52,2.95
WI-045,"Green County",2.54,45,-0.51,3.05
WI-047,"Green Lake County",1.57,18,-1.19,2.76
WI-049,"Iowa County",1.66,18,-1.28,2.94
WI-051,"Iron County",2.68,81,0.32,2.36
WI-053,"Jackson County",1.68,21,-1.09,2.77
WI-055,"Jefferson County",2.74,57,-0.22,2.96
WI-057,"Juneau County",1.53,15,-1.27,2.8
WI-059,"Kenosha County",4.81,112,1.67,3.14
WI-061,"Kewaunee County",2.21,43,-0.48,2.69
WI-063,"La Crosse County",1.77,27,-1.0,2.77
WI-065,"Lafayette County",1.82,21,-1.2,3.02
WI-067,"Langlade County",2.44,62,-0.09,2.53
WI-069,"Lincoln County",2.7,77,0.3,2.4
WI-071,"Manitowoc County",2.08,35,-0.61,2.69
WI-073,"Marathon County",2.1,46,-0.48,2.58
WI-075,"Marinette County",2.65,75,0.22,2.43
WI-077,"Marquette County",1.57,19,-1.22,2.79
WI-078,"Menominee County",2.58,65,-0.06,2.64
WI-079,"Milwaukee County",3.58,86,0.61,2.97
WI-081,"Monroe County",1.49,17,-1.31,2.8
WI-083,"Oconto County",2.57,70,0.01,2.56
WI-085,"Oneida County",2.86,90,0.59,2.27
WI-087,"Outagamie County",1.83,27,-0.86,2.69
WI-089,"Ozaukee County",2.14,37,-0.72,2.86
WI-091,"Pepin County",1.81,33,-0.87,2.68
WI-093,"Pierce County",1.53,23,-1.02,2.55
WI-095,"Polk County",1.8,47,-0.51,2.31
WI-097,"Portage County",1.8,26,-0.95,2.75
WI-099,"Price County",2.77,80,0.35,2.42
WI-101,"Racine County",4.59,107,1.5,3.09
WI-103,"Richland County",1.56,19,-1.31,2.87
WI-105,"Rock County",3.05,70,0.02,3.03
WI-107,"Rusk County",2.85,77,0.36,2.49
WI-109,"St. Croix County",1.74,36,-0.7,2.44
WI-111,"Sauk County",1.57,19,-1.36,2.93
WI-113,"Sawyer County",2.96,86,0.6,2.36
WI-115,"Shawano County",2.5,65,-0.18,2.68
WI-117,"Sheboygan County",2.03,33,-0.73,2.76
WI-119,"Taylor County",2.39,60,-0.09,2.48
WI-121,"Trempealeau County",1.83,35,-0.91,2.74
WI-123,"Vernon County",1.78,24,-1.09,2.87
WI-125,"Vilas County",3.04,93,0.78,2.26
WI-127,"Walworth County",3.81,90,0.68,3.13
WI-129,"Washburn County",2.3,73,0.08,2.22
WI-131,"Washington County",1.99,36,-0.87,2.86
WI-133,"Waukesha County",3.04,63,0.06,2.98
WI-135,"Waupaca County",1.91,27,-0.84,2.75
WI-137,"Waushara County",1.52,17,-1.31,2.83
WI-139,"Winnebago County",1.48,14,-1.24,2.72
WI-141,"Wood County",1.4,13,-1.28,2.68
