April 2020 Colorado County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-001,"Adams County",0.79,16,-0.94,1.73
CO-003,"Alamosa County",0.15,6,-0.69,0.84
CO-005,"Arapahoe County",0.71,10,-1.15,1.86
CO-007,"Archuleta County",0.17,3,-1.59,1.76
CO-009,"Baca County",0.52,22,-0.94,1.46
CO-011,"Bent County",0.2,6,-1.16,1.36
CO-013,"Boulder County",2.53,74,-0.11,2.64
CO-014,"Broomfield County",1.49,56,-0.39,1.88
CO-015,"Chaffee County",0.86,20,-1.05,1.91
CO-017,"Cheyenne County",0.08,2,-1.36,1.44
CO-019,"Clear Creek County",2.52,40,-1.0,3.52
CO-021,"Conejos County",0.16,2,-1.27,1.43
CO-023,"Costilla County",0.26,5,-1.52,1.78
CO-025,"Crowley County",0.15,7,-1.02,1.17
CO-027,"Custer County",0.36,5,-1.95,2.31
CO-029,"Delta County",0.51,8,-1.09,1.6
CO-031,"Denver County",0.88,19,-1.0,1.88
CO-033,"Dolores County",0.39,4,-1.82,2.21
CO-035,"Douglas County",0.89,10,-1.54,2.43
CO-037,"Eagle County",1.99,44,-0.56,2.55
CO-039,"Elbert County",0.65,13,-1.27,1.92
CO-041,"El Paso County",0.68,19,-1.02,1.7
CO-043,"Fremont County",0.51,17,-0.87,1.38
CO-045,"Garfield County",1.07,16,-1.11,2.18
CO-047,"Gilpin County",2.61,56,-0.5,3.11
CO-049,"Grand County",2.51,80,0.09,2.42
CO-051,"Gunnison County",1.06,15,-1.16,2.22
CO-053,"Hinsdale County",0.9,5,-2.21,3.11
CO-055,"Huerfano County",0.47,9,-1.5,1.97
CO-057,"Jackson County",2.2,57,-0.31,2.51
CO-059,"Jefferson County",1.39,24,-1.0,2.39
CO-061,"Kiowa County",0.13,4,-1.18,1.31
CO-063,"Kit Carson County",0.2,3,-1.43,1.63
CO-065,"Lake County",2.11,42,-0.68,2.79
CO-067,"La Plata County",0.16,3,-1.68,1.84
CO-069,"Larimer County",2.17,58,-0.39,2.56
CO-071,"Las Animas County",0.45,13,-1.19,1.64
CO-073,"Lincoln County",0.25,9,-1.09,1.34
CO-075,"Logan County",0.65,17,-1.12,1.77
CO-077,"Mesa County",0.45,7,-1.09,1.54
CO-079,"Mineral County",0.26,1,-2.59,2.85
CO-081,"Moffat County",1.01,36,-0.53,1.54
CO-083,"Montezuma County",0.11,2,-1.28,1.39
CO-085,"Montrose County",0.39,11,-1.04,1.43
CO-087,"Morgan County",0.98,44,-0.57,1.55
CO-089,"Otero County",0.19,3,-1.21,1.4
CO-091,"Ouray County",0.85,8,-1.48,2.33
CO-093,"Park County",1.13,27,-0.84,1.97
CO-095,"Phillips County",0.67,20,-1.15,1.82
CO-097,"Pitkin County",1.95,31,-1.14,3.09
CO-099,"Prowers County",0.25,10,-1.13,1.38
CO-101,"Pueblo County",0.39,14,-1.04,1.43
CO-103,"Rio Blanco County",1.17,29,-0.76,1.93
CO-105,"Rio Grande County",0.17,3,-1.13,1.3
CO-107,"Routt County",2.37,56,-0.27,2.64
CO-109,"Saguache County",0.52,11,-1.04,1.56
CO-111,"San Juan County",1.17,5,-3.21,4.38
CO-113,"San Miguel County",0.51,5,-1.3,1.81
CO-115,"Sedgwick County",0.73,19,-1.18,1.91
CO-117,"Summit County",2.42,47,-0.72,3.14
CO-119,"Teller County",1.19,33,-0.94,2.13
CO-121,"Washington County",0.47,14,-1.17,1.64
CO-123,"Weld County",1.03,43,-0.48,1.51
CO-125,"Yuma County",0.4,7,-1.34,1.74
