January 2020 Alabama County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",50.5,107,4.2,46.3
AL-003,"Baldwin County",55.0,104,4.0,51
AL-005,"Barbour County",51.7,101,3.9,47.8
AL-007,"Bibb County",48.6,107,4.3,44.3
AL-009,"Blount County",47.0,112,5.4,41.6
AL-011,"Bullock County",50.9,104,4.1,46.8
AL-013,"Butler County",51.5,104,4.0,47.5
AL-015,"Calhoun County",48.1,114,5.8,42.3
AL-017,"Chambers County",47.9,107,4.2,43.7
AL-019,"Cherokee County",47.0,112,5.6,41.4
AL-021,"Chilton County",49.0,106,4.3,44.7
AL-023,"Choctaw County",51.0,98,3.9,47.1
AL-025,"Clarke County",51.9,102,4.0,47.9
AL-027,"Clay County",47.3,107,4.5,42.8
AL-029,"Cleburne County",47.6,114,6.1,41.5
AL-031,"Coffee County",52.6,101,3.9,48.7
AL-033,"Colbert County",46.0,114,6.1,39.9
AL-035,"Conecuh County",52.8,104,4.1,48.7
AL-037,"Coosa County",48.5,103,4.0,44.5
AL-039,"Covington County",52.8,102,3.9,48.9
AL-041,"Crenshaw County",51.2,101,3.8,47.4
AL-043,"Cullman County",46.3,110,5.2,41.1
AL-045,"Dale County",53.2,102,4.1,49.1
AL-047,"Dallas County",50.5,100,3.7,46.8
AL-049,"DeKalb County",45.0,108,5.0,40
AL-051,"Elmore County",50.0,106,3.9,46.1
AL-053,"Escambia County",53.9,103,4.2,49.7
AL-055,"Etowah County",47.3,111,5.4,41.9
AL-057,"Fayette County",47.9,109,5.1,42.8
AL-059,"Franklin County",45.9,113,5.7,40.2
AL-061,"Geneva County",54.4,106,4.7,49.7
AL-063,"Greene County",49.4,107,4.2,45.2
AL-065,"Hale County",49.0,99,3.7,45.3
AL-067,"Henry County",53.3,103,4.2,49.1
AL-069,"Houston County",55.3,109,5.1,50.2
AL-071,"Jackson County",44.7,106,4.8,39.9
AL-073,"Jefferson County",48.4,111,5.3,43.1
AL-075,"Lamar County",47.8,108,5.0,42.8
AL-077,"Lauderdale County",45.7,116,6.3,39.4
AL-079,"Lawrence County",45.5,108,5.1,40.4
AL-081,"Lee County",49.3,103,3.7,45.6
AL-083,"Limestone County",45.5,113,5.6,39.9
AL-085,"Lowndes County",51.4,105,4.2,47.2
AL-087,"Macon County",50.2,102,3.7,46.5
AL-089,"Madison County",45.3,110,5.1,40.2
AL-091,"Marengo County",50.3,100,3.7,46.6
AL-093,"Marion County",46.5,109,5.2,41.3
AL-095,"Marshall County",45.9,108,4.9,41
AL-097,"Mobile County",54.5,103,4.0,50.5
AL-099,"Monroe County",52.9,106,4.5,48.4
AL-101,"Montgomery County",51.3,106,4.2,47.1
AL-103,"Morgan County",45.8,109,5.2,40.6
AL-105,"Perry County",49.0,93,3.4,45.6
AL-107,"Pickens County",49.0,108,4.9,44.1
AL-109,"Pike County",51.3,99,3.6,47.7
AL-111,"Randolph County",47.5,112,5.2,42.3
AL-113,"Russell County",51.0,107,4.0,47
AL-115,"St. Clair County",47.7,112,5.2,42.5
AL-117,"Shelby County",48.4,108,4.7,43.7
AL-119,"Sumter County",50.0,107,4.2,45.8
AL-121,"Talladega County",48.0,107,4.4,43.6
AL-123,"Tallapoosa County",48.1,102,3.7,44.4
AL-125,"Tuscaloosa County",49.1,111,4.9,44.2
AL-127,"Walker County",47.6,110,5.0,42.6
AL-129,"Washington County",52.3,98,3.7,48.6
AL-131,"Wilcox County",51.3,100,3.8,47.5
AL-133,"Winston County",45.8,110,4.9,40.9
