January 2020 Kansas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",35.7,111,5.3,30.4
KS-003,"Anderson County",34.2,106,4.8,29.4
KS-005,"Atchison County",30.7,104,4.8,25.9
KS-007,"Barber County",36.9,113,5.5,31.4
KS-009,"Barton County",32.2,94,3.7,28.5
KS-011,"Bourbon County",35.9,110,5.3,30.6
KS-013,"Brown County",29.4,103,4.7,24.7
KS-015,"Butler County",35.4,112,5.4,30
KS-017,"Chase County",33.3,106,4.9,28.4
KS-019,"Chautauqua County",37.9,115,5.5,32.4
KS-021,"Cherokee County",38.9,116,6.0,32.9
KS-023,"Cheyenne County",33.3,120,6.2,27.1
KS-025,"Clark County",36.8,107,4.9,31.9
KS-027,"Clay County",31.4,104,5.0,26.4
KS-029,"Cloud County",31.1,102,5.1,26
KS-031,"Coffey County",34.1,107,4.9,29.2
KS-033,"Comanche County",36.8,110,5.3,31.5
KS-035,"Cowley County",37.4,115,5.8,31.6
KS-037,"Crawford County",37.3,113,5.6,31.7
KS-039,"Decatur County",31.6,106,5.6,26
KS-041,"Dickinson County",32.8,107,5.3,27.5
KS-043,"Doniphan County",30.0,101,4.5,25.5
KS-045,"Douglas County",32.6,105,4.7,27.9
KS-047,"Edwards County",34.8,108,5.1,29.7
KS-049,"Elk County",36.8,111,5.5,31.3
KS-051,"Ellis County",32.7,101,4.8,27.9
KS-053,"Ellsworth County",33.3,107,5.2,28.1
KS-055,"Finney County",35.3,119,6.4,28.9
KS-057,"Ford County",35.5,112,5.3,30.2
KS-059,"Franklin County",33.8,108,5.2,28.6
KS-061,"Geary County",32.4,108,5.3,27.1
KS-063,"Gove County",33.5,112,5.5,28
KS-065,"Graham County",32.0,97,4.6,27.4
KS-067,"Grant County",36.4,117,5.9,30.5
KS-069,"Gray County",35.4,115,5.6,29.8
KS-071,"Greeley County",35.6,122,7.4,28.2
KS-073,"Greenwood County",35.1,110,5.3,29.8
KS-075,"Hamilton County",36.4,123,6.8,29.6
KS-077,"Harper County",37.5,113,5.8,31.7
KS-079,"Harvey County",35.2,110,5.7,29.5
KS-081,"Haskell County",35.8,112,5.6,30.2
KS-083,"Hodgeman County",35.1,113,5.4,29.7
KS-085,"Jackson County",30.7,106,5.1,25.6
KS-087,"Jefferson County",31.5,103,4.7,26.8
KS-089,"Jewell County",30.1,104,5.5,24.6
KS-091,"Johnson County",32.4,103,4.6,27.8
KS-093,"Kearny County",36.3,123,7.1,29.2
KS-095,"Kingman County",36.1,112,5.5,30.6
KS-097,"Kiowa County",35.6,110,5.1,30.5
KS-099,"Labette County",38.5,115,5.8,32.7
KS-101,"Lane County",34.4,116,6.1,28.3
KS-103,"Leavenworth County",32.0,104,4.9,27.1
KS-105,"Lincoln County",32.3,107,5.3,27
KS-107,"Linn County",34.9,109,5.2,29.7
KS-109,"Logan County",34.7,119,6.7,28
KS-111,"Lyon County",33.5,108,5.4,28.1
KS-113,"McPherson County",34.5,113,6.1,28.4
KS-115,"Marion County",33.9,110,5.5,28.4
KS-117,"Marshall County",28.2,95,3.7,24.5
KS-119,"Meade County",36.4,106,4.6,31.8
KS-121,"Miami County",33.5,105,4.9,28.6
KS-123,"Mitchell County",31.1,102,5.1,26
KS-125,"Montgomery County",38.5,114,5.8,32.7
KS-127,"Morris County",33.0,109,5.7,27.3
KS-129,"Morton County",37.4,115,5.4,32
KS-131,"Nemaha County",28.5,102,4.2,24.3
KS-133,"Neosho County",36.8,112,5.2,31.6
KS-135,"Ness County",34.2,111,5.2,29
KS-137,"Norton County",30.4,93,4.5,25.9
KS-139,"Osage County",34.0,111,5.9,28.1
KS-141,"Osborne County",31.1,98,4.6,26.5
KS-143,"Ottawa County",32.4,107,5.4,27
KS-145,"Pawnee County",33.4,100,4.3,29.1
KS-147,"Phillips County",30.6,95,4.6,26
KS-149,"Pottawatomie County",30.6,106,4.8,25.8
KS-151,"Pratt County",35.4,112,5.2,30.2
KS-153,"Rawlins County",32.4,113,5.8,26.6
KS-155,"Reno County",35.1,110,5.3,29.8
KS-157,"Republic County",29.3,101,4.8,24.5
KS-159,"Rice County",33.8,107,4.9,28.9
KS-161,"Riley County",31.4,107,5.0,26.4
KS-163,"Rooks County",31.6,94,4.5,27.1
KS-165,"Rush County",32.9,101,4.4,28.5
KS-167,"Russell County",32.3,102,4.7,27.6
KS-169,"Saline County",33.5,108,5.7,27.8
KS-171,"Scott County",35.1,122,6.9,28.2
KS-173,"Sedgwick County",36.3,114,5.8,30.5
KS-175,"Seward County",36.7,111,5.1,31.6
KS-177,"Shawnee County",32.8,108,5.6,27.2
KS-179,"Sheridan County",32.3,105,5.3,27
KS-181,"Sherman County",33.6,120,6.5,27.1
KS-183,"Smith County",29.9,95,4.6,25.3
KS-185,"Stafford County",33.8,102,4.5,29.3
KS-187,"Stanton County",36.6,119,5.7,30.9
KS-189,"Stevens County",37.1,117,5.6,31.5
KS-191,"Sumner County",37.7,115,6.1,31.6
KS-193,"Thomas County",33.1,116,6.2,26.9
KS-195,"Trego County",33.1,102,4.8,28.3
KS-197,"Wabaunsee County",33.2,112,6.3,26.9
KS-199,"Wallace County",35.3,122,7.4,27.9
KS-201,"Washington County",28.5,94,3.8,24.7
KS-203,"Wichita County",35.7,123,7.5,28.2
KS-205,"Wilson County",37.2,111,5.5,31.7
KS-207,"Woodson County",35.6,110,5.3,30.3
KS-209,"Wyandotte County",32.2,104,4.8,27.4
