January 2020 Kentucky County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",40.7,112,6.5,34.2
KY-003,"Allen County",41.6,109,6.0,35.6
KY-005,"Anderson County",39.7,115,7.5,32.2
KY-007,"Ballard County",39.8,112,5.9,33.9
KY-009,"Barren County",41.0,111,5.9,35.1
KY-011,"Bath County",39.4,114,6.8,32.6
KY-013,"Bell County",39.4,106,4.7,34.7
KY-015,"Boone County",38.0,120,7.9,30.1
KY-017,"Bourbon County",39.5,118,7.8,31.7
KY-019,"Boyd County",39.4,114,6.7,32.7
KY-021,"Boyle County",39.2,113,6.3,32.9
KY-023,"Bracken County",38.7,118,7.9,30.8
KY-025,"Breathitt County",41.1,111,6.5,34.6
KY-027,"Breckinridge County",39.3,115,6.6,32.7
KY-029,"Bullitt County",40.3,117,7.5,32.8
KY-031,"Butler County",41.7,116,7.2,34.5
KY-033,"Caldwell County",40.8,114,6.4,34.4
KY-035,"Calloway County",40.6,103,4.8,35.8
KY-037,"Campbell County",38.3,120,7.7,30.6
KY-039,"Carlisle County",40.2,110,5.8,34.4
KY-041,"Carroll County",39.3,120,8.3,31
KY-043,"Carter County",38.8,114,6.7,32.1
KY-045,"Casey County",39.8,112,6.4,33.4
KY-047,"Christian County",41.9,115,6.7,35.2
KY-049,"Clark County",39.8,115,7.4,32.4
KY-051,"Clay County",40.6,110,5.7,34.9
KY-053,"Clinton County",42.0,113,6.7,35.3
KY-055,"Crittenden County",39.7,113,6.2,33.5
KY-057,"Cumberland County",42.2,114,6.6,35.6
KY-059,"Daviess County",38.8,107,5.6,33.2
KY-061,"Edmonson County",41.4,114,6.9,34.5
KY-063,"Elliott County",39.4,114,6.7,32.7
KY-065,"Estill County",40.4,112,6.5,33.9
KY-067,"Fayette County",39.6,117,7.7,31.9
KY-069,"Fleming County",38.7,115,6.8,31.9
KY-071,"Floyd County",41.7,115,6.8,34.9
KY-073,"Franklin County",39.9,117,8.0,31.9
KY-075,"Fulton County",40.9,106,5.6,35.3
KY-077,"Gallatin County",39.2,119,8.2,31
KY-079,"Garrard County",39.5,109,6.2,33.3
KY-081,"Grant County",38.9,120,8.1,30.8
KY-083,"Graves County",40.5,106,5.6,34.9
KY-085,"Grayson County",40.6,115,7.3,33.3
KY-087,"Green County",40.8,113,6.8,34
KY-089,"Greenup County",38.5,115,6.8,31.7
KY-091,"Hancock County",38.6,108,5.5,33.1
KY-093,"Hardin County",40.0,116,7.3,32.7
KY-095,"Harlan County",39.0,111,5.5,33.5
KY-097,"Harrison County",39.3,118,7.9,31.4
KY-099,"Hart County",40.8,113,6.8,34
KY-101,"Henderson County",38.1,105,5.1,33
KY-103,"Henry County",39.2,117,8.1,31.1
KY-105,"Hickman County",40.6,106,5.7,34.9
KY-107,"Hopkins County",40.7,115,6.4,34.3
KY-109,"Jackson County",39.9,110,6.1,33.8
KY-111,"Jefferson County",39.9,117,7.5,32.4
KY-113,"Jessamine County",39.7,114,7.2,32.5
KY-115,"Johnson County",41.0,114,7.2,33.8
KY-117,"Kenton County",38.1,120,7.8,30.3
KY-119,"Knott County",40.9,114,6.4,34.5
KY-121,"Knox County",40.5,109,5.3,35.2
KY-123,"Larue County",40.2,115,7.2,33
KY-125,"Laurel County",40.7,111,6.0,34.7
KY-127,"Lawrence County",40.4,115,7.1,33.3
KY-129,"Lee County",40.8,112,6.4,34.4
KY-131,"Leslie County",40.4,112,5.8,34.6
KY-133,"Letcher County",40.1,113,5.9,34.2
KY-135,"Lewis County",38.1,115,6.7,31.4
KY-137,"Lincoln County",39.3,109,6.1,33.2
KY-139,"Livingston County",40.0,115,6.2,33.8
KY-141,"Logan County",42.0,114,6.7,35.3
KY-143,"Lyon County",40.9,112,6.0,34.9
KY-145,"McCracken County",40.2,115,6.2,34
KY-147,"McCreary County",41.1,112,6.1,35
KY-149,"McLean County",39.8,113,6.1,33.7
KY-151,"Madison County",39.9,110,6.5,33.4
KY-153,"Magoffin County",40.9,114,7.0,33.9
KY-155,"Marion County",40.0,114,6.8,33.2
