January 2020 Minnesota County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MN-001,"Aitkin County",13.4,110,8.0,5.4
MN-003,"Anoka County",17.9,105,7.7,10.2
MN-005,"Becker County",10.7,100,7.0,3.7
MN-007,"Beltrami County",10.4,109,8.6,1.8
MN-009,"Benton County",15.6,103,7.5,8.1
MN-011,"Big Stone County",14.0,92,5.0,9
MN-013,"Blue Earth County",18.2,99,5.7,12.5
MN-015,"Brown County",17.6,98,5.7,11.9
MN-017,"Carlton County",14.0,113,8.1,5.9
MN-019,"Carver County",18.2,107,7.4,10.8
MN-021,"Cass County",13.2,112,8.7,4.5
MN-023,"Chippewa County",15.1,92,5.3,9.8
MN-025,"Chisago County",18.4,115,8.8,9.6
MN-027,"Clay County",10.6,98,6.0,4.6
MN-029,"Clearwater County",9.8,103,7.4,2.4
MN-031,"Cook County",13.2,116,8.5,4.7
MN-033,"Cottonwood County",17.6,98,5.9,11.7
MN-035,"Crow Wing County",14.6,113,8.7,5.9
MN-037,"Dakota County",19.9,112,8.3,11.6
MN-039,"Dodge County",19.1,112,7.9,11.2
MN-041,"Douglas County",13.4,103,7.4,6
MN-043,"Faribault County",19.4,105,6.5,12.9
MN-045,"Fillmore County",20.0,111,7.4,12.6
MN-047,"Freeborn County",19.4,107,7.3,12.1
MN-049,"Goodhue County",19.9,113,8.4,11.5
MN-051,"Grant County",13.3,99,6.6,6.7
MN-053,"Hennepin County",18.5,108,7.8,10.7
MN-055,"Houston County",21.8,111,7.6,14.2
MN-057,"Hubbard County",11.6,107,7.8,3.8
MN-059,"Isanti County",17.7,114,8.5,9.2
MN-061,"Itasca County",11.8,114,8.8,3
MN-063,"Jackson County",17.4,92,5.1,12.3
MN-065,"Kanabec County",16.4,117,8.7,7.7
MN-067,"Kandiyohi County",15.8,102,7.0,8.8
MN-069,"Kittson County",10.9,117,11.1,-0.2
MN-071,"Koochiching County",10.3,111,9.0,1.3
MN-073,"Lac qui Parle County",15.1,91,4.8,10.3
MN-075,"Lake County",12.2,113,8.3,3.9
MN-077,"Lake of the Woods County",9.9,112,9.5,0.4
MN-079,"Le Sueur County",17.4,97,5.7,11.7
MN-081,"Lincoln County",15.8,94,4.9,10.9
MN-083,"Lyon County",16.3,93,4.8,11.5
MN-085,"McLeod County",17.3,103,7.0,10.3
MN-087,"Mahnomen County",9.6,99,6.9,2.7
MN-089,"Marshall County",9.8,111,8.8,1
MN-091,"Martin County",18.5,98,5.9,12.6
MN-093,"Meeker County",16.2,102,7.1,9.1
MN-095,"Mille Lacs County",15.7,110,8.2,7.5
MN-097,"Morrison County",14.8,106,7.7,7.1
MN-099,"Mower County",19.4,113,7.8,11.6
MN-101,"Murray County",16.4,94,4.9,11.5
MN-103,"Nicollet County",16.9,94,5.0,11.9
MN-105,"Nobles County",16.9,90,4.5,12.4
MN-107,"Norman County",10.0,98,6.4,3.6
MN-109,"Olmsted County",19.3,110,7.5,11.8
MN-111,"Otter Tail County",12.2,100,7.2,5
MN-113,"Pennington County",8.9,97,7.3,1.6
MN-115,"Pine County",16.6,120,9.5,7.1
MN-117,"Pipestone County",16.8,94,5.4,11.4
MN-119,"Polk County",9.7,99,7.2,2.5
MN-121,"Pope County",14.3,102,7.1,7.2
MN-123,"Ramsey County",18.9,107,7.8,11.1
MN-125,"Red Lake County",9.2,98,7.2,2
MN-127,"Redwood County",16.9,93,5.4,11.5
MN-129,"Renville County",16.7,95,6.1,10.6
MN-131,"Rice County",19.3,108,7.9,11.4
MN-133,"Rock County",18.1,96,5.4,12.7
MN-135,"Roseau County",10.6,117,10.8,-0.2
MN-137,"St. Louis County",11.6,115,8.5,3.1
MN-139,"Scott County",19.0,107,7.4,11.6
MN-141,"Sherburne County",16.3,102,7.3,9
MN-143,"Sibley County",17.4,98,6.2,11.2
MN-145,"Stearns County",15.1,103,7.3,7.8
MN-147,"Steele County",19.4,110,8.0,11.4
MN-149,"Stevens County",13.7,95,6.0,7.7
MN-151,"Swift County",14.6,94,5.9,8.7
MN-153,"Todd County",13.7,105,7.7,6
MN-155,"Traverse County",13.8,93,5.8,8
MN-157,"Wabasha County",20.4,112,8.1,12.3
MN-159,"Wadena County",13.0,107,8.2,4.8
MN-161,"Waseca County",19.0,106,7.1,11.9
MN-163,"Washington County",19.1,109,8.1,11
MN-165,"Watonwan County",18.4,101,6.1,12.3
MN-167,"Wilkin County",12.0,94,5.8,6.2
MN-169,"Winona County",21.3,113,8.3,13
MN-171,"Wright County",16.8,103,7.3,9.5
MN-173,"Yellow Medicine County",16.0,93,5.0,11
