January 2020 Mississippi County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",51.8,97,3.6,48.2
MS-003,"Alcorn County",45.0,108,5.6,39.4
MS-005,"Amite County",53.3,108,4.8,48.5
MS-007,"Attala County",47.9,100,4.0,43.9
MS-009,"Benton County",45.3,112,5.7,39.6
MS-011,"Bolivar County",47.0,106,4.6,42.4
MS-013,"Calhoun County",47.9,113,5.3,42.6
MS-015,"Carroll County",48.8,111,5.4,43.4
MS-017,"Chickasaw County",48.4,113,5.7,42.7
MS-019,"Choctaw County",48.0,107,4.8,43.2
MS-021,"Claiborne County",52.6,110,5.4,47.2
MS-023,"Clarke County",51.2,108,4.4,46.8
MS-025,"Clay County",48.9,112,5.6,43.3
MS-027,"Coahoma County",46.5,111,5.2,41.3
MS-029,"Copiah County",52.8,112,5.5,47.3
MS-031,"Covington County",51.8,100,4.0,47.8
MS-033,"DeSoto County",45.5,108,5.1,40.4
MS-035,"Forrest County",53.0,101,4.2,48.8
MS-037,"Franklin County",52.4,106,4.4,48
MS-039,"George County",53.9,103,4.2,49.7
MS-041,"Greene County",52.8,100,4.0,48.8
MS-043,"Grenada County",48.2,111,5.3,42.9
MS-045,"Hancock County",55.1,106,4.4,50.7
MS-047,"Harrison County",54.7,105,4.1,50.6
MS-049,"Hinds County",52.2,113,5.6,46.6
MS-051,"Holmes County",49.0,104,4.5,44.5
MS-053,"Humphreys County",49.4,108,4.9,44.5
MS-055,"Issaquena County",50.0,107,4.8,45.2
MS-057,"Itawamba County",47.4,112,5.9,41.5
MS-059,"Jackson County",55.0,107,4.4,50.6
MS-061,"Jasper County",51.3,110,4.7,46.6
MS-063,"Jefferson County",51.9,106,4.3,47.6
MS-065,"Jefferson Davis County",52.0,99,4.0,48
MS-067,"Jones County",51.9,99,4.1,47.8
MS-069,"Kemper County",49.5,107,4.6,44.9
MS-071,"Lafayette County",46.8,108,5.2,41.6
MS-073,"Lamar County",52.9,101,4.1,48.8
MS-075,"Lauderdale County",50.9,111,5.2,45.7
MS-077,"Lawrence County",52.5,102,4.3,48.2
MS-079,"Leake County",48.5,98,3.7,44.8
MS-081,"Lee County",48.0,116,6.3,41.7
MS-083,"Leflore County",49.6,114,6.1,43.5
MS-085,"Lincoln County",52.6,108,4.8,47.8
MS-087,"Lowndes County",48.8,110,5.1,43.7
MS-089,"Madison County",49.0,92,3.1,45.9
MS-091,"Marion County",53.0,99,3.9,49.1
MS-093,"Marshall County",45.5,106,5.3,40.2
MS-095,"Monroe County",48.2,112,5.4,42.8
MS-097,"Montgomery County",47.3,101,4.2,43.1
MS-099,"Neshoba County",49.1,106,4.5,44.6
MS-101,"Newton County",50.6,110,5.1,45.5
MS-103,"Noxubee County",49.3,112,5.1,44.2
MS-105,"Oktibbeha County",49.3,112,5.8,43.5
MS-107,"Panola County",46.6,106,5.0,41.6
MS-109,"Pearl River County",53.8,102,4.1,49.7
MS-111,"Perry County",53.0,101,4.2,48.8
MS-113,"Pike County",53.4,107,4.8,48.6
MS-115,"Pontotoc County",47.7,115,5.9,41.8
MS-117,"Prentiss County",46.5,113,6.2,40.3
MS-119,"Quitman County",46.9,107,5.3,41.6
MS-121,"Rankin County",50.6,104,4.3,46.3
MS-123,"Scott County",49.6,103,4.1,45.5
MS-125,"Sharkey County",49.4,106,4.5,44.9
MS-127,"Simpson County",51.7,107,4.7,47
MS-129,"Smith County",51.0,106,4.4,46.6
MS-131,"Stone County",53.7,104,4.1,49.6
MS-133,"Sunflower County",48.4,111,5.2,43.2
MS-135,"Tallahatchie County",47.9,110,5.4,42.5
MS-137,"Tate County",45.8,105,4.9,40.9
MS-139,"Tippah County",45.6,113,5.9,39.7
MS-141,"Tishomingo County",45.8,112,6.0,39.8
MS-143,"Tunica County",46.1,112,5.2,40.9
MS-145,"Union County",46.9,115,6.0,40.9
MS-147,"Walthall County",53.2,102,4.3,48.9
MS-149,"Warren County",52.3,115,5.9,46.4
MS-151,"Washington County",48.3,106,4.5,43.8
MS-153,"Wayne County",51.1,96,3.4,47.7
MS-155,"Webster County",47.8,106,4.8,43
MS-157,"Wilkinson County",52.7,97,3.6,49.1
MS-159,"Winston County",48.7,108,4.9,43.8
MS-161,"Yalobusha County",47.5,109,5.2,42.3
MS-163,"Yazoo County",49.5,99,3.8,45.7
