January 2020 Nebraska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",27.5,94,4.6,22.9
NE-003,"Antelope County",22.9,88,3.7,19.2
NE-005,"Arthur County",29.6,117,6.8,22.8
NE-007,"Banner County",32.5,119,7.4,25.1
NE-009,"Blaine County",26.4,91,4.4,22
NE-011,"Boone County",23.8,87,4.1,19.7
NE-013,"Box Butte County",29.5,115,6.5,23
NE-015,"Boyd County",21.6,75,2.6,19
NE-017,"Brown County",25.5,89,4.5,21
NE-019,"Buffalo County",27.0,93,4.7,22.3
NE-021,"Burt County",23.7,97,4.6,19.1
NE-023,"Butler County",24.5,87,3.4,21.1
NE-025,"Cass County",26.4,96,4.5,21.9
NE-027,"Cedar County",21.8,86,4.3,17.5
NE-029,"Chase County",32.2,119,6.8,25.4
NE-031,"Cherry County",27.4,103,6.4,21
NE-033,"Cheyenne County",31.9,121,6.8,25.1
NE-035,"Clay County",27.4,98,4.7,22.7
NE-037,"Colfax County",24.1,90,4.0,20.1
NE-039,"Cuming County",23.2,93,4.2,19
NE-041,"Custer County",26.6,92,4.6,22
NE-043,"Dakota County",22.0,93,4.3,17.7
NE-045,"Dawes County",29.6,115,7.0,22.6
NE-047,"Dawson County",28.4,98,4.9,23.5
NE-049,"Deuel County",30.7,111,5.7,25
NE-051,"Dixon County",21.4,88,3.7,17.7
NE-053,"Dodge County",24.5,94,4.4,20.1
NE-055,"Douglas County",25.8,98,4.9,20.9
NE-057,"Dundy County",32.7,118,6.2,26.5
NE-059,"Fillmore County",26.5,92,3.9,22.6
NE-061,"Franklin County",29.1,98,4.9,24.2
NE-063,"Frontier County",30.6,109,6.1,24.5
NE-065,"Furnas County",30.0,96,4.9,25.1
NE-067,"Gage County",26.7,92,3.4,23.3
NE-069,"Garden County",29.4,113,6.2,23.2
NE-071,"Garfield County",23.8,81,3.8,20
NE-073,"Gosper County",29.2,97,4.9,24.3
NE-075,"Grant County",27.8,103,6.0,21.8
NE-077,"Greeley County",24.4,86,4.0,20.4
NE-079,"Hall County",26.8,95,4.6,22.2
NE-081,"Hamilton County",26.8,98,4.5,22.3
NE-083,"Harlan County",29.9,100,5.1,24.8
NE-085,"Hayes County",31.1,111,6.1,25
NE-087,"Hitchcock County",32.0,114,6.0,26
NE-089,"Holt County",22.0,72,2.7,19.3
NE-091,"Hooker County",27.2,93,5.1,22.1
NE-093,"Howard County",25.8,92,4.2,21.6
NE-095,"Jefferson County",26.6,89,3.2,23.4
NE-097,"Johnson County",27.0,95,3.9,23.1
NE-099,"Kearney County",28.0,95,5.0,23
NE-101,"Keith County",30.9,118,6.7,24.2
NE-103,"Keya Paha County",24.2,86,4.5,19.7
NE-105,"Kimball County",32.0,120,7.2,24.8
NE-107,"Knox County",22.2,86,3.7,18.5
NE-109,"Lancaster County",26.4,95,4.2,22.2
NE-111,"Lincoln County",29.6,105,5.9,23.7
NE-113,"Logan County",27.8,94,5.1,22.7
NE-115,"Loup County",24.8,83,4.1,20.7
NE-117,"McPherson County",28.6,104,5.9,22.7
NE-119,"Madison County",23.5,88,4.2,19.3
NE-121,"Merrick County",25.9,94,4.3,21.6
NE-123,"Morrill County",30.8,117,6.7,24.1
NE-125,"Nance County",24.7,89,4.0,20.7
NE-127,"Nemaha County",27.8,95,4.1,23.7
NE-129,"Nuckolls County",28.4,101,5.1,23.3
NE-131,"Otoe County",26.8,96,4.1,22.7
NE-133,"Pawnee County",27.5,96,3.9,23.6
NE-135,"Perkins County",31.1,114,6.4,24.7
NE-137,"Phelps County",28.5,99,4.9,23.6
NE-139,"Pierce County",22.7,90,4.2,18.5
NE-141,"Platte County",24.0,88,4.0,20
NE-143,"Polk County",25.2,90,3.9,21.3
NE-145,"Red Willow County",31.5,109,6.1,25.4
NE-147,"Richardson County",28.5,99,4.4,24.1
NE-149,"Rock County",23.5,80,3.6,19.9
NE-151,"Saline County",26.0,90,3.4,22.6
NE-153,"Sarpy County",26.1,98,4.6,21.5
NE-155,"Saunders County",25.6,94,4.4,21.2
NE-157,"Scotts Bluff County",32.3,119,7.5,24.8
NE-159,"Seward County",25.4,89,3.3,22.1
NE-161,"Sheridan County",28.2,112,6.9,21.3
NE-163,"Sherman County",25.8,92,4.4,21.4
NE-165,"Sioux County",28.7,113,6.5,22.2
NE-167,"Stanton County",23.6,91,4.3,19.3
NE-169,"Thayer County",27.8,98,4.5,23.3
NE-171,"Thomas County",27.4,95,4.8,22.6
NE-173,"Thurston County",22.7,93,4.4,18.3
NE-175,"Valley County",24.8,87,4.1,20.7
NE-177,"Washington County",25.0,98,4.8,20.2
NE-179,"Wayne County",22.7,93,4.3,18.4
NE-181,"Webster County",28.3,96,4.7,23.6
NE-183,"Wheeler County",23.5,83,3.8,19.7
NE-185,"York County",25.8,89,3.5,22.3
