January 2020 New Jersey County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NJ-001,"Atlantic County",39.1,117,7.2,31.9
NJ-003,"Bergen County",36.4,118,8.0,28.4
NJ-005,"Burlington County",38.9,118,7.4,31.5
NJ-007,"Camden County",39.1,118,7.5,31.6
NJ-009,"Cape May County",39.6,116,6.7,32.9
NJ-011,"Cumberland County",38.8,116,6.9,31.9
NJ-013,"Essex County",36.8,117,7.9,28.9
NJ-015,"Gloucester County",38.9,118,7.2,31.7
NJ-017,"Hudson County",38.7,117,8.0,30.7
NJ-019,"Hunterdon County",35.3,121,8.3,27
NJ-021,"Mercer County",37.4,117,7.6,29.8
NJ-023,"Middlesex County",37.8,119,7.9,29.9
NJ-025,"Monmouth County",38.1,119,7.6,30.5
NJ-027,"Morris County",33.8,117,7.5,26.3
NJ-029,"Ocean County",38.5,118,7.2,31.3
NJ-031,"Passaic County",34.1,117,7.7,26.4
NJ-033,"Salem County",38.8,116,6.9,31.9
NJ-035,"Somerset County",36.3,120,8.0,28.3
NJ-037,"Sussex County",32.1,117,7.6,24.5
NJ-039,"Union County",37.5,118,7.9,29.6
NJ-041,"Warren County",33.2,119,8.0,25.2
