January 2020 New York County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NY-001,"Albany County",29.8,117,8.3,21.5
NY-003,"Allegany County",28.5,114,7.0,21.5
NY-005,"Bronx County",38.5,117,7.9,30.6
NY-007,"Broome County",28.9,115,6.9,22
NY-009,"Cattaraugus County",28.5,113,7.0,21.5
NY-011,"Cayuga County",29.5,116,7.3,22.2
NY-013,"Chautauqua County",30.1,117,7.5,22.6
NY-015,"Chemung County",30.0,117,7.7,22.3
NY-017,"Chenango County",27.8,116,7.4,20.4
NY-019,"Clinton County",22.8,117,8.0,14.8
NY-021,"Columbia County",30.9,118,8.1,22.8
NY-023,"Cortland County",27.3,116,7.1,20.2
NY-025,"Delaware County",27.7,117,7.3,20.4
NY-027,"Dutchess County",32.0,117,8.2,23.8
NY-029,"Erie County",30.9,118,8.0,22.9
NY-031,"Essex County",22.4,116,8.0,14.4
NY-033,"Franklin County",22.2,117,9.0,13.2
NY-035,"Fulton County",26.0,116,7.8,18.2
NY-037,"Genesee County",29.5,116,7.2,22.3
NY-039,"Greene County",28.7,115,7.3,21.4
NY-041,"Hamilton County",22.4,116,8.2,14.2
NY-043,"Herkimer County",23.9,114,7.9,16
NY-045,"Jefferson County",26.1,118,9.3,16.8
NY-047,"Kings County",39.1,117,7.7,31.4
NY-049,"Lewis County",23.8,116,9.0,14.8
NY-051,"Livingston County",30.5,118,7.8,22.7
NY-053,"Madison County",26.9,114,7.5,19.4
NY-055,"Monroe County",30.6,117,7.4,23.2
NY-057,"Montgomery County",27.8,116,7.3,20.5
NY-059,"Nassau County",38.3,117,7.7,30.6
NY-061,"New York County",38.8,117,7.9,30.9
NY-063,"Niagara County",30.8,117,7.1,23.7
NY-065,"Oneida County",26.5,114,8.1,18.4
NY-067,"Onondaga County",29.0,117,7.7,21.3
NY-069,"Ontario County",30.0,117,7.4,22.6
NY-071,"Orange County",32.3,117,7.9,24.4
NY-073,"Orleans County",30.0,116,6.9,23.1
NY-075,"Oswego County",27.9,117,8.0,19.9
NY-077,"Otsego County",26.6,115,6.6,20
NY-079,"Putnam County",32.8,117,8.0,24.8
NY-081,"Queens County",38.7,117,7.6,31.1
NY-083,"Rensselaer County",29.6,118,8.8,20.8
NY-085,"Richmond County",38.9,118,7.9,31
NY-087,"Rockland County",34.7,118,8.0,26.7
NY-089,"St. Lawrence County",23.6,118,9.4,14.2
NY-091,"Saratoga County",27.6,118,8.5,19.1
NY-093,"Schenectady County",29.1,119,8.6,20.5
NY-095,"Schoharie County",27.0,115,6.7,20.3
NY-097,"Schuyler County",29.6,119,7.9,21.7
NY-099,"Seneca County",30.6,116,7.4,23.2
NY-101,"Steuben County",29.3,117,7.6,21.7
NY-103,"Suffolk County",36.9,118,7.3,29.6
NY-105,"Sullivan County",29.6,117,7.8,21.8
NY-107,"Tioga County",29.3,116,7.0,22.3
NY-109,"Tompkins County",28.8,116,7.1,21.7
NY-111,"Ulster County",30.4,117,7.9,22.5
NY-113,"Warren County",24.5,116,8.2,16.3
NY-115,"Washington County",26.9,116,8.4,18.5
NY-117,"Wayne County",29.5,114,6.6,22.9
NY-119,"Westchester County",35.2,117,7.9,27.3
NY-121,"Wyoming County",28.7,118,7.7,21
NY-123,"Yates County",30.2,118,7.8,22.4
