January 2020 North Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NC-001,"Alamance County",44.7,115,5.7,39
NC-003,"Alexander County",43.3,115,5.2,38.1
NC-005,"Alleghany County",38.2,113,6.0,32.2
NC-007,"Anson County",47.9,113,5.9,42
NC-009,"Ashe County",37.1,112,5.4,31.7
NC-011,"Avery County",36.6,109,5.2,31.4
NC-013,"Beaufort County",50.2,120,7.1,43.1
NC-015,"Bertie County",47.9,120,7.2,40.7
NC-017,"Bladen County",50.1,118,6.2,43.9
NC-019,"Brunswick County",51.9,120,6.4,45.5
NC-021,"Buncombe County",40.0,109,4.8,35.2
NC-023,"Burke County",43.0,113,5.0,38
NC-025,"Cabarrus County",46.2,115,5.9,40.3
NC-027,"Caldwell County",42.7,112,5.0,37.7
NC-029,"Camden County",48.0,120,7.3,40.7
NC-031,"Carteret County",51.5,119,6.2,45.3
NC-033,"Caswell County",42.8,111,4.6,38.2
NC-035,"Catawba County",43.9,114,5.2,38.7
NC-037,"Chatham County",46.3,115,6.1,40.2
NC-039,"Cherokee County",41.3,101,3.9,37.4
NC-041,"Chowan County",48.5,120,7.4,41.1
NC-043,"Clay County",41.1,107,4.7,36.4
NC-045,"Cleveland County",44.5,112,5.0,39.5
NC-047,"Columbus County",51.0,119,6.2,44.8
NC-049,"Craven County",50.2,119,6.5,43.7
NC-051,"Cumberland County",49.4,118,6.7,42.7
NC-053,"Currituck County",48.2,120,7.2,41
NC-055,"Dare County",49.9,118,6.4,43.5
NC-057,"Davidson County",44.4,115,5.8,38.6
NC-059,"Davie County",44.1,116,6.4,37.7
NC-061,"Duplin County",49.1,114,5.8,43.3
NC-063,"Durham County",45.0,115,5.9,39.1
NC-065,"Edgecombe County",47.8,120,7.2,40.6
NC-067,"Forsyth County",43.4,116,6.0,37.4
NC-069,"Franklin County",45.8,117,6.9,38.9
NC-071,"Gaston County",45.6,115,5.7,39.9
NC-073,"Gates County",46.8,119,6.8,40
NC-075,"Graham County",39.8,105,4.3,35.5
NC-077,"Granville County",43.9,114,5.9,38
NC-079,"Greene County",48.2,117,6.2,42
NC-081,"Guilford County",44.0,115,5.8,38.2
NC-083,"Halifax County",46.1,118,6.8,39.3
NC-085,"Harnett County",48.2,117,6.5,41.7
NC-087,"Haywood County",37.5,107,4.5,33
NC-089,"Henderson County",41.1,108,4.4,36.7
NC-091,"Hertford County",46.6,118,6.6,40
NC-093,"Hoke County",49.0,118,6.8,42.2
NC-095,"Hyde County",51.1,121,7.0,44.1
NC-097,"Iredell County",44.3,117,6.1,38.2
NC-099,"Jackson County",38.9,106,4.3,34.6
NC-101,"Johnston County",48.0,118,6.6,41.4
NC-103,"Jones County",49.8,117,6.4,43.4
NC-105,"Lee County",47.5,116,6.6,40.9
NC-107,"Lenoir County",48.3,116,5.7,42.6
NC-109,"Lincoln County",44.5,114,5.3,39.2
NC-111,"McDowell County",42.0,112,4.8,37.2
NC-113,"Macon County",40.2,107,4.6,35.6
NC-115,"Madison County",40.6,110,5.3,35.3
NC-117,"Martin County",48.5,121,7.2,41.3
NC-119,"Mecklenburg County",46.4,114,5.9,40.5
NC-121,"Mitchell County",37.6,109,4.9,32.7
NC-123,"Montgomery County",47.1,116,6.1,41
NC-125,"Moore County",47.8,117,6.6,41.2
NC-127,"Nash County",46.8,119,7.2,39.6
NC-129,"New Hanover County",51.6,119,6.2,45.4
NC-131,"Northampton County",45.7,117,6.5,39.2
NC-133,"Onslow County",50.8,118,6.4,44.4
NC-135,"Orange County",44.6,114,5.7,38.9
NC-137,"Pamlico County",51.2,120,6.7,44.5
NC-139,"Pasquotank County",48.4,121,7.5,40.9
NC-141,"Pender County",50.5,117,6.0,44.5
NC-143,"Perquimans County",48.4,120,7.4,41
NC-145,"Person County",42.7,111,5.0,37.7
NC-147,"Pitt County",48.7,118,6.7,42
NC-149,"Polk County",44.3,110,4.5,39.8
NC-151,"Randolph County",45.1,113,5.4,39.7
NC-153,"Richmond County",48.5,117,6.5,42
NC-155,"Robeson County",50.2,119,6.5,43.7
NC-157,"Rockingham County",43.2,115,5.4,37.8
NC-159,"Rowan County",45.2,116,6.3,38.9
NC-161,"Rutherford County",44.2,112,4.7,39.5
NC-163,"Sampson County",49.0,117,6.2,42.8
NC-165,"Scotland County",49.3,118,6.8,42.5
NC-167,"Stanly County",47.0,114,6.0,41
NC-169,"Stokes County",42.7,116,5.8,36.9
NC-171,"Surry County",41.9,116,5.9,36
NC-173,"Swain County",38.5,107,4.6,33.9
NC-175,"Transylvania County",40.4,108,4.6,35.8
NC-177,"Tyrrell County",49.9,120,7.2,42.7
NC-179,"Union County",47.0,113,5.5,41.5
NC-181,"Vance County",44.2,116,6.2,38
NC-183,"Wake County",46.7,116,6.5,40.2
NC-185,"Warren County",44.8,117,6.5,38.3
NC-187,"Washington County",49.5,121,7.6,41.9
NC-189,"Watauga County",37.4,110,5.4,32
NC-191,"Wayne County",48.3,117,6.2,42.1
NC-193,"Wilkes County",42.5,114,5.8,36.7
NC-195,"Wilson County",47.9,119,6.9,41
NC-197,"Yadkin County",43.2,117,6.2,37
NC-199,"Yancey County",37.1,108,4.5,32.6
