January 2020 Oklahoma County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",41.0,111,4.7,36.3
OK-003,"Alfalfa County",38.9,113,5.9,33
OK-005,"Atoka County",45.2,116,5.1,40.1
OK-007,"Beaver County",38.1,111,5.1,33
OK-009,"Beckham County",43.0,121,6.8,36.2
OK-011,"Blaine County",41.0,116,6.1,34.9
OK-013,"Bryan County",46.2,115,5.4,40.8
OK-015,"Caddo County",43.1,120,6.7,36.4
OK-017,"Canadian County",42.5,119,6.8,35.7
OK-019,"Carter County",45.5,116,5.4,40.1
OK-021,"Cherokee County",41.6,114,4.9,36.7
OK-023,"Choctaw County",45.8,112,4.9,40.9
OK-025,"Cimarron County",36.7,100,3.6,33.1
OK-027,"Cleveland County",43.7,117,6.3,37.4
OK-029,"Coal County",44.9,116,5.3,39.6
OK-031,"Comanche County",44.4,117,6.1,38.3
OK-033,"Cotton County",45.6,116,6.1,39.5
OK-035,"Craig County",39.8,115,5.4,34.4
OK-037,"Creek County",41.8,116,5.7,36.1
OK-039,"Custer County",41.5,117,6.4,35.1
OK-041,"Delaware County",40.3,113,4.9,35.4
OK-043,"Dewey County",40.0,113,5.7,34.3
OK-045,"Ellis County",39.0,111,5.4,33.6
OK-047,"Garfield County",40.9,117,6.9,34
OK-049,"Garvin County",44.6,116,5.9,38.7
OK-051,"Grady County",43.9,120,6.7,37.2
OK-053,"Grant County",39.5,116,6.6,32.9
OK-055,"Greer County",43.8,120,6.6,37.2
OK-057,"Harmon County",44.5,122,6.8,37.7
OK-059,"Harper County",37.9,109,4.9,33
OK-061,"Haskell County",44.0,115,5.0,39
OK-063,"Hughes County",43.8,115,5.3,38.5
OK-065,"Jackson County",44.8,122,6.6,38.2
OK-067,"Jefferson County",46.1,116,5.7,40.4
OK-069,"Johnston County",45.6,118,5.5,40.1
OK-071,"Kay County",40.0,118,6.8,33.2
OK-073,"Kingfisher County",41.6,116,6.3,35.3
OK-075,"Kiowa County",43.8,119,6.6,37.2
OK-077,"Latimer County",44.4,113,5.0,39.4
OK-079,"Le Flore County",44.2,114,5.1,39.1
OK-081,"Lincoln County",42.5,116,5.8,36.7
OK-083,"Logan County",41.9,116,6.3,35.6
OK-085,"Love County",46.4,116,5.5,40.9
OK-087,"McClain County",44.1,118,6.5,37.6
OK-089,"McCurtain County",46.4,116,6.0,40.4
OK-091,"McIntosh County",43.6,115,5.3,38.3
OK-093,"Major County",39.8,113,5.7,34.1
OK-095,"Marshall County",46.2,115,5.4,40.8
OK-097,"Mayes County",40.8,113,4.9,35.9
OK-099,"Murray County",45.1,115,5.5,39.6
OK-101,"Muskogee County",42.9,114,5.1,37.8
OK-103,"Noble County",41.6,118,7.0,34.6
OK-105,"Nowata County",39.7,116,5.7,34
OK-107,"Okfuskee County",42.9,115,5.3,37.6
OK-109,"Oklahoma County",42.9,117,6.4,36.5
OK-111,"Okmulgee County",42.8,114,5.3,37.5
OK-113,"Osage County",40.0,116,5.9,34.1
OK-115,"Ottawa County",40.2,115,5.9,34.3
OK-117,"Pawnee County",41.4,117,6.4,35
OK-119,"Payne County",41.8,118,6.3,35.5
OK-121,"Pittsburg County",44.1,113,4.9,39.2
OK-123,"Pontotoc County",44.6,115,5.6,39
OK-125,"Pottawatomie County",43.8,117,6.0,37.8
OK-127,"Pushmataha County",45.0,114,5.1,39.9
OK-129,"Roger Mills County",41.4,118,6.4,35
OK-131,"Rogers County",40.8,115,5.6,35.2
OK-133,"Seminole County",43.7,117,5.6,38.1
OK-135,"Sequoyah County",43.1,113,4.9,38.2
OK-137,"Stephens County",44.8,116,5.8,39
OK-139,"Texas County",38.3,115,5.2,33.1
OK-141,"Tillman County",45.2,116,6.1,39.1
OK-143,"Tulsa County",41.5,115,5.6,35.9
OK-145,"Wagoner County",42.0,114,5.2,36.8
OK-147,"Washington County",39.7,116,5.8,33.9
OK-149,"Washita County",42.7,119,6.6,36.1
OK-151,"Woods County",38.0,111,5.2,32.8
OK-153,"Woodward County",38.6,111,5.2,33.4
