January 2020 Pennsylvania County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",35.2,116,6.6,28.6
PA-003,"Allegheny County",35.0,113,6.8,28.2
PA-005,"Armstrong County",32.8,112,6.8,26
PA-007,"Beaver County",33.8,111,6.4,27.4
PA-009,"Bedford County",34.2,116,6.9,27.3
PA-011,"Berks County",34.7,116,6.9,27.8
PA-013,"Blair County",32.4,116,6.6,25.8
PA-015,"Bradford County",30.2,118,7.6,22.6
PA-017,"Bucks County",36.6,118,8.1,28.5
PA-019,"Butler County",32.2,110,6.3,25.9
PA-021,"Cambria County",30.7,113,6.3,24.4
PA-023,"Cameron County",28.7,110,5.0,23.7
PA-025,"Carbon County",30.5,116,7.0,23.5
PA-027,"Centre County",30.7,111,5.6,25.1
PA-029,"Chester County",36.1,116,7.0,29.1
PA-031,"Clarion County",30.9,112,6.6,24.3
PA-033,"Clearfield County",30.7,115,6.7,24
PA-035,"Clinton County",29.4,108,4.9,24.5
PA-037,"Columbia County",30.9,115,6.4,24.5
PA-039,"Crawford County",30.9,116,7.7,23.2
PA-041,"Cumberland County",34.8,116,6.5,28.3
PA-043,"Dauphin County",34.4,116,7.2,27.2
PA-045,"Delaware County",38.1,118,7.3,30.8
PA-047,"Elk County",29.9,115,7.2,22.7
PA-049,"Erie County",31.5,118,8.0,23.5
PA-051,"Fayette County",34.7,116,7.0,27.7
PA-053,"Forest County",30.3,115,7.1,23.2
PA-055,"Franklin County",34.6,114,6.2,28.4
PA-057,"Fulton County",35.0,116,6.9,28.1
PA-059,"Greene County",35.7,114,6.9,28.8
PA-061,"Huntingdon County",33.6,115,6.5,27.1
PA-063,"Indiana County",32.4,114,6.8,25.6
PA-065,"Jefferson County",31.2,116,7.6,23.6
PA-067,"Juniata County",33.7,115,6.3,27.4
PA-069,"Lackawanna County",30.1,117,7.6,22.5
PA-071,"Lancaster County",35.8,118,7.2,28.6
PA-073,"Lawrence County",32.6,111,6.7,25.9
PA-075,"Lebanon County",34.5,118,7.2,27.3
PA-077,"Lehigh County",34.9,118,7.9,27
PA-079,"Luzerne County",30.4,116,7.3,23.1
PA-081,"Lycoming County",30.0,113,6.3,23.7
PA-083,"McKean County",28.7,115,7.0,21.7
PA-085,"Mercer County",31.7,116,7.5,24.2
PA-087,"Mifflin County",33.0,115,6.2,26.8
PA-089,"Monroe County",30.2,117,7.2,23
PA-091,"Montgomery County",36.9,118,7.6,29.3
PA-093,"Montour County",31.6,114,6.2,25.4
PA-095,"Northampton County",33.9,121,8.0,25.9
PA-097,"Northumberland County",31.9,112,6.1,25.8
PA-099,"Perry County",34.1,115,6.5,27.6
PA-101,"Philadelphia County",39.1,119,8.1,31
PA-103,"Pike County",29.9,117,7.3,22.6
PA-105,"Potter County",28.0,111,5.9,22.1
PA-107,"Schuylkill County",31.4,115,6.3,25.1
PA-109,"Snyder County",32.4,112,5.9,26.5
PA-111,"Somerset County",32.0,115,7.1,24.9
PA-113,"Sullivan County",28.6,116,7.3,21.3
PA-115,"Susquehanna County",29.5,117,7.4,22.1
PA-117,"Tioga County",29.2,116,7.2,22
PA-119,"Union County",31.4,112,5.9,25.5
PA-121,"Venango County",30.7,115,6.9,23.8
PA-123,"Warren County",29.6,115,7.1,22.5
PA-125,"Washington County",35.0,114,6.8,28.2
PA-127,"Wayne County",29.3,117,7.4,21.9
PA-129,"Westmoreland County",34.5,114,6.7,27.8
PA-131,"Wyoming County",30.8,118,7.9,22.9
PA-133,"York County",35.8,117,7.2,28.6
