January 2020 South Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",48.1,114,5.7,42.4
SC-003,"Aiken County",51.9,117,6.6,45.3
SC-005,"Allendale County",52.2,111,5.5,46.7
SC-007,"Anderson County",47.3,113,5.6,41.7
SC-009,"Bamberg County",51.6,110,5.0,46.6
SC-011,"Barnwell County",52.0,113,6.0,46
SC-013,"Beaufort County",55.3,112,5.8,49.5
SC-015,"Berkeley County",53.4,113,6.0,47.4
SC-017,"Calhoun County",51.9,116,6.0,45.9
SC-019,"Charleston County",54.2,113,5.8,48.4
SC-021,"Cherokee County",45.4,113,4.9,40.5
SC-023,"Chester County",47.0,113,5.1,41.9
SC-025,"Chesterfield County",48.8,114,6.3,42.5
SC-027,"Clarendon County",52.1,116,6.0,46.1
SC-029,"Colleton County",53.2,110,5.6,47.6
SC-031,"Darlington County",51.2,120,7.3,43.9
SC-033,"Dillon County",50.8,118,6.6,44.2
SC-035,"Dorchester County",53.2,113,5.8,47.4
SC-037,"Edgefield County",50.8,117,6.4,44.4
SC-039,"Fairfield County",48.2,112,5.2,43
SC-041,"Florence County",51.8,117,6.6,45.2
SC-043,"Georgetown County",52.3,111,5.3,47
SC-045,"Greenville County",45.5,113,4.7,40.8
SC-047,"Greenwood County",48.8,114,5.9,42.9
SC-049,"Hampton County",52.5,109,5.0,47.5
SC-051,"Horry County",51.8,118,6.1,45.7
SC-053,"Jasper County",54.4,111,5.6,48.8
SC-055,"Kershaw County",48.9,113,5.7,43.2
SC-057,"Lancaster County",47.3,113,5.5,41.8
SC-059,"Laurens County",47.6,114,5.4,42.2
SC-061,"Lee County",50.5,116,6.3,44.2
SC-063,"Lexington County",51.1,118,6.8,44.3
SC-065,"McCormick County",49.7,115,6.2,43.5
SC-067,"Marion County",51.4,116,6.1,45.3
SC-069,"Marlboro County",50.0,116,6.6,43.4
SC-071,"Newberry County",48.7,112,5.8,42.9
SC-073,"Oconee County",45.5,111,4.3,41.2
SC-075,"Orangeburg County",52.2,114,5.9,46.3
SC-077,"Pickens County",46.1,114,5.3,40.8
SC-079,"Richland County",50.5,112,5.7,44.8
SC-081,"Saluda County",49.7,116,6.1,43.6
SC-083,"Spartanburg County",45.8,113,4.7,41.1
SC-085,"Sumter County",50.7,113,5.4,45.3
SC-087,"Union County",46.5,112,4.7,41.8
SC-089,"Williamsburg County",52.0,115,5.7,46.3
SC-091,"York County",46.4,113,5.3,41.1
