January 2020 South Dakota County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SD-003,"Aurora County",18.7,80,3.6,15.1
SD-005,"Beadle County",16.2,83,3.9,12.3
SD-007,"Bennett County",27.0,104,6.8,20.2
SD-009,"Bon Homme County",21.1,83,3.7,17.4
SD-011,"Brookings County",14.9,86,4.1,10.8
SD-013,"Brown County",13.4,87,4.9,8.5
SD-015,"Brule County",20.8,91,4.9,15.9
SD-017,"Buffalo County",19.0,90,4.7,14.3
SD-019,"Butte County",23.1,86,5.2,17.9
SD-021,"Campbell County",14.3,82,4.2,10.1
SD-023,"Charles Mix County",21.2,82,3.4,17.8
SD-025,"Clark County",13.9,89,4.2,9.7
SD-027,"Clay County",20.5,87,4.0,16.5
SD-029,"Codington County",13.1,88,4.4,8.7
SD-031,"Corson County",16.5,83,4.4,12.1
SD-033,"Custer County",28.5,109,7.0,21.5
SD-035,"Davison County",17.2,72,2.1,15.1
SD-037,"Day County",12.3,84,4.1,8.2
SD-039,"Deuel County",14.6,92,5.0,9.6
SD-041,"Dewey County",18.1,84,4.6,13.5
SD-043,"Douglas County",19.5,80,3.0,16.5
SD-045,"Edmunds County",13.7,79,3.7,10
SD-047,"Fall River County",29.0,114,7.6,21.4
SD-049,"Faulk County",14.6,80,3.8,10.8
SD-051,"Grant County",14.0,93,4.6,9.4
SD-053,"Gregory County",22.3,85,3.9,18.4
SD-055,"Haakon County",22.8,91,5.4,17.4
SD-057,"Hamlin County",13.9,87,4.5,9.4
SD-059,"Hand County",16.7,83,4.3,12.4
SD-061,"Hanson County",16.5,70,1.9,14.6
SD-063,"Harding County",22.1,97,7.0,15.1
SD-065,"Hughes County",19.4,87,4.8,14.6
SD-067,"Hutchinson County",19.1,82,3.4,15.7
SD-069,"Hyde County",17.0,88,4.6,12.4
SD-071,"Jackson County",26.3,101,6.5,19.8
SD-073,"Jerauld County",17.4,79,3.5,13.9
SD-075,"Jones County",22.8,90,4.9,17.9
SD-077,"Kingsbury County",15.0,81,3.8,11.2
SD-079,"Lake County",16.0,82,3.5,12.5
SD-081,"Lawrence County",26.4,99,5.5,20.9
SD-083,"Lincoln County",19.5,92,4.7,14.8
SD-085,"Lyman County",21.7,90,5.0,16.7
SD-087,"McCook County",17.6,83,3.7,13.9
SD-089,"McPherson County",12.7,78,3.7,9
SD-091,"Marshall County",12.2,88,4.4,7.8
SD-093,"Meade County",23.7,90,5.3,18.4
SD-095,"Mellette County",25.1,95,5.7,19.4
SD-097,"Miner County",15.7,76,2.7,13
SD-099,"Minnehaha County",18.0,93,4.7,13.3
SD-101,"Moody County",16.2,88,4.1,12.1
SD-102,"Oglala Lakota County",28.5,107,7.5,21
SD-103,"Pennington County",26.4,103,6.5,19.9
SD-105,"Perkins County",19.9,94,6.1,13.8
SD-107,"Potter County",15.8,82,4.4,11.4
SD-109,"Roberts County",13.4,91,4.7,8.7
SD-111,"Sanborn County",16.3,74,2.4,13.9
SD-115,"Spink County",15.0,85,4.4,10.6
SD-117,"Stanley County",21.0,87,5.0,16
SD-119,"Sully County",17.7,85,4.5,13.2
SD-121,"Todd County",25.8,97,5.8,20
SD-123,"Tripp County",23.8,90,5.0,18.8
SD-125,"Turner County",19.4,87,4.4,15
SD-127,"Union County",20.8,91,4.3,16.5
SD-129,"Walworth County",15.4,85,4.5,10.9
SD-135,"Yankton County",20.9,86,4.4,16.5
SD-137,"Ziebach County",20.0,91,5.1,14.9
