January 2020 California County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",48.9,100,2.5,46.4
CA-003,"Alpine County",33.8,115,4.4,29.4
CA-005,"Amador County",44.8,90,1.7,43.1
CA-007,"Butte County",45.8,100,2.6,43.2
CA-009,"Calaveras County",45.1,91,1.8,43.3
CA-011,"Colusa County",46.5,92,2.1,44.4
CA-013,"Contra Costa County",48.7,105,2.8,45.9
CA-015,"Del Norte County",41.5,93,2.2,39.3
CA-017,"El Dorado County",41.8,95,2.2,39.6
CA-019,"Fresno County",41.8,100,2.6,39.2
CA-021,"Glenn County",45.9,96,2.5,43.4
CA-023,"Humboldt County",44.3,98,2.5,41.8
CA-025,"Imperial County",58.0,112,3.8,54.2
CA-027,"Inyo County",44.5,107,3.3,41.2
CA-029,"Kern County",46.6,95,2.3,44.3
CA-031,"Kings County",47.4,93,2.1,45.3
CA-033,"Lake County",44.6,89,1.7,42.9
CA-035,"Lassen County",34.4,116,5.3,29.1
CA-037,"Los Angeles County",51.5,110,3.7,47.8
CA-039,"Madera County",42.6,100,2.8,39.8
CA-041,"Marin County",50.2,110,3.1,47.1
CA-043,"Mariposa County",42.1,94,2.3,39.8
CA-045,"Mendocino County",45.6,89,1.7,43.9
CA-047,"Merced County",48.1,100,2.8,45.3
CA-049,"Modoc County",33.3,106,4.6,28.7
CA-051,"Mono County",32.3,117,5.1,27.2
CA-053,"Monterey County",49.1,93,2.2,46.9
CA-055,"Napa County",48.0,110,2.9,45.1
CA-057,"Nevada County",39.4,88,1.8,37.6
CA-059,"Orange County",57.0,105,3.0,54
CA-061,"Placer County",40.8,90,2.1,38.7
CA-063,"Plumas County",35.3,109,3.9,31.4
CA-065,"Riverside County",53.8,110,3.4,50.4
CA-067,"Sacramento County",48.8,105,3.0,45.8
CA-069,"San Benito County",47.0,95,2.1,44.9
CA-071,"San Bernardino County",50.2,111,3.6,46.6
CA-073,"San Diego County",53.5,114,4.0,49.5
CA-075,"San Francisco County",51.1,112,2.9,48.2
CA-077,"San Joaquin County",49.3,110,3.8,45.5
CA-079,"San Luis Obispo County",48.9,93,2.0,46.9
CA-081,"San Mateo County",50.4,100,2.4,48
CA-083,"Santa Barbara County",50.6,97,2.6,48
CA-085,"Santa Clara County",48.2,100,2.5,45.7
CA-087,"Santa Cruz County",50.9,112,3.3,47.6
CA-089,"Shasta County",40.5,83,1.7,38.8
CA-091,"Sierra County",35.6,105,3.9,31.7
CA-093,"Siskiyou County",35.7,96,2.8,32.9
CA-095,"Solano County",49.1,109,3.3,45.8
CA-097,"Sonoma County",49.1,108,2.7,46.4
CA-099,"Stanislaus County",48.9,114,3.8,45.1
CA-101,"Sutter County",48.1,99,2.5,45.6
CA-103,"Tehama County",44.5,95,2.1,42.4
CA-105,"Trinity County",39.6,96,2.3,37.3
CA-107,"Tulare County",39.8,86,1.7,38.1
CA-109,"Tuolumne County",38.8,108,3.1,35.7
CA-111,"Ventura County",49.4,107,3.4,46
CA-113,"Yolo County",48.4,103,2.8,45.6
CA-115,"Yuba County",46.5,96,2.0,44.5
