January 2020 Tennessee County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",42.1,111,5.6,36.5
TN-003,"Bedford County",43.7,108,5.3,38.4
TN-005,"Benton County",43.0,107,5.6,37.4
TN-007,"Bledsoe County",42.4,113,5.9,36.5
TN-009,"Blount County",43.3,112,5.4,37.9
TN-011,"Bradley County",44.3,110,5.0,39.3
TN-013,"Campbell County",40.5,111,5.4,35.1
TN-015,"Cannon County",43.0,110,5.6,37.4
TN-017,"Carroll County",42.2,107,5.1,37.1
TN-019,"Carter County",39.8,111,5.6,34.2
TN-021,"Cheatham County",43.1,111,6.1,37
TN-023,"Chester County",44.1,110,5.9,38.2
TN-025,"Claiborne County",40.1,105,4.5,35.6
TN-027,"Clay County",42.8,112,6.4,36.4
TN-029,"Cocke County",43.1,113,5.7,37.4
TN-031,"Coffee County",43.2,109,5.5,37.7
TN-033,"Crockett County",42.9,112,5.8,37.1
TN-035,"Cumberland County",40.9,113,5.8,35.1
TN-037,"Davidson County",43.7,112,6.3,37.4
TN-039,"Decatur County",44.1,107,5.7,38.4
TN-041,"DeKalb County",43.1,111,5.8,37.3
TN-043,"Dickson County",43.4,114,6.8,36.6
TN-045,"Dyer County",42.3,111,5.7,36.6
TN-047,"Fayette County",44.7,111,5.8,38.9
TN-049,"Fentress County",41.3,115,6.8,34.5
TN-051,"Franklin County",43.9,111,5.6,38.3
TN-053,"Gibson County",42.0,108,5.3,36.7
TN-055,"Giles County",43.9,109,5.6,38.3
TN-057,"Grainger County",41.9,112,5.3,36.6
TN-059,"Greene County",42.9,111,5.8,37.1
TN-061,"Grundy County",41.8,110,5.7,36.1
TN-063,"Hamblen County",43.0,114,5.8,37.2
TN-065,"Hamilton County",44.6,112,5.6,39
TN-067,"Hancock County",41.2,111,5.3,35.9
TN-069,"Hardeman County",44.6,113,6.1,38.5
TN-071,"Hardin County",44.8,109,5.8,39
TN-073,"Hawkins County",42.6,114,6.0,36.6
TN-075,"Haywood County",43.7,113,5.9,37.8
TN-077,"Henderson County",43.5,109,5.6,37.9
TN-079,"Henry County",41.4,104,4.9,36.5
TN-081,"Hickman County",43.9,113,6.5,37.4
TN-083,"Houston County",42.9,112,6.2,36.7
TN-085,"Humphreys County",43.5,113,6.4,37.1
TN-087,"Jackson County",43.0,109,6.1,36.9
TN-089,"Jefferson County",43.6,115,6.1,37.5
TN-091,"Johnson County",38.4,111,5.5,32.9
TN-093,"Knox County",43.1,112,5.4,37.7
TN-095,"Lake County",41.7,112,5.8,35.9
TN-097,"Lauderdale County",43.4,114,5.7,37.7
TN-099,"Lawrence County",44.8,116,6.8,38
TN-101,"Lewis County",44.0,113,6.5,37.5
TN-103,"Lincoln County",44.1,108,5.2,38.9
TN-105,"Loudon County",43.7,111,5.3,38.4
TN-107,"McMinn County",44.0,111,5.3,38.7
TN-109,"McNairy County",44.4,108,5.6,38.8
TN-111,"Macon County",41.8,109,5.8,36
TN-113,"Madison County",43.7,112,6.0,37.7
TN-115,"Marion County",43.7,111,5.7,38
TN-117,"Marshall County",43.7,109,5.6,38.1
TN-119,"Maury County",43.9,112,6.2,37.7
TN-121,"Meigs County",44.0,112,5.4,38.6
TN-123,"Monroe County",43.0,108,4.9,38.1
TN-125,"Montgomery County",43.0,115,6.6,36.4
TN-127,"Moore County",44.0,110,5.5,38.5
TN-129,"Morgan County",41.7,114,6.2,35.5
TN-131,"Obion County",41.3,107,5.6,35.7
TN-133,"Overton County",42.5,115,6.7,35.8
TN-135,"Perry County",43.9,109,6.0,37.9
TN-137,"Pickett County",42.4,115,6.9,35.5
TN-139,"Polk County",43.3,106,4.6,38.7
TN-141,"Putnam County",42.3,111,6.0,36.3
TN-143,"Rhea County",43.1,113,5.6,37.5
TN-145,"Roane County",43.4,112,5.5,37.9
TN-147,"Robertson County",42.3,110,6.2,36.1
TN-149,"Rutherford County",43.6,109,5.6,38
TN-151,"Scott County",40.7,113,6.1,34.6
TN-153,"Sequatchie County",42.5,112,5.9,36.6
TN-155,"Sevier County",41.7,111,5.1,36.6
TN-157,"Shelby County",45.3,114,5.7,39.6
TN-159,"Smith County",43.0,109,5.7,37.3
TN-161,"Stewart County",42.3,109,5.8,36.5
TN-163,"Sullivan County",42.2,116,6.3,35.9
TN-165,"Sumner County",42.5,109,6.1,36.4
TN-167,"Tipton County",44.2,112,5.6,38.6
TN-169,"Trousdale County",42.9,109,5.9,37
TN-171,"Unicoi County",39.6,110,5.2,34.4
TN-173,"Union County",41.4,110,5.0,36.4
TN-175,"Van Buren County",42.1,113,5.9,36.2
TN-177,"Warren County",43.3,112,6.0,37.3
TN-179,"Washington County",42.6,112,5.9,36.7
TN-181,"Wayne County",44.6,115,6.5,38.1
TN-183,"Weakley County",41.3,104,5.1,36.2
TN-185,"White County",42.4,111,5.8,36.6
TN-187,"Williamson County",43.4,109,6.0,37.4
TN-189,"Wilson County",43.4,110,5.9,37.5
