January 2020 West Virginia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",37.2,119,7.4,29.8
WV-003,"Berkeley County",37.2,115,7.3,29.9
WV-005,"Boone County",39.8,114,6.5,33.3
WV-007,"Braxton County",39.6,118,7.7,31.9
WV-009,"Brooke County",35.2,115,7.0,28.2
WV-011,"Cabell County",39.8,113,6.5,33.3
WV-013,"Calhoun County",38.8,117,7.5,31.3
WV-015,"Clay County",39.3,112,6.7,32.6
WV-017,"Doddridge County",38.1,116,7.7,30.4
WV-019,"Fayette County",36.9,111,5.6,31.3
WV-021,"Gilmer County",39.1,119,7.9,31.2
WV-023,"Grant County",35.4,115,6.6,28.8
WV-025,"Greenbrier County",35.1,113,6.0,29.1
WV-027,"Hampshire County",36.2,114,6.5,29.7
WV-029,"Hancock County",34.1,112,6.4,27.7
WV-031,"Hardy County",36.1,116,6.7,29.4
WV-033,"Harrison County",38.1,117,7.7,30.4
WV-035,"Jackson County",39.6,120,7.6,32
WV-037,"Jefferson County",37.5,116,7.0,30.5
WV-039,"Kanawha County",39.6,111,6.3,33.3
WV-041,"Lewis County",38.8,117,7.6,31.2
WV-043,"Lincoln County",40.9,116,6.9,34
WV-045,"Logan County",40.4,115,6.4,34
WV-047,"McDowell County",38.7,110,5.5,33.2
WV-049,"Marion County",36.9,114,7.0,29.9
WV-051,"Marshall County",35.4,112,6.5,28.9
WV-053,"Mason County",38.6,110,6.3,32.3
WV-055,"Mercer County",36.7,107,4.8,31.9
WV-057,"Mineral County",36.0,111,6.0,30
WV-059,"Mingo County",41.0,115,6.5,34.5
WV-061,"Monongalia County",36.1,114,6.8,29.3
WV-063,"Monroe County",37.1,112,5.7,31.4
WV-065,"Morgan County",36.8,116,7.2,29.6
WV-067,"Nicholas County",37.2,116,6.8,30.4
WV-069,"Ohio County",35.1,114,6.8,28.3
WV-071,"Pendleton County",35.2,115,6.6,28.6
WV-073,"Pleasants County",37.6,116,7.6,30
WV-075,"Pocahontas County",32.2,112,5.7,26.5
WV-077,"Preston County",34.6,116,7.1,27.5
WV-079,"Putnam County",39.7,112,6.6,33.1
WV-081,"Raleigh County",36.8,110,5.5,31.3
WV-083,"Randolph County",33.4,114,6.7,26.7
WV-085,"Ritchie County",38.1,118,7.6,30.5
WV-087,"Roane County",39.2,118,7.2,32
WV-089,"Summers County",37.5,110,5.6,31.9
WV-091,"Taylor County",37.4,116,7.2,30.2
WV-093,"Tucker County",33.4,115,7.0,26.4
WV-095,"Tyler County",37.5,116,7.5,30
WV-097,"Upshur County",37.5,117,7.5,30
WV-099,"Wayne County",40.7,113,6.9,33.8
WV-101,"Webster County",35.9,114,6.8,29.1
WV-103,"Wetzel County",36.6,114,7.1,29.5
WV-105,"Wirt County",38.6,117,7.6,31
WV-107,"Wood County",38.7,117,7.9,30.8
WV-109,"Wyoming County",38.1,109,5.4,32.7
