January 2020 Colorado County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-001,"Adams County",32.5,116,5.9,26.6
CO-003,"Alamosa County",18.5,56,0.1,18.4
CO-005,"Arapahoe County",32.5,113,5.4,27.1
CO-007,"Archuleta County",24.3,89,2.5,21.8
CO-009,"Baca County",35.6,104,4.3,31.3
CO-011,"Bent County",35.4,116,6.0,29.4
CO-013,"Boulder County",29.8,106,4.4,25.4
CO-014,"Broomfield County",35.0,112,5.4,29.6
CO-015,"Chaffee County",20.3,82,1.3,19
CO-017,"Cheyenne County",34.2,122,6.7,27.5
CO-019,"Clear Creek County",22.5,101,3.2,19.3
CO-021,"Conejos County",19.3,67,0.8,18.5
CO-023,"Costilla County",23.1,86,2.2,20.9
CO-025,"Crowley County",33.0,106,4.8,28.2
CO-027,"Custer County",25.1,91,2.3,22.8
CO-029,"Delta County",25.5,83,2.6,22.9
CO-031,"Denver County",34.7,111,5.4,29.3
CO-033,"Dolores County",25.4,91,2.3,23.1
CO-035,"Douglas County",31.7,100,3.6,28.1
CO-037,"Eagle County",21.2,97,2.5,18.7
CO-039,"Elbert County",31.1,110,4.8,26.3
CO-041,"El Paso County",32.1,106,4.2,27.9
CO-043,"Fremont County",28.7,91,2.3,26.4
CO-045,"Garfield County",23.3,75,1.6,21.7
CO-047,"Gilpin County",25.2,105,3.7,21.5
CO-049,"Grand County",19.4,102,3.0,16.4
CO-051,"Gunnison County",17.6,76,1.1,16.5
CO-053,"Hinsdale County",19.4,98,2.5,16.9
CO-055,"Huerfano County",30.9,95,3.0,27.9
CO-057,"Jackson County",18.8,99,2.6,16.2
CO-059,"Jefferson County",31.7,103,3.7,28
CO-061,"Kiowa County",34.3,117,6.2,28.1
CO-063,"Kit Carson County",34.2,121,6.9,27.3
CO-065,"Lake County",17.3,86,1.6,15.7
CO-067,"La Plata County",26.1,90,2.5,23.6
CO-069,"Larimer County",26.9,105,4.4,22.5
CO-071,"Las Animas County",34.4,96,3.5,30.9
CO-073,"Lincoln County",32.3,112,5.3,27
CO-075,"Logan County",32.7,119,6.8,25.9
CO-077,"Mesa County",25.4,72,2.2,23.2
CO-079,"Mineral County",19.2,88,2.6,16.6
CO-081,"Moffat County",22.3,90,2.5,19.8
CO-083,"Montezuma County",29.4,95,3.1,26.3
CO-085,"Montrose County",26.3,80,2.4,23.9
CO-087,"Morgan County",32.2,120,7.9,24.3
CO-089,"Otero County",35.4,113,5.1,30.3
CO-091,"Ouray County",22.7,83,1.9,20.8
CO-093,"Park County",21.6,92,2.1,19.5
CO-095,"Phillips County",31.9,117,6.5,25.4
CO-097,"Pitkin County",20.4,90,2.2,18.2
CO-099,"Prowers County",35.6,120,6.1,29.5
CO-101,"Pueblo County",35.0,101,4.1,30.9
CO-103,"Rio Blanco County",22.8,81,1.8,21
CO-105,"Rio Grande County",17.0,57,-0.0,17
CO-107,"Routt County",21.1,100,3.1,18
CO-109,"Saguache County",18.0,63,0.4,17.6
CO-111,"San Juan County",20.5,97,2.4,18.1
CO-113,"San Miguel County",25.8,86,2.2,23.6
CO-115,"Sedgwick County",31.3,112,5.9,25.4
CO-117,"Summit County",18.9,97,2.8,16.1
CO-119,"Teller County",24.2,90,2.2,22
CO-121,"Washington County",32.5,116,6.7,25.8
CO-123,"Weld County",32.2,119,6.8,25.4
CO-125,"Yuma County",33.4,120,6.9,26.5
