January 2020 Georgia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",54.6,110,4.8,49.8
GA-003,"Atkinson County",54.3,106,4.3,50
GA-005,"Bacon County",54.8,109,4.7,50.1
GA-007,"Baker County",54.0,105,4.3,49.7
GA-009,"Baldwin County",51.3,115,6.0,45.3
GA-011,"Banks County",47.0,114,5.1,41.9
GA-013,"Barrow County",47.3,114,5.4,41.9
GA-015,"Bartow County",45.8,111,5.0,40.8
GA-017,"Ben Hill County",53.9,112,5.6,48.3
GA-019,"Berrien County",54.0,106,4.4,49.6
GA-021,"Bibb County",51.8,117,6.2,45.6
GA-023,"Bleckley County",53.1,116,6.1,47
GA-025,"Brantley County",55.9,112,5.0,50.9
GA-027,"Brooks County",54.8,104,4.2,50.6
GA-029,"Bryan County",55.6,111,5.6,50
GA-031,"Bulloch County",53.9,111,5.5,48.4
GA-033,"Burke County",53.0,117,6.9,46.1
GA-035,"Butts County",49.5,115,5.9,43.6
GA-037,"Calhoun County",53.3,104,4.2,49.1
GA-039,"Camden County",57.4,113,5.3,52.1
GA-043,"Candler County",53.6,111,5.4,48.2
GA-045,"Carroll County",47.5,114,6.1,41.4
GA-047,"Catoosa County",46.0,115,6.3,39.7
GA-049,"Charlton County",56.9,111,5.0,51.9
GA-051,"Chatham County",56.3,112,6.2,50.1
GA-053,"Chattahoochee County",51.2,107,4.4,46.8
GA-055,"Chattooga County",46.1,113,5.7,40.4
GA-057,"Cherokee County",45.5,111,5.1,40.4
GA-059,"Clarke County",47.4,113,5.1,42.3
GA-061,"Clay County",52.7,104,4.0,48.7
GA-063,"Clayton County",48.2,114,5.6,42.6
GA-065,"Clinch County",54.7,103,3.5,51.2
GA-067,"Cobb County",47.0,114,5.9,41.1
GA-069,"Coffee County",54.2,108,4.9,49.3
GA-071,"Colquitt County",54.0,105,4.3,49.7
GA-073,"Columbia County",51.6,118,6.8,44.8
GA-075,"Cook County",54.0,105,4.2,49.8
GA-077,"Coweta County",48.6,115,5.9,42.7
GA-079,"Crawford County",51.5,114,6.0,45.5
GA-081,"Crisp County",53.3,112,5.9,47.4
GA-083,"Dade County",45.0,114,6.1,38.9
GA-085,"Dawson County",44.6,112,4.9,39.7
GA-087,"Decatur County",55.4,106,4.7,50.7
GA-089,"DeKalb County",47.6,114,5.8,41.8
GA-091,"Dodge County",53.8,117,6.1,47.7
GA-093,"Dooly County",52.8,115,5.9,46.9
GA-095,"Dougherty County",53.8,107,4.6,49.2
GA-097,"Douglas County",47.5,115,6.1,41.4
GA-099,"Early County",54.1,106,4.5,49.6
GA-101,"Echols County",54.6,99,3.1,51.5
GA-103,"Effingham County",54.5,111,5.8,48.7
GA-105,"Elbert County",47.6,113,5.6,42
GA-107,"Emanuel County",53.2,114,5.8,47.4
GA-109,"Evans County",54.3,110,5.0,49.3
GA-111,"Fannin County",42.1,107,4.6,37.5
GA-113,"Fayette County",48.7,115,5.8,42.9
GA-115,"Floyd County",46.2,111,5.2,41
GA-117,"Forsyth County",45.7,112,5.1,40.6
GA-119,"Franklin County",46.8,113,4.8,42
GA-121,"Fulton County",47.4,114,5.9,41.5
GA-123,"Gilmer County",43.0,110,4.8,38.2
GA-125,"Glascock County",51.2,116,6.0,45.2
GA-127,"Glynn County",56.8,112,5.0,51.8
GA-129,"Gordon County",45.5,112,5.0,40.5
GA-131,"Grady County",55.2,106,4.5,50.7
GA-133,"Greene County",48.9,113,5.4,43.5
GA-135,"Gwinnett County",46.8,112,5.4,41.4
GA-137,"Habersham County",45.1,112,4.5,40.6
GA-139,"Hall County",46.2,113,5.1,41.1
GA-141,"Hancock County",50.5,115,5.8,44.7
GA-143,"Haralson County",47.0,115,6.2,40.8
GA-145,"Harris County",49.7,110,4.7,45
GA-147,"Hart County",47.2,114,5.5,41.7
GA-149,"Heard County",48.1,114,5.5,42.6
GA-151,"Henry County",48.7,115,5.5,43.2
GA-153,"Houston County",52.6,116,6.1,46.5
GA-155,"Irwin County",53.8,109,5.2,48.6
GA-157,"Jackson County",47.2,114,5.2,42
GA-159,"Jasper County",49.8,116,6.4,43.4
GA-161,"Jeff Davis County",54.0,111,5.0,49
GA-163,"Jefferson County",51.9,116,6.1,45.8
GA-165,"Jenkins County",53.4,116,6.8,46.6
GA-167,"Johnson County",52.6,115,5.7,46.9
GA-169,"Jones County",51.0,116,6.2,44.8
GA-171,"Lamar County",50.0,114,5.8,44.2
GA-173,"Lanier County",54.0,102,3.6,50.4
GA-175,"Laurens County",53.4,115,6.0,47.4
GA-177,"Lee County",53.3,109,5.0,48.3
GA-179,"Liberty County",55.8,111,5.3,50.5
GA-181,"Lincoln County",49.8,116,6.2,43.6
GA-183,"Long County",55.5,111,4.9,50.6
GA-185,"Lowndes County",54.3,102,3.5,50.8
GA-187,"Lumpkin County",44.1,111,5.0,39.1
GA-189,"McDuffie County",50.9,117,6.5,44.4
GA-191,"McIntosh County",56.5,112,5.2,51.3
GA-193,"Macon County",52.0,113,5.6,46.4
GA-195,"Madison County",46.8,113,4.9,41.9
GA-197,"Marion County",51.0,108,4.6,46.4
GA-199,"Meriwether County",49.3,113,5.4,43.9
GA-201,"Miller County",54.5,106,4.4,50.1
GA-205,"Mitchell County",54.2,105,4.3,49.9
GA-207,"Monroe County",50.5,115,6.0,44.5
GA-209,"Montgomery County",53.7,113,5.4,48.3
GA-211,"Morgan County",48.9,115,5.9,43
GA-213,"Murray County",44.6,112,5.1,39.5
GA-215,"Muscogee County",50.9,109,4.4,46.5
GA-217,"Newton County",48.6,115,5.8,42.8
GA-219,"Oconee County",47.8,113,5.2,42.6
GA-221,"Oglethorpe County",47.4,112,5.0,42.4
GA-223,"Paulding County",46.9,114,6.0,40.9
GA-225,"Peach County",52.0,116,6.0,46
GA-227,"Pickens County",44.3,110,4.7,39.6
GA-229,"Pierce County",55.5,110,4.9,50.6
GA-231,"Pike County",49.8,114,5.7,44.1
GA-233,"Polk County",47.2,118,6.1,41.1
