February 2020 Alabama County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",52.5,99,3.3,49.2
AL-003,"Baldwin County",57.0,100,3.4,53.6
AL-005,"Barbour County",52.7,88,2.1,50.6
AL-007,"Bibb County",49.7,89,2.4,47.3
AL-009,"Blount County",48.0,98,3.5,44.5
AL-011,"Bullock County",52.2,90,2.5,49.7
AL-013,"Butler County",53.8,101,3.3,50.5
AL-015,"Calhoun County",48.8,98,3.5,45.3
AL-017,"Chambers County",49.2,93,2.7,46.5
AL-019,"Cherokee County",47.7,95,3.3,44.4
AL-021,"Chilton County",50.4,94,2.8,47.6
AL-023,"Choctaw County",53.4,99,3.3,50.1
AL-025,"Clarke County",53.9,98,3.1,50.8
AL-027,"Clay County",48.7,97,3.0,45.7
AL-029,"Cleburne County",48.3,101,4.0,44.3
AL-031,"Coffee County",54.3,95,2.7,51.6
AL-033,"Colbert County",45.9,93,3.0,42.9
AL-035,"Conecuh County",55.2,104,3.5,51.7
AL-037,"Coosa County",50.0,94,2.6,47.4
AL-039,"Covington County",55.0,100,3.1,51.9
AL-041,"Crenshaw County",53.3,97,2.9,50.4
AL-043,"Cullman County",47.2,93,3.2,44
AL-045,"Dale County",54.3,91,2.4,51.9
AL-047,"Dallas County",52.6,95,2.9,49.7
AL-049,"DeKalb County",45.9,93,3.0,42.9
AL-051,"Elmore County",51.8,96,2.8,49
AL-053,"Escambia County",56.1,103,3.5,52.6
AL-055,"Etowah County",48.0,95,3.2,44.8
AL-057,"Fayette County",48.5,90,2.7,45.8
AL-059,"Franklin County",46.2,93,3.0,43.2
AL-061,"Geneva County",55.4,98,2.9,52.5
AL-063,"Greene County",50.6,90,2.4,48.2
AL-065,"Hale County",50.3,89,2.1,48.2
AL-067,"Henry County",54.1,89,2.4,51.7
AL-069,"Houston County",55.7,95,2.8,52.9
AL-071,"Jackson County",45.6,92,2.8,42.8
AL-073,"Jefferson County",48.8,91,2.8,46
AL-075,"Lamar County",48.3,88,2.4,45.9
AL-077,"Lauderdale County",45.4,94,3.0,42.4
AL-079,"Lawrence County",45.9,90,2.6,43.3
AL-081,"Lee County",50.6,92,2.4,48.2
AL-083,"Limestone County",46.1,96,3.2,42.9
AL-085,"Lowndes County",53.7,101,3.5,50.2
AL-087,"Macon County",51.8,92,2.4,49.4
AL-089,"Madison County",46.1,93,3.0,43.1
AL-091,"Marengo County",51.8,92,2.3,49.5
AL-093,"Marion County",46.9,87,2.6,44.3
AL-095,"Marshall County",47.2,95,3.2,44
AL-097,"Mobile County",56.4,98,3.2,53.2
AL-099,"Monroe County",54.8,103,3.6,51.2
AL-101,"Montgomery County",53.3,101,3.3,50
AL-103,"Morgan County",46.5,92,2.9,43.6
AL-105,"Perry County",50.7,90,2.2,48.5
AL-107,"Pickens County",49.9,89,2.8,47.1
AL-109,"Pike County",53.2,95,2.6,50.6
AL-111,"Randolph County",48.3,96,3.1,45.2
AL-113,"Russell County",51.9,90,2.3,49.6
AL-115,"St. Clair County",48.7,96,3.2,45.5
AL-117,"Shelby County",49.4,93,2.7,46.7
AL-119,"Sumter County",51.7,95,2.8,48.9
AL-121,"Talladega County",49.6,96,3.0,46.6
AL-123,"Tallapoosa County",49.7,90,2.4,47.3
AL-125,"Tuscaloosa County",49.8,91,2.7,47.1
AL-127,"Walker County",48.1,92,2.6,45.5
AL-129,"Washington County",54.7,98,3.1,51.6
AL-131,"Wilcox County",53.2,95,2.9,50.3
AL-133,"Winston County",46.2,87,2.4,43.8
