February 2020 Idaho County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-001,"Ada County",36.3,70,1.1,35.2
ID-003,"Adams County",27.1,58,-0.2,27.3
ID-005,"Bannock County",26.5,57,-0.2,26.7
ID-007,"Bear Lake County",19.3,42,-1.8,21.1
ID-009,"Benewah County",32.8,80,2.0,30.8
ID-011,"Bingham County",21.9,34,-3.1,25
ID-013,"Blaine County",23.4,52,-0.2,23.6
ID-015,"Boise County",26.8,56,-0.3,27.1
ID-017,"Bonner County",29.5,79,1.9,27.6
ID-019,"Bonneville County",19.9,29,-3.2,23.1
ID-021,"Boundary County",28.4,94,3.4,25
ID-023,"Butte County",17.6,29,-3.8,21.4
ID-025,"Camas County",24.1,66,0.7,23.4
ID-027,"Canyon County",36.9,73,1.3,35.6
ID-029,"Caribou County",21.9,39,-1.9,23.8
ID-031,"Cassia County",28.8,59,0.0,28.8
ID-033,"Clark County",17.4,34,-2.9,20.3
ID-035,"Clearwater County",29.4,66,0.6,28.8
ID-037,"Custer County",20.2,47,-0.9,21.1
ID-039,"Elmore County",30.7,70,1.0,29.7
ID-041,"Franklin County",24.3,49,-0.7,25
ID-043,"Fremont County",16.4,27,-3.6,20
ID-045,"Gem County",32.7,69,0.6,32.1
ID-047,"Gooding County",31.8,80,2.2,29.6
ID-049,"Idaho County",27.4,69,0.7,26.7
ID-051,"Jefferson County",16.8,27,-4.8,21.6
ID-053,"Jerome County",33.3,87,2.8,30.5
ID-055,"Kootenai County",32.7,86,2.7,30
ID-057,"Latah County",33.5,81,2.0,31.5
ID-059,"Lemhi County",20.8,42,-1.4,22.2
ID-061,"Lewis County",31.6,67,0.6,31
ID-063,"Lincoln County",29.0,80,2.3,26.7
ID-065,"Madison County",18.2,25,-4.2,22.4
ID-067,"Minidoka County",28.2,65,1.0,27.2
ID-069,"Nez Perce County",35.5,81,1.8,33.7
ID-071,"Oneida County",26.7,48,-0.8,27.5
ID-073,"Owyhee County",32.2,74,1.0,31.2
ID-075,"Payette County",35.6,74,1.9,33.7
ID-077,"Power County",26.6,45,-0.8,27.4
ID-079,"Shoshone County",28.8,77,1.2,27.6
ID-081,"Teton County",18.3,34,-2.6,20.9
ID-083,"Twin Falls County",31.5,66,0.6,30.9
ID-085,"Valley County",23.0,51,-0.5,23.5
ID-087,"Washington County",31.9,72,1.3,30.6
