February 2020 Illinois County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",31.3,83,1.7,29.6
IL-003,"Alexander County",39.8,84,2.8,37
IL-005,"Bond County",35.6,89,3.0,32.6
IL-007,"Boone County",26.0,90,3.1,22.9
IL-009,"Brown County",31.5,85,2.0,29.5
IL-011,"Bureau County",28.4,93,3.4,25
IL-013,"Calhoun County",33.2,74,1.0,32.2
IL-015,"Carroll County",26.8,94,3.8,23
IL-017,"Cass County",31.8,86,2.2,29.6
IL-019,"Champaign County",31.2,89,2.8,28.4
IL-021,"Christian County",32.8,86,2.4,30.4
IL-023,"Clark County",33.9,87,2.9,31
IL-025,"Clay County",36.1,93,3.4,32.7
IL-027,"Clinton County",36.7,91,3.4,33.3
IL-029,"Coles County",33.0,87,2.7,30.3
IL-031,"Cook County",29.1,94,3.3,25.8
IL-033,"Crawford County",35.4,88,3.2,32.2
IL-035,"Cumberland County",33.8,86,2.6,31.2
IL-037,"DeKalb County",26.4,87,2.6,23.8
IL-039,"De Witt County",30.8,89,2.7,28.1
IL-041,"Douglas County",32.7,90,3.3,29.4
IL-043,"DuPage County",28.3,93,3.2,25.1
IL-045,"Edgar County",32.6,87,2.7,29.9
IL-047,"Edwards County",37.4,90,3.3,34.1
IL-049,"Effingham County",34.5,89,2.9,31.6
IL-051,"Fayette County",35.1,90,3.1,32
IL-053,"Ford County",30.2,93,3.0,27.2
IL-055,"Franklin County",37.9,88,3.1,34.8
IL-057,"Fulton County",30.3,85,2.1,28.2
IL-059,"Gallatin County",38.0,81,2.3,35.7
IL-061,"Greene County",32.9,77,1.1,31.8
IL-063,"Grundy County",29.2,95,3.4,25.8
IL-065,"Hamilton County",37.8,88,3.2,34.6
IL-067,"Hancock County",30.6,85,2.1,28.5
IL-069,"Hardin County",38.7,84,2.5,36.2
IL-071,"Henderson County",29.3,85,2.1,27.2
IL-073,"Henry County",28.4,92,3.3,25.1
IL-075,"Iroquois County",30.6,94,3.5,27.1
IL-077,"Jackson County",38.0,83,2.8,35.2
IL-079,"Jasper County",35.0,87,3.0,32
IL-081,"Jefferson County",37.4,93,3.4,34
IL-083,"Jersey County",34.2,84,1.7,32.5
IL-085,"Jo Daviess County",24.8,83,2.5,22.3
IL-087,"Johnson County",38.8,83,2.7,36.1
IL-089,"Kane County",27.3,93,3.1,24.2
IL-091,"Kankakee County",30.0,96,3.6,26.4
IL-093,"Kendall County",28.1,91,2.8,25.3
IL-095,"Knox County",28.8,89,2.5,26.3
IL-097,"Lake County",27.9,97,3.8,24.1
IL-099,"LaSalle County",28.6,94,3.2,25.4
IL-101,"Lawrence County",36.9,92,3.6,33.3
IL-103,"Lee County",27.4,93,3.5,23.9
IL-105,"Livingston County",29.2,91,2.8,26.4
IL-107,"Logan County",31.1,85,2.3,28.8
IL-109,"McDonough County",30.1,86,2.2,27.9
IL-111,"McHenry County",26.9,97,3.9,23
IL-113,"McLean County",30.1,92,3.0,27.1
IL-115,"Macon County",31.6,85,2.3,29.3
IL-117,"Macoupin County",33.6,85,2.1,31.5
IL-119,"Madison County",35.4,84,2.1,33.3
IL-121,"Marion County",36.4,93,3.4,33
IL-123,"Marshall County",29.3,92,3.1,26.2
IL-125,"Mason County",31.1,83,2.0,29.1
IL-127,"Massac County",39.8,87,2.9,36.9
IL-129,"Menard County",31.2,83,1.8,29.4
IL-131,"Mercer County",28.4,87,2.4,26
IL-133,"Monroe County",37.4,85,2.5,34.9
IL-135,"Montgomery County",33.9,86,2.5,31.4
IL-137,"Morgan County",32.2,86,2.2,30
IL-139,"Moultrie County",32.4,85,2.5,29.9
IL-141,"Ogle County",26.6,93,3.4,23.2
IL-143,"Peoria County",29.7,90,2.7,27
IL-145,"Perry County",37.4,87,2.9,34.5
IL-147,"Piatt County",31.5,89,2.9,28.6
IL-149,"Pike County",32.0,78,1.3,30.7
IL-151,"Pope County",38.8,83,2.6,36.2
IL-153,"Pulaski County",39.9,85,2.9,37
IL-155,"Putnam County",29.1,92,3.1,26
IL-157,"Randolph County",37.3,83,2.5,34.8
IL-159,"Richland County",36.6,90,3.5,33.1
IL-161,"Rock Island County",28.4,90,3.2,25.2
IL-163,"St. Clair County",36.4,82,2.2,34.2
IL-165,"Saline County",38.1,83,2.7,35.4
IL-167,"Sangamon County",32.0,85,2.1,29.9
IL-169,"Schuyler County",31.3,88,2.3,29
IL-171,"Scott County",32.4,80,1.7,30.7
IL-173,"Shelby County",33.1,85,2.3,30.8
IL-175,"Stark County",29.0,93,3.4,25.6
IL-177,"Stephenson County",24.5,84,2.3,22.2
IL-179,"Tazewell County",30.5,89,2.8,27.7
IL-181,"Union County",38.9,84,2.9,36
IL-183,"Vermilion County",30.6,79,1.8,28.8
IL-185,"Wabash County",37.5,94,3.4,34.1
IL-187,"Warren County",28.8,85,2.1,26.7
IL-189,"Washington County",37.0,91,3.2,33.8
IL-191,"Wayne County",37.3,93,3.5,33.8
IL-193,"White County",37.5,84,2.6,34.9
IL-195,"Whiteside County",28.1,95,3.9,24.2
IL-197,"Will County",29.0,92,3.0,26
IL-199,"Williamson County",38.1,84,2.8,35.3
IL-201,"Winnebago County",25.6,86,2.8,22.8
IL-203,"Woodford County",29.7,92,3.2,26.5
