February 2020 Indiana County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",30.9,94,4.1,26.8
IN-003,"Allen County",30.3,95,4.1,26.2
IN-005,"Bartholomew County",35.6,92,3.9,31.7
IN-007,"Benton County",29.8,86,2.7,27.1
IN-009,"Blackford County",31.8,92,3.9,27.9
IN-011,"Boone County",31.5,91,3.3,28.2
IN-013,"Brown County",34.9,92,3.9,31
IN-015,"Carroll County",30.5,87,2.8,27.7
IN-017,"Cass County",30.4,91,3.3,27.1
IN-019,"Clark County",37.2,88,3.2,34
IN-021,"Clay County",34.2,93,3.7,30.5
IN-023,"Clinton County",30.8,89,3.0,27.8
IN-025,"Crawford County",37.3,86,3.1,34.2
IN-027,"Daviess County",36.2,91,3.6,32.6
IN-029,"Dearborn County",35.2,88,3.4,31.8
IN-031,"Decatur County",34.6,90,3.5,31.1
IN-033,"DeKalb County",29.4,96,4.3,25.1
IN-035,"Delaware County",32.7,94,4.4,28.3
IN-037,"Dubois County",37.0,88,3.5,33.5
IN-039,"Elkhart County",28.8,95,3.9,24.9
IN-041,"Fayette County",33.1,91,3.7,29.4
IN-043,"Floyd County",37.6,91,3.4,34.2
IN-045,"Fountain County",31.1,84,2.4,28.7
IN-047,"Franklin County",34.0,89,3.4,30.6
IN-049,"Fulton County",29.8,94,3.9,25.9
IN-051,"Gibson County",37.4,85,3.1,34.3
IN-053,"Grant County",31.3,91,3.3,28
IN-055,"Greene County",35.5,96,4.2,31.3
IN-057,"Hamilton County",31.9,89,3.1,28.8
IN-059,"Hancock County",32.8,88,3.4,29.4
IN-061,"Harrison County",37.8,90,3.3,34.5
IN-063,"Hendricks County",32.3,90,3.1,29.2
IN-065,"Henry County",32.4,92,4.0,28.4
IN-067,"Howard County",30.7,90,3.0,27.7
IN-069,"Huntington County",30.8,92,3.7,27.1
IN-071,"Jackson County",36.1,89,3.6,32.5
IN-073,"Jasper County",29.4,91,3.0,26.4
IN-075,"Jay County",31.6,92,4.0,27.6
IN-077,"Jefferson County",36.5,89,3.5,33
IN-079,"Jennings County",35.6,88,3.2,32.4
IN-081,"Johnson County",33.9,90,3.6,30.3
IN-083,"Knox County",36.6,91,3.6,33
IN-085,"Kosciusko County",29.8,95,4.2,25.6
IN-087,"LaGrange County",28.8,95,4.2,24.6
IN-089,"Lake County",29.3,93,3.1,26.2
IN-091,"LaPorte County",28.9,95,3.3,25.6
IN-093,"Lawrence County",35.8,92,3.8,32
IN-095,"Madison County",32.4,90,3.7,28.7
IN-097,"Marion County",32.6,88,2.9,29.7
IN-099,"Marshall County",29.6,97,4.5,25.1
IN-101,"Martin County",36.2,94,3.9,32.3
IN-103,"Miami County",30.5,92,3.3,27.2
IN-105,"Monroe County",34.7,94,3.9,30.8
IN-107,"Montgomery County",31.5,91,3.2,28.3
IN-109,"Morgan County",33.9,91,3.6,30.3
IN-111,"Newton County",30.1,95,3.5,26.6
IN-113,"Noble County",29.3,96,4.3,25
IN-115,"Ohio County",36.4,91,3.7,32.7
IN-117,"Orange County",36.7,88,3.7,33
IN-119,"Owen County",34.6,95,4.1,30.5
IN-121,"Parke County",31.8,84,2.2,29.6
IN-123,"Perry County",37.6,81,2.3,35.3
IN-125,"Pike County",36.9,88,3.4,33.5
IN-127,"Porter County",29.0,93,3.1,25.9
IN-129,"Posey County",37.3,78,1.8,35.5
IN-131,"Pulaski County",29.6,93,3.5,26.1
IN-133,"Putnam County",32.5,89,3.0,29.5
IN-135,"Randolph County",31.9,94,4.1,27.8
IN-137,"Ripley County",34.9,88,3.3,31.6
IN-139,"Rush County",33.5,90,3.8,29.7
IN-141,"St. Joseph County",29.0,96,3.9,25.1
IN-143,"Scott County",36.4,87,3.3,33.1
IN-145,"Shelby County",34.4,93,3.9,30.5
IN-147,"Spencer County",37.6,79,2.0,35.6
IN-149,"Starke County",29.6,96,4.0,25.6
IN-151,"Steuben County",28.9,100,4.6,24.3
IN-153,"Sullivan County",35.5,95,3.8,31.7
IN-155,"Switzerland County",37.0,91,3.8,33.2
IN-157,"Tippecanoe County",30.8,88,2.9,27.9
IN-159,"Tipton County",31.1,90,3.1,28
IN-161,"Union County",33.1,90,3.5,29.6
IN-163,"Vanderburgh County",37.3,79,1.9,35.4
IN-165,"Vermillion County",31.9,84,2.2,29.7
IN-167,"Vigo County",34.1,92,3.3,30.8
IN-169,"Wabash County",30.7,92,3.5,27.2
IN-171,"Warren County",30.2,81,2.1,28.1
IN-173,"Warrick County",37.3,80,2.5,34.8
IN-175,"Washington County",36.3,88,3.4,32.9
IN-177,"Wayne County",32.2,91,3.7,28.5
IN-179,"Wells County",31.0,93,3.9,27.1
IN-181,"White County",29.9,87,2.9,27
IN-183,"Whitley County",30.3,96,4.3,26
