February 2020 Kentucky County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",41.3,100,4.4,36.9
KY-003,"Allen County",41.7,89,3.0,38.7
KY-005,"Anderson County",37.9,87,3.0,34.9
KY-007,"Ballard County",40.3,89,2.9,37.4
KY-009,"Barren County",40.9,87,2.9,38
KY-011,"Bath County",37.8,83,2.4,35.4
KY-013,"Bell County",41.2,96,3.9,37.3
KY-015,"Boone County",36.2,88,3.5,32.7
KY-017,"Bourbon County",37.4,87,3.0,34.4
KY-019,"Boyd County",38.5,89,3.2,35.3
KY-021,"Boyle County",38.2,86,2.6,35.6
KY-023,"Bracken County",36.6,86,3.1,33.5
KY-025,"Breathitt County",42.0,103,4.6,37.4
KY-027,"Breckinridge County",38.6,89,2.8,35.8
KY-029,"Bullitt County",38.4,86,2.8,35.6
KY-031,"Butler County",41.0,92,3.4,37.6
KY-033,"Caldwell County",39.6,79,2.0,37.6
KY-035,"Calloway County",41.1,84,2.1,39
KY-037,"Campbell County",36.4,86,3.3,33.1
KY-039,"Carlisle County",40.5,88,2.6,37.9
KY-041,"Carroll County",37.7,92,3.8,33.9
KY-043,"Carter County",37.7,87,3.0,34.7
KY-045,"Casey County",39.8,94,3.7,36.1
KY-047,"Christian County",41.8,92,3.4,38.4
KY-049,"Clark County",38.1,88,2.9,35.2
KY-051,"Clay County",42.2,105,4.6,37.6
KY-053,"Clinton County",42.4,100,4.5,37.9
KY-055,"Crittenden County",39.2,82,2.4,36.8
KY-057,"Cumberland County",42.6,99,4.2,38.4
KY-059,"Daviess County",38.4,78,1.9,36.5
KY-061,"Edmonson County",40.6,91,3.1,37.5
KY-063,"Elliott County",38.4,89,3.1,35.3
KY-065,"Estill County",39.7,90,3.0,36.7
KY-067,"Fayette County",37.4,85,2.8,34.6
KY-069,"Fleming County",37.0,83,2.4,34.6
KY-071,"Floyd County",41.7,101,4.0,37.7
KY-073,"Franklin County",37.9,91,3.2,34.7
KY-075,"Fulton County",41.0,82,2.3,38.7
KY-077,"Gallatin County",37.5,91,3.9,33.6
KY-079,"Garrard County",38.6,86,2.6,36
KY-081,"Grant County",37.1,91,3.6,33.5
KY-083,"Graves County",40.6,81,2.3,38.3
KY-085,"Grayson County",39.7,93,3.3,36.4
KY-087,"Green County",40.4,92,3.6,36.8
KY-089,"Greenup County",37.5,90,3.3,34.2
KY-091,"Hancock County",38.2,78,2.0,36.2
KY-093,"Hardin County",38.6,90,2.9,35.7
KY-095,"Harlan County",39.2,89,3.1,36.1
KY-097,"Harrison County",37.3,90,3.3,34
KY-099,"Hart County",40.0,89,3.1,36.9
KY-101,"Henderson County",37.8,76,1.5,36.3
KY-103,"Henry County",37.5,91,3.5,34
KY-105,"Hickman County",40.7,83,2.4,38.3
KY-107,"Hopkins County",40.1,86,2.6,37.5
KY-109,"Jackson County",40.0,96,3.5,36.5
KY-111,"Jefferson County",38.3,91,3.1,35.2
KY-113,"Jessamine County",37.9,83,2.7,35.2
KY-115,"Johnson County",40.6,100,4.0,36.6
KY-117,"Kenton County",36.2,87,3.4,32.8
KY-119,"Knott County",41.4,100,4.1,37.3
KY-121,"Knox County",42.7,108,4.8,37.9
KY-123,"Larue County",38.9,88,2.9,36
KY-125,"Laurel County",41.3,100,4.0,37.3
KY-127,"Lawrence County",39.4,95,3.4,36
KY-129,"Lee County",41.0,97,3.7,37.3
KY-131,"Leslie County",41.7,102,4.4,37.3
KY-133,"Letcher County",40.0,94,3.2,36.8
KY-135,"Lewis County",36.8,86,2.7,34.1
KY-137,"Lincoln County",39.0,90,3.0,36
KY-139,"Livingston County",39.7,85,2.6,37.1
KY-141,"Logan County",41.7,94,3.4,38.3
KY-143,"Lyon County",39.9,79,1.9,38
KY-145,"McCracken County",40.4,91,3.0,37.4
KY-147,"McCreary County",41.7,100,4.2,37.5
KY-149,"McLean County",39.4,83,2.4,37
KY-151,"Madison County",38.8,86,2.7,36.1
KY-153,"Magoffin County",41.1,100,4.4,36.7
KY-155,"Marion County",38.9,86,2.9,36
KY-157,"Marshall County",40.5,83,2.2,38.3
KY-159,"Martin County",40.7,99,3.5,37.2
KY-161,"Mason County",36.5,84,2.8,33.7
KY-163,"Meade County",38.0,85,2.8,35.2
KY-165,"Menifee County",38.6,86,2.7,35.9
KY-167,"Mercer County",38.0,85,2.6,35.4
KY-169,"Metcalfe County",40.7,92,3.4,37.3
KY-171,"Monroe County",41.5,92,3.1,38.4
KY-173,"Montgomery County",38.1,87,3.0,35.1
KY-175,"Morgan County",39.4,93,3.4,36
KY-177,"Muhlenberg County",40.8,89,3.1,37.7
KY-179,"Nelson County",38.4,87,2.7,35.7
KY-181,"Nicholas County",37.2,86,2.9,34.3
KY-183,"Ohio County",39.9,91,3.0,36.9
KY-185,"Oldham County",37.3,88,3.1,34.2
KY-187,"Owen County",37.6,93,3.6,34
KY-189,"Owsley County",41.8,103,4.2,37.6
KY-191,"Pendleton County",37.0,89,3.4,33.6
KY-193,"Perry County",41.6,99,4.1,37.5
KY-195,"Pike County",41.6,99,3.9,37.7
KY-197,"Powell County",39.3,89,3.0,36.3
KY-199,"Pulaski County",41.2,100,4.1,37.1
KY-201,"Robertson County",36.9,88,3.0,33.9
KY-203,"Rockcastle County",39.8,92,3.3,36.5
KY-205,"Rowan County",37.2,79,2.0,35.2
KY-207,"Russell County",41.6,100,4.5,37.1
KY-209,"Scott County",37.3,88,3.1,34.2
KY-211,"Shelby County",37.4,89,3.2,34.2
KY-213,"Simpson County",41.9,95,3.4,38.5
KY-215,"Spencer County",38.0,88,3.0,35
KY-217,"Taylor County",39.9,93,3.5,36.4
KY-219,"Todd County",42.0,95,3.6,38.4
KY-221,"Trigg County",41.4,86,2.7,38.7
KY-223,"Trimble County",37.3,92,3.6,33.7
KY-225,"Union County",38.3,78,1.9,36.4
KY-227,"Warren County",41.6,93,3.4,38.2
KY-229,"Washington County",38.2,85,2.6,35.6
KY-231,"Wayne County",41.9,100,4.4,37.5
KY-233,"Webster County",39.1,81,2.3,36.8
KY-235,"Whitley County",42.3,102,4.3,38
KY-237,"Wolfe County",40.3,95,3.7,36.6
KY-239,"Woodford County",37.7,86,2.8,34.9
