February 2020 Massachusetts County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MA-001,"Barnstable County",37.1,122,7.7,29.4
MA-003,"Berkshire County",28.3,117,7.0,21.3
MA-005,"Bristol County",35.8,122,7.3,28.5
MA-007,"Dukes County",37.4,121,7.6,29.8
MA-009,"Essex County",32.9,118,7.1,25.8
MA-011,"Franklin County",30.1,120,7.9,22.2
MA-013,"Hampden County",31.8,117,7.5,24.3
MA-015,"Hampshire County",30.8,117,7.4,23.4
MA-017,"Middlesex County",33.0,120,7.6,25.4
MA-019,"Nantucket County",38.1,124,8.1,30
MA-021,"Norfolk County",34.6,121,7.7,26.9
MA-023,"Plymouth County",35.7,120,7.3,28.4
MA-025,"Suffolk County",35.1,122,7.9,27.2
MA-027,"Worcester County",31.6,121,7.7,23.9
