February 2020 Mississippi County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",51.8,69,0.3,51.5
MS-003,"Alcorn County",43.2,73,0.6,42.6
MS-005,"Amite County",53.8,91,2.3,51.5
MS-007,"Attala County",48.9,80,1.9,47
MS-009,"Benton County",44.4,79,1.5,42.9
MS-011,"Bolivar County",47.3,75,1.2,46.1
MS-013,"Calhoun County",47.6,82,1.8,45.8
MS-015,"Carroll County",48.7,81,2.0,46.7
MS-017,"Chickasaw County",48.2,88,2.3,45.9
MS-019,"Choctaw County",48.1,82,1.8,46.3
MS-021,"Claiborne County",52.4,89,2.0,50.4
MS-023,"Clarke County",53.8,103,4.0,49.8
MS-025,"Clay County",49.2,91,2.7,46.5
MS-027,"Coahoma County",47.2,84,2.2,45
MS-029,"Copiah County",52.6,89,2.3,50.3
MS-031,"Covington County",53.9,96,3.3,50.6
MS-033,"DeSoto County",45.3,78,1.4,43.9
MS-035,"Forrest County",55.0,96,3.2,51.8
MS-037,"Franklin County",52.5,83,1.4,51.1
MS-039,"George County",55.4,94,2.7,52.7
MS-041,"Greene County",55.2,97,3.3,51.9
MS-043,"Grenada County",48.0,80,1.7,46.3
MS-045,"Hancock County",56.2,95,2.7,53.5
MS-047,"Harrison County",55.0,89,1.6,53.4
MS-049,"Hinds County",52.2,91,2.5,49.7
MS-051,"Holmes County",50.0,86,2.2,47.8
MS-053,"Humphreys County",50.1,84,2.1,48
MS-055,"Issaquena County",50.3,78,1.7,48.6
MS-057,"Itawamba County",47.3,91,2.7,44.6
MS-059,"Jackson County",55.9,93,2.5,53.4
MS-061,"Jasper County",53.7,105,4.1,49.6
MS-063,"Jefferson County",52.0,76,1.2,50.8
MS-065,"Jefferson Davis County",53.8,95,2.9,50.9
MS-067,"Jones County",54.6,101,3.8,50.8
MS-069,"Kemper County",51.2,98,3.2,48
MS-071,"Lafayette County",46.2,77,1.3,44.9
MS-073,"Lamar County",54.8,96,3.0,51.8
MS-075,"Lauderdale County",52.9,105,4.1,48.8
MS-077,"Lawrence County",53.6,94,2.5,51.1
MS-079,"Leake County",50.7,93,2.9,47.8
MS-081,"Lee County",47.4,91,2.5,44.9
MS-083,"Leflore County",49.5,86,2.4,47.1
MS-085,"Lincoln County",53.0,90,2.3,50.7
MS-087,"Lowndes County",49.8,91,2.9,46.9
MS-089,"Madison County",51.6,90,2.5,49.1
MS-091,"Marion County",54.8,96,2.8,52
MS-093,"Marshall County",45.0,79,1.5,43.5
MS-095,"Monroe County",48.4,87,2.4,46
MS-097,"Montgomery County",47.2,71,0.8,46.4
MS-099,"Neshoba County",50.8,98,3.2,47.6
MS-101,"Newton County",52.5,103,4.0,48.5
MS-103,"Noxubee County",50.4,95,3.1,47.3
MS-105,"Oktibbeha County",49.6,92,2.9,46.7
MS-107,"Panola County",46.7,81,1.6,45.1
MS-109,"Pearl River County",55.8,98,3.3,52.5
MS-111,"Perry County",55.2,97,3.3,51.9
MS-113,"Pike County",54.4,94,3.0,51.4
MS-115,"Pontotoc County",47.3,89,2.3,45
MS-117,"Prentiss County",44.8,75,1.4,43.4
MS-119,"Quitman County",47.4,84,2.1,45.3
MS-121,"Rankin County",52.2,95,2.9,49.3
MS-123,"Scott County",51.8,100,3.3,48.5
MS-125,"Sharkey County",50.1,81,1.7,48.4
MS-127,"Simpson County",52.8,95,2.9,49.9
MS-129,"Smith County",53.1,100,3.6,49.5
MS-131,"Stone County",54.8,91,2.2,52.6
MS-133,"Sunflower County",48.5,80,1.7,46.8
MS-135,"Tallahatchie County",48.1,83,2.0,46.1
MS-137,"Tate County",45.9,79,1.4,44.5
MS-139,"Tippah County",44.0,74,1.1,42.9
MS-141,"Tishomingo County",44.6,78,1.7,42.9
MS-143,"Tunica County",46.7,84,2.1,44.6
MS-145,"Union County",46.0,80,1.9,44.1
MS-147,"Walthall County",54.7,95,3.0,51.7
MS-149,"Warren County",52.0,89,2.4,49.6
MS-151,"Washington County",48.8,78,1.4,47.4
MS-153,"Wayne County",54.1,97,3.3,50.8
MS-155,"Webster County",47.7,80,1.5,46.2
MS-157,"Wilkinson County",53.0,75,0.9,52.1
MS-159,"Winston County",49.7,93,2.8,46.9
MS-161,"Yalobusha County",47.2,80,1.5,45.7
MS-163,"Yazoo County",51.2,88,2.2,49
