February 2020 Nebraska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",31.8,94,3.7,28.1
NE-003,"Antelope County",27.6,90,3.7,23.9
NE-005,"Arthur County",29.5,83,2.3,27.2
NE-007,"Banner County",29.2,66,0.6,28.6
NE-009,"Blaine County",29.0,86,2.9,26.1
NE-011,"Boone County",28.7,94,4.2,24.5
NE-013,"Box Butte County",27.7,68,0.9,26.8
NE-015,"Boyd County",27.7,90,4.1,23.6
NE-017,"Brown County",29.4,94,4.3,25.1
NE-019,"Buffalo County",30.8,92,3.6,27.2
NE-021,"Burt County",28.4,94,4.2,24.2
NE-023,"Butler County",29.3,88,3.2,26.1
NE-025,"Cass County",30.9,92,3.8,27.1
NE-027,"Cedar County",26.8,94,4.4,22.4
NE-029,"Chase County",31.3,71,1.3,30
NE-031,"Cherry County",28.7,91,3.5,25.2
NE-033,"Cheyenne County",30.0,72,1.1,28.9
NE-035,"Clay County",31.9,94,4.0,27.9
NE-037,"Colfax County",29.1,93,4.0,25.1
NE-039,"Cuming County",28.0,93,4.0,24
NE-041,"Custer County",29.0,86,2.6,26.4
NE-043,"Dakota County",26.7,93,3.8,22.9
NE-045,"Dawes County",27.6,68,1.0,26.6
NE-047,"Dawson County",30.8,84,2.5,28.3
NE-049,"Deuel County",30.2,70,0.9,29.3
NE-051,"Dixon County",26.1,89,3.4,22.7
NE-053,"Dodge County",29.2,93,4.1,25.1
NE-055,"Douglas County",30.5,98,4.5,26
NE-057,"Dundy County",32.6,76,1.6,31
NE-059,"Fillmore County",31.4,90,3.4,28
NE-061,"Franklin County",33.0,94,3.5,29.5
NE-063,"Frontier County",31.9,84,2.5,29.4
NE-065,"Furnas County",31.8,80,1.7,30.1
NE-067,"Gage County",31.0,84,2.5,28.5
NE-069,"Garden County",29.3,79,1.7,27.6
NE-071,"Garfield County",27.7,87,3.2,24.5
NE-073,"Gosper County",31.2,81,2.0,29.2
NE-075,"Grant County",28.1,78,2.0,26.1
NE-077,"Greeley County",28.7,90,3.5,25.2
NE-079,"Hall County",31.2,94,3.9,27.3
NE-081,"Hamilton County",31.4,96,4.0,27.4
NE-083,"Harlan County",32.4,88,2.5,29.9
NE-085,"Hayes County",31.4,81,1.7,29.7
NE-087,"Hitchcock County",32.8,83,2.0,30.8
NE-089,"Holt County",27.2,90,3.4,23.8
NE-091,"Hooker County",28.3,80,2.0,26.3
NE-093,"Howard County",30.2,91,3.7,26.5
NE-095,"Jefferson County",31.1,85,2.5,28.6
NE-097,"Johnson County",31.5,88,3.0,28.5
NE-099,"Kearney County",31.6,93,3.4,28.2
NE-101,"Keith County",30.6,81,1.8,28.8
NE-103,"Keya Paha County",29.2,98,5.3,23.9
NE-105,"Kimball County",28.5,59,0.2,28.3
NE-107,"Knox County",27.4,92,4.1,23.3
NE-109,"Lancaster County",30.9,90,3.6,27.3
NE-111,"Lincoln County",30.5,81,2.1,28.4
NE-113,"Logan County",29.3,83,2.3,27
NE-115,"Loup County",28.2,89,3.2,25
NE-117,"McPherson County",29.2,82,2.1,27.1
NE-119,"Madison County",28.5,94,4.3,24.2
NE-121,"Merrick County",30.8,95,4.1,26.7
NE-123,"Morrill County",29.7,76,1.5,28.2
NE-125,"Nance County",29.8,93,4.0,25.8
NE-127,"Nemaha County",32.4,91,3.3,29.1
NE-129,"Nuckolls County",32.6,95,3.8,28.8
NE-131,"Otoe County",31.3,90,3.3,28
NE-133,"Pawnee County",31.7,85,2.5,29.2
NE-135,"Perkins County",30.2,71,1.0,29.2
NE-137,"Phelps County",31.1,84,2.5,28.6
NE-139,"Pierce County",27.6,92,4.2,23.4
NE-141,"Platte County",29.3,93,4.2,25.1
NE-143,"Polk County",30.1,89,3.6,26.5
NE-145,"Red Willow County",32.5,84,2.3,30.2
NE-147,"Richardson County",32.7,86,3.0,29.7
NE-149,"Rock County",28.4,94,4.3,24.1
NE-151,"Saline County",30.6,86,2.7,27.9
NE-153,"Sarpy County",30.8,96,4.2,26.6
NE-155,"Saunders County",30.3,95,4.1,26.2
NE-157,"Scotts Bluff County",29.6,69,0.8,28.8
NE-159,"Seward County",30.0,87,2.9,27.1
NE-161,"Sheridan County",27.6,77,2.0,25.6
NE-163,"Sherman County",29.6,90,3.4,26.2
NE-165,"Sioux County",25.7,56,-0.4,26.1
NE-167,"Stanton County",28.4,94,4.2,24.2
NE-169,"Thayer County",32.1,91,3.4,28.7
NE-171,"Thomas County",29.0,83,2.3,26.7
NE-173,"Thurston County",27.2,93,3.9,23.3
NE-175,"Valley County",28.4,90,3.0,25.4
NE-177,"Washington County",29.6,97,4.3,25.3
NE-179,"Wayne County",27.3,92,4.0,23.3
NE-181,"Webster County",33.1,96,3.9,29.2
NE-183,"Wheeler County",28.1,89,3.8,24.3
NE-185,"York County",30.6,88,3.1,27.5
