February 2020 New Hampshire County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NH-001,"Belknap County",25.2,107,4.8,20.4
NH-003,"Carroll County",23.4,107,4.9,18.5
NH-005,"Cheshire County",27.8,117,7.2,20.6
NH-007,"Coos County",18.3,105,5.2,13.1
NH-009,"Grafton County",22.3,112,5.7,16.6
NH-011,"Hillsborough County",29.2,119,7.0,22.2
NH-013,"Merrimack County",26.3,111,5.6,20.7
NH-015,"Rockingham County",30.0,118,6.4,23.6
NH-017,"Strafford County",27.4,110,5.2,22.2
NH-019,"Sullivan County",25.3,117,6.5,18.8
