February 2020 New Mexico County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NM-001,"Bernalillo County",38.1,74,1.2,36.9
NM-003,"Catron County",35.4,86,1.5,33.9
NM-005,"Chaves County",43.0,60,0.2,42.8
NM-006,"Cibola County",34.2,73,1.1,33.1
NM-007,"Colfax County",31.2,61,-0.1,31.3
NM-009,"Curry County",39.0,51,-0.2,39.2
NM-011,"De Baca County",42.3,82,1.5,40.8
NM-013,"Dona Ana County",46.3,79,0.8,45.5
NM-015,"Eddy County",45.2,52,-0.5,45.7
NM-017,"Grant County",42.4,81,1.3,41.1
NM-019,"Guadalupe County",39.0,68,0.3,38.7
NM-021,"Harding County",36.6,50,-0.4,37
NM-023,"Hidalgo County",45.5,70,0.5,45
NM-025,"Lea County",43.0,41,-1.1,44.1
NM-027,"Lincoln County",38.9,62,-0.0,38.9
NM-028,"Los Alamos County",31.4,75,0.6,30.8
NM-029,"Luna County",45.8,73,0.5,45.3
NM-031,"McKinley County",34.3,82,1.7,32.6
NM-033,"Mora County",33.4,82,1.4,32
NM-035,"Otero County",42.6,67,0.2,42.4
NM-037,"Quay County",39.9,55,-0.1,40
NM-039,"Rio Arriba County",30.4,87,2.2,28.2
NM-041,"Roosevelt County",40.4,49,-0.2,40.6
NM-043,"Sandoval County",34.6,74,1.2,33.4
NM-045,"San Juan County",35.4,79,1.5,33.9
NM-047,"San Miguel County",36.9,68,0.3,36.6
NM-049,"Santa Fe County",33.7,66,0.3,33.4
NM-051,"Sierra County",43.0,74,0.6,42.4
NM-053,"Socorro County",39.4,79,1.0,38.4
NM-055,"Taos County",27.8,82,1.3,26.5
NM-057,"Torrance County",35.0,68,0.3,34.7
NM-059,"Union County",33.6,40,-1.4,35
NM-061,"Valencia County",40.1,74,1.2,38.9
