February 2020 North Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NC-001,"Alamance County",45.9,112,4.9,41
NC-003,"Alexander County",44.6,108,4.2,40.4
NC-005,"Alleghany County",39.4,113,5.2,34.2
NC-007,"Anson County",49.2,114,5.1,44.1
NC-009,"Ashe County",38.2,109,4.7,33.5
NC-011,"Avery County",37.0,101,4.0,33
NC-013,"Beaufort County",51.0,120,6.6,44.4
NC-015,"Bertie County",48.2,116,5.8,42.4
NC-017,"Bladen County",51.1,115,5.3,45.8
NC-019,"Brunswick County",52.1,117,5.1,47
NC-021,"Buncombe County",41.0,101,3.8,37.2
NC-023,"Burke County",44.0,103,3.6,40.4
NC-025,"Cabarrus County",47.2,110,4.6,42.6
NC-027,"Caldwell County",43.6,103,3.6,40
NC-029,"Camden County",48.2,118,6.3,41.9
NC-031,"Carteret County",53.2,122,7.3,45.9
NC-033,"Caswell County",44.5,105,4.4,40.1
NC-035,"Catawba County",45.5,109,4.2,41.3
NC-037,"Chatham County",47.6,115,5.4,42.2
NC-039,"Cherokee County",42.5,91,2.9,39.6
NC-041,"Chowan County",48.7,117,6.1,42.6
NC-043,"Clay County",41.9,96,3.3,38.6
NC-045,"Cleveland County",45.7,105,3.7,42
NC-047,"Columbus County",51.4,114,4.8,46.6
NC-049,"Craven County",51.5,119,6.5,45
NC-051,"Cumberland County",51.0,118,6.3,44.7
NC-053,"Currituck County",48.3,118,6.3,42
NC-055,"Dare County",50.7,119,6.6,44.1
NC-057,"Davidson County",45.9,112,5.0,40.9
NC-059,"Davie County",45.6,117,5.5,40.1
NC-061,"Duplin County",51.1,118,6.1,45
NC-063,"Durham County",46.5,116,5.5,41
NC-065,"Edgecombe County",48.9,120,6.5,42.4
NC-067,"Forsyth County",45.0,116,5.2,39.8
NC-069,"Franklin County",47.3,118,6.4,40.9
NC-071,"Gaston County",47.1,112,4.7,42.4
NC-073,"Gates County",47.4,115,5.8,41.6
NC-075,"Graham County",40.6,93,3.0,37.6
NC-077,"Granville County",45.8,116,5.8,40
NC-079,"Greene County",49.7,117,6.0,43.7
NC-081,"Guilford County",45.2,112,4.8,40.4
NC-083,"Halifax County",47.1,117,6.1,41
NC-085,"Harnett County",49.9,118,6.3,43.6
NC-087,"Haywood County",38.2,95,3.4,34.8
NC-089,"Henderson County",42.5,99,3.6,38.9
NC-091,"Hertford County",47.1,116,5.5,41.6
NC-093,"Hoke County",50.3,117,6.1,44.2
NC-095,"Hyde County",51.7,120,6.8,44.9
NC-097,"Iredell County",45.6,115,5.0,40.6
NC-099,"Jackson County",39.7,95,3.1,36.6
NC-101,"Johnston County",49.2,117,5.9,43.3
NC-103,"Jones County",51.0,117,6.1,44.9
NC-105,"Lee County",49.1,118,6.2,42.9
NC-107,"Lenoir County",49.9,115,5.6,44.3
NC-109,"Lincoln County",46.2,110,4.5,41.7
NC-111,"McDowell County",43.3,99,3.7,39.6
NC-113,"Macon County",41.0,98,3.3,37.7
NC-115,"Madison County",41.0,100,3.6,37.4
NC-117,"Martin County",49.3,119,6.4,42.9
NC-119,"Mecklenburg County",47.7,112,4.9,42.8
NC-121,"Mitchell County",38.3,97,3.8,34.5
NC-123,"Montgomery County",48.2,112,5.1,43.1
NC-125,"Moore County",49.0,116,5.8,43.2
NC-127,"Nash County",48.1,118,6.5,41.6
NC-129,"New Hanover County",52.4,117,5.6,46.8
NC-131,"Northampton County",46.6,116,5.7,40.9
NC-133,"Onslow County",51.8,117,6.0,45.8
NC-135,"Orange County",46.0,113,5.2,40.8
NC-137,"Pamlico County",52.2,120,6.8,45.4
NC-139,"Pasquotank County",48.4,118,6.2,42.2
NC-141,"Pender County",51.8,117,5.7,46.1
NC-143,"Perquimans County",48.5,116,6.1,42.4
NC-145,"Person County",44.5,112,4.9,39.6
NC-147,"Pitt County",50.0,118,6.3,43.7
NC-149,"Polk County",45.6,99,3.4,42.2
NC-151,"Randolph County",46.2,104,4.4,41.8
NC-153,"Richmond County",49.7,116,5.6,44.1
NC-155,"Robeson County",50.9,115,5.2,45.7
NC-157,"Rockingham County",44.5,108,4.6,39.9
NC-159,"Rowan County",46.3,113,5.0,41.3
NC-161,"Rutherford County",45.5,99,3.5,42
NC-163,"Sampson County",51.1,119,6.4,44.7
NC-165,"Scotland County",50.3,116,5.6,44.7
NC-167,"Stanly County",48.1,113,4.8,43.3
NC-169,"Stokes County",44.3,115,5.2,39.1
NC-171,"Surry County",43.5,116,5.2,38.3
NC-173,"Swain County",38.8,92,2.8,36
NC-175,"Transylvania County",41.8,106,3.9,37.9
NC-177,"Tyrrell County",50.2,120,6.4,43.8
NC-179,"Union County",48.3,110,4.6,43.7
NC-181,"Vance County",46.3,117,6.3,40
NC-183,"Wake County",48.0,116,5.9,42.1
NC-185,"Warren County",46.6,118,6.5,40.1
NC-187,"Washington County",49.9,120,6.6,43.3
NC-189,"Watauga County",38.0,106,4.4,33.6
NC-191,"Wayne County",49.9,117,6.0,43.9
NC-193,"Wilkes County",44.0,115,5.0,39
NC-195,"Wilson County",49.2,118,6.3,42.9
NC-197,"Yadkin County",44.8,116,5.4,39.4
NC-199,"Yancey County",38.0,96,3.6,34.4
