February 2020 Ohio County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",36.1,86,3.1,33
OH-003,"Allen County",31.2,93,3.7,27.5
OH-005,"Ashland County",30.7,96,3.9,26.8
OH-007,"Ashtabula County",30.7,106,5.7,25
OH-009,"Athens County",35.5,92,3.5,32
OH-011,"Auglaize County",30.9,91,3.2,27.7
OH-013,"Belmont County",33.4,93,3.3,30.1
OH-015,"Brown County",35.4,87,3.2,32.2
OH-017,"Butler County",34.4,90,3.4,31
OH-019,"Carroll County",32.2,99,4.3,27.9
OH-021,"Champaign County",31.9,92,3.3,28.6
OH-023,"Clark County",32.8,91,3.4,29.4
OH-025,"Clermont County",35.6,86,3.2,32.4
OH-027,"Clinton County",33.8,87,3.2,30.6
OH-029,"Columbiana County",32.0,100,4.5,27.5
OH-031,"Coshocton County",32.5,92,3.6,28.9
OH-033,"Crawford County",30.2,92,3.3,26.9
OH-035,"Cuyahoga County",32.0,105,5.0,27
OH-037,"Darke County",32.0,92,3.8,28.2
OH-039,"Defiance County",30.5,96,4.4,26.1
OH-041,"Delaware County",32.2,88,3.0,29.2
OH-043,"Erie County",31.6,96,4.0,27.6
OH-045,"Fairfield County",33.6,85,3.1,30.5
OH-047,"Fayette County",33.6,90,3.3,30.3
OH-049,"Franklin County",33.4,86,2.9,30.5
OH-051,"Fulton County",30.2,97,4.7,25.5
OH-053,"Gallia County",36.6,86,2.6,34
OH-055,"Geauga County",30.3,105,5.4,24.9
OH-057,"Greene County",33.4,89,3.1,30.3
OH-059,"Guernsey County",32.2,82,2.2,30
OH-061,"Hamilton County",35.4,87,3.2,32.2
OH-063,"Hancock County",31.5,96,4.2,27.3
OH-065,"Hardin County",31.7,93,4.0,27.7
OH-067,"Harrison County",32.7,93,3.7,29
OH-069,"Henry County",31.0,97,4.6,26.4
OH-071,"Highland County",34.6,88,3.4,31.2
OH-073,"Hocking County",34.2,87,3.2,31
OH-075,"Holmes County",31.6,94,3.8,27.8
OH-077,"Huron County",30.6,95,3.6,27
OH-079,"Jackson County",35.8,88,3.2,32.6
OH-081,"Jefferson County",33.2,95,3.7,29.5
OH-083,"Knox County",31.6,94,3.7,27.9
OH-085,"Lake County",31.3,104,5.3,26
OH-087,"Lawrence County",37.5,90,3.1,34.4
OH-089,"Licking County",32.4,89,3.1,29.3
OH-091,"Logan County",31.1,92,3.3,27.8
OH-093,"Lorain County",31.7,97,4.1,27.6
OH-095,"Lucas County",31.6,99,4.9,26.7
OH-097,"Madison County",32.9,90,3.2,29.7
OH-099,"Mahoning County",31.8,106,5.2,26.6
OH-101,"Marion County",31.5,93,3.5,28
OH-103,"Medina County",31.6,100,4.5,27.1
OH-105,"Meigs County",36.0,88,2.8,33.2
OH-107,"Mercer County",30.6,92,3.1,27.5
OH-109,"Miami County",32.8,92,3.7,29.1
OH-111,"Monroe County",34.3,91,3.3,31
OH-113,"Montgomery County",33.8,91,3.5,30.3
OH-115,"Morgan County",34.8,91,3.7,31.1
OH-117,"Morrow County",30.6,91,3.2,27.4
OH-119,"Muskingum County",33.4,91,3.3,30.1
OH-121,"Noble County",33.8,90,3.0,30.8
OH-123,"Ottawa County",31.8,98,4.4,27.4
OH-125,"Paulding County",30.9,95,4.3,26.6
OH-127,"Perry County",33.7,90,3.4,30.3
OH-129,"Pickaway County",34.8,93,3.6,31.2
OH-131,"Pike County",35.8,90,3.4,32.4
OH-133,"Portage County",31.6,108,5.6,26
OH-135,"Preble County",32.8,90,3.7,29.1
OH-137,"Putnam County",31.1,94,4.1,27
OH-139,"Richland County",30.2,93,3.7,26.5
OH-141,"Ross County",35.3,92,3.6,31.7
OH-143,"Sandusky County",31.6,96,4.1,27.5
OH-145,"Scioto County",36.5,89,3.2,33.3
OH-147,"Seneca County",31.2,94,3.9,27.3
OH-149,"Shelby County",31.2,91,3.2,28
OH-151,"Stark County",32.2,105,5.1,27.1
OH-153,"Summit County",32.5,108,5.5,27
OH-155,"Trumbull County",31.3,107,5.6,25.7
OH-157,"Tuscarawas County",32.3,92,3.7,28.6
OH-159,"Union County",32.0,90,3.2,28.8
OH-161,"Van Wert County",30.8,94,3.8,27
OH-163,"Vinton County",35.2,89,3.3,31.9
OH-165,"Warren County",34.6,87,3.3,31.3
OH-167,"Washington County",36.2,96,4.0,32.2
OH-169,"Wayne County",31.3,96,4.0,27.3
OH-171,"Williams County",29.7,97,4.6,25.1
OH-173,"Wood County",31.7,98,4.6,27.1
OH-175,"Wyandot County",31.8,93,4.2,27.6
