February 2020 Oklahoma County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",41.1,66,0.5,40.6
OK-003,"Alfalfa County",39.0,70,0.8,38.2
OK-005,"Atoka County",45.6,77,1.0,44.6
OK-007,"Beaver County",37.0,56,-0.6,37.6
OK-009,"Beckham County",41.5,68,0.5,41
OK-011,"Blaine County",40.2,66,0.4,39.8
OK-013,"Bryan County",46.2,73,0.8,45.4
OK-015,"Caddo County",41.6,65,0.2,41.4
OK-017,"Canadian County",41.4,70,0.8,40.6
OK-019,"Carter County",45.1,68,0.3,44.8
OK-021,"Cherokee County",42.1,73,0.8,41.3
OK-023,"Choctaw County",46.2,73,0.9,45.3
OK-025,"Cimarron County",34.6,35,-2.2,36.8
OK-027,"Cleveland County",42.8,72,0.7,42.1
OK-029,"Coal County",45.1,74,0.7,44.4
OK-031,"Comanche County",42.7,55,-0.4,43.1
OK-033,"Cotton County",44.3,63,-0.1,44.4
OK-035,"Craig County",39.8,66,0.5,39.3
OK-037,"Creek County",41.8,72,0.7,41.1
OK-039,"Custer County",40.2,63,0.2,40
OK-041,"Delaware County",40.1,63,0.2,39.9
OK-043,"Dewey County",39.7,69,0.5,39.2
OK-045,"Ellis County",38.6,66,0.2,38.4
OK-047,"Garfield County",39.9,69,0.8,39.1
OK-049,"Garvin County",44.0,70,0.3,43.7
OK-051,"Grady County",43.0,70,0.9,42.1
OK-053,"Grant County",39.2,73,1.1,38.1
OK-055,"Greer County",41.8,56,-0.2,42
OK-057,"Harmon County",42.3,56,-0.2,42.5
OK-059,"Harper County",37.9,64,-0.1,38
OK-061,"Haskell County",44.7,79,1.3,43.4
OK-063,"Hughes County",44.2,75,0.8,43.4
OK-065,"Jackson County",42.8,56,-0.2,43
OK-067,"Jefferson County",45.2,61,-0.0,45.2
OK-069,"Johnston County",45.1,70,0.4,44.7
OK-071,"Kay County",39.8,73,1.3,38.5
OK-073,"Kingfisher County",40.7,67,0.3,40.4
OK-075,"Kiowa County",41.8,57,-0.2,42
OK-077,"Latimer County",44.5,73,0.8,43.7
OK-079,"Le Flore County",44.2,71,1.1,43.1
OK-081,"Lincoln County",41.8,65,0.0,41.8
OK-083,"Logan County",41.1,68,0.4,40.7
OK-085,"Love County",45.7,65,0.1,45.6
OK-087,"McClain County",43.4,75,1.0,42.4
OK-089,"McCurtain County",46.6,89,2.2,44.4
OK-091,"McIntosh County",44.5,79,1.4,43.1
OK-093,"Major County",39.7,68,0.6,39.1
OK-095,"Marshall County",45.7,68,0.3,45.4
OK-097,"Mayes County",41.0,65,0.3,40.7
OK-099,"Murray County",44.5,67,0.2,44.3
OK-101,"Muskogee County",44.1,83,1.6,42.5
OK-103,"Noble County",40.7,71,1.0,39.7
OK-105,"Nowata County",40.2,75,1.1,39.1
OK-107,"Okfuskee County",43.3,71,0.8,42.5
OK-109,"Oklahoma County",42.0,70,0.6,41.4
OK-111,"Okmulgee County",43.6,78,1.3,42.3
OK-113,"Osage County",40.0,70,0.8,39.2
OK-115,"Ottawa County",39.9,70,0.9,39
OK-117,"Pawnee County",40.7,70,0.6,40.1
OK-119,"Payne County",41.0,68,0.4,40.6
OK-121,"Pittsburg County",44.6,73,0.8,43.8
OK-123,"Pontotoc County",44.2,71,0.4,43.8
OK-125,"Pottawatomie County",43.1,68,0.4,42.7
OK-127,"Pushmataha County",45.3,75,1.2,44.1
OK-129,"Roger Mills County",40.6,72,0.8,39.8
OK-131,"Rogers County",41.5,79,1.3,40.2
OK-133,"Seminole County",43.4,71,0.4,43
OK-135,"Sequoyah County",43.9,77,1.3,42.6
OK-137,"Stephens County",44.0,66,0.1,43.9
OK-139,"Texas County",36.7,51,-0.7,37.4
OK-141,"Tillman County",43.7,59,-0.1,43.8
OK-143,"Tulsa County",42.1,79,1.3,40.8
OK-145,"Wagoner County",42.9,80,1.2,41.7
OK-147,"Washington County",40.4,79,1.3,39.1
OK-149,"Washita County",40.6,58,-0.4,41
OK-151,"Woods County",38.6,70,0.7,37.9
OK-153,"Woodward County",38.8,71,0.5,38.3
