February 2020 Pennsylvania County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",38.1,123,7.9,30.2
PA-003,"Allegheny County",34.2,100,4.3,29.9
PA-005,"Armstrong County",33.1,107,5.8,27.3
PA-007,"Beaver County",33.0,100,4.0,29
PA-009,"Bedford County",36.8,125,7.8,29
PA-011,"Berks County",38.4,124,9.2,29.2
PA-013,"Blair County",34.5,120,7.2,27.3
PA-015,"Bradford County",29.8,113,6.4,23.4
PA-017,"Bucks County",39.0,125,9.3,29.7
PA-019,"Butler County",32.3,102,5.0,27.3
PA-021,"Cambria County",32.3,116,6.6,25.7
PA-023,"Cameron County",29.6,107,5.0,24.6
PA-025,"Carbon County",32.6,122,7.8,24.8
PA-027,"Centre County",32.6,115,6.2,26.4
PA-029,"Chester County",38.5,123,8.1,30.4
PA-031,"Clarion County",31.2,112,5.9,25.3
PA-033,"Clearfield County",31.6,114,6.4,25.2
PA-035,"Clinton County",31.4,113,5.8,25.6
PA-037,"Columbia County",32.9,119,7.1,25.8
PA-039,"Crawford County",29.8,109,5.8,24
PA-041,"Cumberland County",37.8,123,7.9,29.9
PA-043,"Dauphin County",36.7,124,8.0,28.7
PA-045,"Delaware County",39.9,124,7.9,32
PA-047,"Elk County",29.6,110,6.1,23.5
PA-049,"Erie County",29.6,107,5.7,23.9
PA-051,"Fayette County",34.5,105,5.1,29.4
PA-053,"Forest County",29.8,110,5.9,23.9
PA-055,"Franklin County",37.8,122,7.6,30.2
PA-057,"Fulton County",37.9,125,8.0,29.9
PA-059,"Greene County",35.2,101,4.5,30.7
PA-061,"Huntingdon County",36.1,124,7.5,28.6
PA-063,"Indiana County",33.0,109,6.0,27
PA-065,"Jefferson County",31.0,113,6.3,24.7
PA-067,"Juniata County",36.4,124,7.4,29
PA-069,"Lackawanna County",31.2,119,7.7,23.5
PA-071,"Lancaster County",38.2,123,8.2,30
PA-073,"Lawrence County",32.2,102,4.8,27.4
PA-075,"Lebanon County",37.0,124,8.2,28.8
PA-077,"Lehigh County",38.0,124,9.7,28.3
PA-079,"Luzerne County",31.9,119,7.6,24.3
PA-081,"Lycoming County",31.4,118,6.5,24.9
PA-083,"McKean County",28.2,111,5.7,22.5
PA-085,"Mercer County",31.0,107,5.5,25.5
PA-087,"Mifflin County",35.4,123,7.0,28.4
PA-089,"Monroe County",32.0,120,7.9,24.1
PA-091,"Montgomery County",39.7,125,9.2,30.5
PA-093,"Montour County",33.7,119,6.9,26.8
PA-095,"Northampton County",36.4,124,9.3,27.1
PA-097,"Northumberland County",34.2,120,7.0,27.2
PA-099,"Perry County",36.9,124,7.8,29.1
PA-101,"Philadelphia County",40.6,124,8.4,32.2
PA-103,"Pike County",31.4,119,7.7,23.7
PA-105,"Potter County",28.3,109,5.3,23
PA-107,"Schuylkill County",34.5,124,8.2,26.3
PA-109,"Snyder County",34.9,119,6.9,28
PA-111,"Somerset County",33.1,116,6.7,26.4
PA-113,"Sullivan County",29.2,118,6.9,22.3
PA-115,"Susquehanna County",29.4,116,6.5,22.9
PA-117,"Tioga County",28.6,111,5.7,22.9
PA-119,"Union County",33.7,119,6.7,27
PA-121,"Venango County",30.7,111,5.9,24.8
PA-123,"Warren County",29.0,110,5.9,23.1
PA-125,"Washington County",34.1,96,4.1,30
PA-127,"Wayne County",29.8,119,7.0,22.8
PA-129,"Westmoreland County",34.0,103,4.8,29.2
PA-131,"Wyoming County",31.6,119,7.8,23.8
PA-133,"York County",38.3,124,8.2,30.1
