February 2020 South Carolina County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",48.4,99,3.3,45.1
SC-003,"Aiken County",52.2,109,4.5,47.7
SC-005,"Allendale County",53.3,109,4.2,49.1
SC-007,"Anderson County",47.4,94,3.0,44.4
SC-009,"Bamberg County",53.1,109,4.3,48.8
SC-011,"Barnwell County",53.1,111,4.7,48.4
SC-013,"Beaufort County",55.4,107,4.0,51.4
SC-015,"Berkeley County",53.8,113,4.7,49.1
SC-017,"Calhoun County",52.5,111,4.4,48.1
SC-019,"Charleston County",54.4,111,4.5,49.9
SC-021,"Cherokee County",47.0,106,4.0,43
SC-023,"Chester County",48.2,107,3.8,44.4
SC-025,"Chesterfield County",49.9,115,5.3,44.6
SC-027,"Clarendon County",52.7,111,4.6,48.1
SC-029,"Colleton County",53.8,106,4.1,49.7
SC-031,"Darlington County",51.3,115,5.3,46
SC-033,"Dillon County",51.5,114,5.2,46.3
SC-035,"Dorchester County",53.8,110,4.5,49.3
SC-037,"Edgefield County",50.4,98,3.5,46.9
SC-039,"Fairfield County",48.8,97,3.4,45.4
SC-041,"Florence County",52.2,114,5.0,47.2
SC-043,"Georgetown County",52.7,108,4.1,48.6
SC-045,"Greenville County",46.7,100,3.5,43.2
SC-047,"Greenwood County",48.8,97,3.4,45.4
SC-049,"Hampton County",53.7,105,3.9,49.8
SC-051,"Horry County",51.8,111,4.3,47.5
SC-053,"Jasper County",54.9,105,3.9,51
SC-055,"Kershaw County",49.8,109,4.4,45.4
SC-057,"Lancaster County",48.6,112,4.6,44
SC-059,"Laurens County",48.0,97,3.3,44.7
SC-061,"Lee County",51.1,112,4.7,46.4
SC-063,"Lexington County",51.3,110,4.6,46.7
SC-065,"McCormick County",49.5,100,3.4,46.1
SC-067,"Marion County",52.0,112,4.7,47.3
SC-069,"Marlboro County",50.9,115,5.4,45.5
SC-071,"Newberry County",48.9,97,3.4,45.5
SC-073,"Oconee County",45.9,86,2.1,43.8
SC-075,"Orangeburg County",53.1,111,4.7,48.4
SC-077,"Pickens County",47.0,104,3.8,43.2
SC-079,"Richland County",51.0,103,3.9,47.1
SC-081,"Saluda County",49.6,99,3.5,46.1
SC-083,"Spartanburg County",47.4,103,3.9,43.5
SC-085,"Sumter County",51.5,105,4.0,47.5
SC-087,"Union County",47.9,102,3.6,44.3
SC-089,"Williamsburg County",52.6,109,4.5,48.1
SC-091,"York County",47.8,109,4.3,43.5
