February 2020 Tennessee County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",42.9,97,3.6,39.3
TN-003,"Bedford County",43.9,89,2.8,41.1
TN-005,"Benton County",44.1,92,3.4,40.7
TN-007,"Bledsoe County",42.8,99,3.7,39.1
TN-009,"Blount County",44.2,94,3.5,40.7
TN-011,"Bradley County",45.7,102,3.6,42.1
TN-013,"Campbell County",41.5,95,3.8,37.7
TN-015,"Cannon County",43.8,99,3.7,40.1
TN-017,"Carroll County",43.3,88,2.8,40.5
TN-019,"Carter County",40.2,98,3.9,36.3
TN-021,"Cheatham County",43.1,92,3.1,40
TN-023,"Chester County",44.0,83,2.4,41.6
TN-025,"Claiborne County",41.0,87,2.8,38.2
TN-027,"Clay County",42.9,95,3.7,39.2
TN-029,"Cocke County",43.3,93,3.4,39.9
TN-031,"Coffee County",43.8,95,3.5,40.3
TN-033,"Crockett County",43.2,83,2.6,40.6
TN-035,"Cumberland County",41.0,95,3.4,37.6
TN-037,"Davidson County",44.0,95,3.7,40.3
TN-039,"Decatur County",44.7,90,3.1,41.6
TN-041,"DeKalb County",44.0,99,4.1,39.9
TN-043,"Dickson County",42.0,85,2.3,39.7
TN-045,"Dyer County",42.4,83,2.3,40.1
TN-047,"Fayette County",44.4,82,2.0,42.4
TN-049,"Fentress County",41.2,98,4.1,37.1
TN-051,"Franklin County",44.6,97,3.6,41
TN-053,"Gibson County",42.5,82,2.4,40.1
TN-055,"Giles County",44.1,88,3.0,41.1
TN-057,"Grainger County",42.4,94,3.0,39.4
TN-059,"Greene County",43.3,95,3.6,39.7
TN-061,"Grundy County",42.8,99,4.1,38.7
TN-063,"Hamblen County",43.5,94,3.5,40
TN-065,"Hamilton County",45.5,99,3.7,41.8
TN-067,"Hancock County",41.3,88,2.7,38.6
TN-069,"Hardeman County",44.1,81,2.3,41.8
TN-071,"Hardin County",44.4,85,2.2,42.2
TN-073,"Hawkins County",42.5,90,3.1,39.4
TN-075,"Haywood County",43.9,84,2.7,41.2
TN-077,"Henderson County",44.0,87,2.8,41.2
TN-079,"Henry County",42.5,87,2.7,39.8
TN-081,"Hickman County",42.9,87,2.5,40.4
TN-083,"Houston County",42.8,88,3.0,39.8
TN-085,"Humphreys County",43.2,89,2.9,40.3
TN-087,"Jackson County",43.4,95,3.7,39.7
TN-089,"Jefferson County",43.9,94,3.5,40.4
TN-091,"Johnson County",38.9,102,4.2,34.7
TN-093,"Knox County",44.1,96,3.6,40.5
TN-095,"Lake County",41.8,84,2.3,39.5
TN-097,"Lauderdale County",43.4,82,2.3,41.1
TN-099,"Lawrence County",43.9,91,3.1,40.8
TN-101,"Lewis County",43.6,91,3.2,40.4
TN-103,"Lincoln County",44.6,92,2.9,41.7
TN-105,"Loudon County",44.7,97,3.5,41.2
TN-107,"McMinn County",45.4,102,4.0,41.4
TN-109,"McNairy County",43.6,78,1.5,42.1
TN-111,"Macon County",42.1,88,3.1,39
TN-113,"Madison County",43.9,86,2.8,41.1
TN-115,"Marion County",44.4,97,3.6,40.8
TN-117,"Marshall County",44.4,96,3.6,40.8
TN-119,"Maury County",44.0,93,3.4,40.6
TN-121,"Meigs County",45.2,100,3.9,41.3
TN-123,"Monroe County",44.2,95,3.5,40.7
TN-125,"Montgomery County",42.9,93,3.4,39.5
TN-127,"Moore County",44.2,92,3.0,41.2
TN-129,"Morgan County",41.8,97,3.7,38.1
TN-131,"Obion County",41.4,81,2.2,39.2
TN-133,"Overton County",42.6,97,4.1,38.5
TN-135,"Perry County",44.5,93,3.4,41.1
TN-137,"Pickett County",42.4,100,4.3,38.1
TN-139,"Polk County",44.8,98,3.5,41.3
TN-141,"Putnam County",42.9,97,4.0,38.9
TN-143,"Rhea County",43.9,98,3.7,40.2
TN-145,"Roane County",44.3,98,3.8,40.5
TN-147,"Robertson County",42.4,92,3.3,39.1
TN-149,"Rutherford County",44.1,93,3.4,40.7
TN-151,"Scott County",41.1,98,3.9,37.2
TN-153,"Sequatchie County",43.2,99,3.9,39.3
TN-155,"Sevier County",42.3,91,3.2,39.1
TN-157,"Shelby County",44.6,80,1.5,43.1
TN-159,"Smith County",43.4,91,3.3,40.1
TN-161,"Stewart County",42.8,89,3.2,39.6
TN-163,"Sullivan County",42.3,95,3.9,38.4
TN-165,"Sumner County",42.7,93,3.3,39.4
TN-167,"Tipton County",43.9,80,1.9,42
TN-169,"Trousdale County",43.0,91,3.1,39.9
TN-171,"Unicoi County",40.4,99,3.8,36.6
TN-173,"Union County",42.4,94,3.3,39.1
TN-175,"Van Buren County",42.9,99,4.0,38.9
TN-177,"Warren County",44.3,103,4.3,40
TN-179,"Washington County",43.1,97,3.9,39.2
TN-181,"Wayne County",44.5,95,3.4,41.1
TN-183,"Weakley County",41.8,81,2.2,39.6
TN-185,"White County",43.2,98,4.0,39.2
TN-187,"Williamson County",43.7,96,3.5,40.2
TN-189,"Wilson County",43.8,95,3.6,40.2
