February 2020 Texas County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",50.0,62,-0.1,50.1
TX-003,"Andrews County",45.6,46,-0.9,46.5
TX-005,"Angelina County",52.3,71,0.6,51.7
TX-007,"Aransas County",57.3,62,0.0,57.3
TX-009,"Archer County",46.2,65,0.5,45.7
TX-011,"Armstrong County",39.4,49,-1.0,40.4
TX-013,"Atascosa County",56.4,67,0.3,56.1
TX-015,"Austin County",55.4,78,1.6,53.8
TX-017,"Bailey County",39.4,37,-1.4,40.8
TX-019,"Bandera County",52.2,59,-0.1,52.3
TX-021,"Bastrop County",52.9,62,0.2,52.7
TX-023,"Baylor County",46.2,68,0.7,45.5
TX-025,"Bee County",57.4,61,0.1,57.3
TX-027,"Bell County",49.4,49,-0.8,50.2
TX-029,"Bexar County",54.5,59,-0.1,54.6
TX-031,"Blanco County",51.7,65,0.3,51.4
TX-033,"Borden County",45.2,43,-1.4,46.6
TX-035,"Bosque County",49.1,58,-0.2,49.3
TX-037,"Bowie County",48.1,73,1.1,47
TX-039,"Brazoria County",58.0,89,2.3,55.7
TX-041,"Brazos County",53.5,71,1.3,52.2
TX-043,"Brewster County",49.8,43,-1.2,51
TX-045,"Briscoe County",40.5,39,-1.5,42
TX-047,"Brooks County",61.9,84,1.6,60.3
TX-049,"Brown County",48.4,59,-0.1,48.5
TX-051,"Burleson County",53.6,75,1.4,52.2
TX-053,"Burnet County",49.9,49,-1.0,50.9
TX-055,"Caldwell County",54.2,73,0.9,53.3
TX-057,"Calhoun County",58.8,90,2.2,56.6
TX-059,"Callahan County",46.2,45,-1.3,47.5
TX-061,"Cameron County",64.5,84,1.6,62.9
TX-063,"Camp County",48.9,70,0.9,48
TX-065,"Carson County",38.6,52,-0.4,39
TX-067,"Cass County",48.6,68,0.3,48.3
TX-069,"Castro County",37.7,31,-2.2,39.9
TX-071,"Chambers County",56.5,84,1.7,54.8
TX-073,"Cherokee County",50.5,68,0.1,50.4
TX-075,"Childress County",42.8,52,-0.4,43.2
TX-077,"Clay County",45.8,64,0.1,45.7
TX-079,"Cochran County",40.6,38,-1.6,42.2
TX-081,"Coke County",46.9,42,-1.1,48
TX-083,"Coleman County",48.6,65,0.2,48.4
TX-085,"Collin County",47.9,73,0.9,47
TX-087,"Collingsworth County",40.9,50,-0.9,41.8
TX-089,"Colorado County",55.7,76,1.4,54.3
TX-091,"Comal County",53.2,66,0.1,53.1
TX-093,"Comanche County",47.8,55,-0.4,48.2
TX-095,"Concho County",49.2,65,0.2,49
TX-097,"Cooke County",46.3,65,-0.0,46.3
TX-099,"Coryell County",48.0,38,-1.8,49.8
TX-101,"Cottle County",44.0,54,-0.4,44.4
TX-103,"Crane County",48.4,46,-0.9,49.3
TX-105,"Crockett County",49.3,57,-0.4,49.7
TX-107,"Crosby County",41.6,36,-2.0,43.6
TX-109,"Culberson County",46.5,52,-0.4,46.9
TX-111,"Dallam County",35.9,39,-1.2,37.1
TX-113,"Dallas County",49.6,72,0.9,48.7
TX-115,"Dawson County",44.0,35,-1.9,45.9
TX-117,"Deaf Smith County",37.4,37,-1.5,38.9
TX-119,"Delta County",47.6,72,1.0,46.6
TX-121,"Denton County",47.9,67,0.3,47.6
TX-123,"DeWitt County",56.4,72,0.9,55.5
TX-125,"Dickens County",42.8,38,-2.0,44.8
TX-127,"Dimmit County",59.1,86,2.1,57
TX-129,"Donley County",40.0,48,-1.0,41
TX-131,"Duval County",59.5,73,1.0,58.5
TX-133,"Eastland County",46.4,49,-1.0,47.4
TX-135,"Ector County",47.2,50,-0.5,47.7
TX-137,"Edwards County",51.1,66,0.1,51
TX-139,"Ellis County",49.9,69,0.5,49.4
